ic,name,GENCONSETID,lead_forward,lead_reverse,invoked_share,relevant,excluded_reason
NSW1-QLD1,QNI,#R031763_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031764_RAMP,9,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031783_RAMP,0,2,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031793_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031797_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031801_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031809_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031817_RAMP,0,12,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031839_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031840_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031847_RAMP,0,2,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031863_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031871_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031878_RAMP,0,12,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031881_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031887_RAMP,2,2,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031889_RAMP,6,0,5.232115677321157e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031890_RAMP,0,11,5.232115677321157e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031893_RAMP,13,6,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031944_RAMP,11,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031961_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R031991_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032006_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032108_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032117_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032130_RAMP,4,0,2.8538812785388127e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032181_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R032184_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
