layer,lead_band,name,direction,rows,bookings,origins,brier_outlook,brier_normal,brier_lastyear,skill_vs_normal,skill_vs_lastyear,events,test_rows,test_events,alert_threshold,recall,precision,false_alerts,skilful
binding,8-30,Murraylink,forward,936,228,12,0.008382695237070147,0.006036480300286373,0.010036194865351664,-0.3886726734902901,0.16475363924926922,47,666,39,0.05,0.5641025641025641,0.12716763005780346,151,False
binding,8-30,Murraylink,reverse,939,228,11,0.03464723984724847,0.029555652383754988,0.03332455208660477,-0.1722711918987121,-0.03969108893665729,123,672,80,0.05,0.7875,0.15254237288135594,350,False
binding,8-30,QNI,forward,1062,316,12,0.02120799245255747,0.02359415163044503,0.0268706120655879,0.10113350186359527,0.21073653250654145,44,714,33,0.05,0.8787878787878788,0.18831168831168832,125,True
binding,8-30,QNI,reverse,1476,400,12,0.016765744641031526,0.02246882585213632,0.02012993249332176,0.2538219508502956,0.16712365296835086,107,1044,81,0.05,0.7283950617283951,0.1861198738170347,258,True
binding,8-30,VNI,forward,999,281,12,0.013693443780647652,0.009409325379371255,0.012433118593140722,-0.4553055855278192,-0.10136838783169355,56,618,39,0.05,0.7692307692307693,0.10909090909090909,245,False
binding,8-30,VNI,reverse,1056,265,12,0.01127706933561908,0.010185355936540066,0.012514729663053477,-0.1071846095395137,0.09889628947305762,72,663,39,0.05,0.38461538461538464,0.11278195488721804,118,False
binding,91-365,Basslink,forward,351,57,9,0.0017397603913874577,0.002004458662353734,0.005632876631119872,0.1320547417303456,0.6911417548582852,11,57,5,0.05,0.4,0.4,3,True
binding,91-365,Basslink,reverse,273,52,9,0.007644674659616691,0.005054575731284536,0.0087415570788069,-0.5124265746581118,0.1254790661779811,33,57,2,0.05,0.0,0.0,18,False
binding,91-365,Directlink,forward,936,105,9,0.0034109076795124376,0.002290123993334898,0.0050620638754281305,-0.4893986917037818,0.3261824102873543,48,135,0,0.05,,0.0,11,False
binding,91-365,Directlink,reverse,1026,107,9,0.006840798541150433,0.006447154509174982,0.00849707509405461,-0.06105701847462375,0.19492313938275896,51,141,12,0.05,0.0,0.0,53,False
binding,91-365,Heywood,forward,356,39,8,0.005522493717564981,0.002908213583977885,0.006085119945217615,-0.8989298956547946,0.09245934882430873,24,58,3,0.05,1.0,0.09375,29,False
binding,91-365,Heywood,reverse,399,48,8,0.009550375018745269,0.005966340873993988,0.009062078084421917,-0.6007089136280035,-0.05388354964219011,34,46,3,0.05,1.0,0.09375,29,False
binding,91-365,Murraylink,forward,1266,95,9,0.005965839792884965,0.0036741102709901916,0.0062364631023520455,-0.623750881945397,0.0433937161217256,68,141,8,0.05,0.5,0.12903225806451613,27,False
