ic,name,direction,GENCONSETID,DUID,tightening_per_hh_treated,tightening_per_hh_base,relief_per_hh_treated,relief_per_hh_base,excess_tightening,excess_relief,treated_half_hours,base_half_hours
V-S-MNSP1,Murraylink,reverse,V-CRML,SNOWYP,43.09237449626691,18.157011595979338,23.95239136546812,15.943112503746152,24.935362900287576,8.009278861721969,269,8412
V-S-MNSP1,Murraylink,reverse,V-CRML,SUNRSF1,34.04259753552282,22.439360367330085,42.34744553229552,23.16244909591805,11.603237168192738,19.184996436377467,269,8412
V-S-MNSP1,Murraylink,reverse,V-CRML,URANQ11,23.692642027946523,2.673551395330216,7.815383510227538,0.8285376666688965,21.019090632616308,6.986845843558641,269,8412
V-S-MNSP1,Murraylink,reverse,V-CRML,CUSF1,31.05361809086878,48.75961317251212,25.80645703080211,35.623833491146236,-17.705995081643337,-9.817376460344125,269,8412
V-S-MNSP1,Murraylink,reverse,V-CRML,URANQ12,31.9325841838743,5.459672041076389,0.03390621913330819,0.7802943833713479,26.472912142797913,-0.7463881642380398,269,8412
V-S-MNSP1,Murraylink,forward,V-DDMS,KARSF1,9.146399829123391,3.0472952536545113,9.149203222089739,2.77945025305058,6.09910457546888,6.369752969039158,324,9765
V-S-MNSP1,Murraylink,forward,V-DDMS,YATSF1,8.570895041541903,2.5130232965337003,8.096632397187598,2.294329161653929,6.057871745008202,5.802303235533669,324,9765
V-S-MNSP1,Murraylink,forward,V-DDMS,PAREPW1,9.061061285255475,2.687369458380725,6.913484874906704,1.9647378245933897,6.37369182687475,4.948747050313314,324,9765
V-S-MNSP1,Murraylink,forward,V-DDMS,KIAMSF1,8.609343641069144,4.523056144543723,10.48790245496821,3.522782286766437,4.08628749652542,6.965120168201773,324,9765
V-S-MNSP1,Murraylink,forward,V-DDMS,LIMOSF11,12.965209714287017,6.223450352680282,5.450267543176045,9.28581520949443,6.741759361606735,-3.8355476663183854,324,9765
V-S-MNSP1,Murraylink,forward,V-DDMS,WEMENSF1,8.843731889572885,3.011697959870189,5.325895103937698,2.5584189236421433,5.832033929702696,2.7674761802955543,324,9765
V-S-MNSP1,Murraylink,forward,V-DDMS,MACARTH1,1.133215918258244,6.074431576494492,1.0053117748028402,4.27219950214539,-4.941215658236247,-3.2668877273425494,324,9765
V-S-MNSP1,Murraylink,forward,V-DDMS,GSWF1A,7.566026332019273,3.1900245878142717,6.080570507504935,2.3189758720371954,4.376001744205002,3.7615946354677394,324,9765
V-S-MNSP1,Murraylink,forward,V-DDMS,WGWF1,6.058970048915808,1.6721084517460174,4.506736446034235,1.2245566493990503,4.386861597169791,3.282179796635185,324,9765
V-S-MNSP1,Murraylink,forward,V-DDMS,BANN1,7.397723074357184,2.492642184166645,4.659969359673073,2.194892970402483,4.905080890190538,2.46507638927059,324,9765
V-S-MNSP1,Murraylink,reverse,V-DDMS,AVLSF1,85.249333664208,36.99657576682424,70.58324334896585,26.85695946944128,48.25275789738375,43.72628387952457,324,9765
V-S-MNSP1,Murraylink,reverse,V-DDMS,CUSF1,0.0,50.43654019060367,0.0,37.2661101598916,-50.43654019060367,-37.2661101598916,324,9765
V-S-MNSP1,Murraylink,reverse,V-DDMS,SUNRSF1,78.58500495763282,33.977965614220665,60.75215301201876,27.621049777387242,44.607039343412154,33.13110323463152,324,9765
V-S-MNSP1,Murraylink,reverse,V-DDMS,LIMOSF11,95.02887769807005,49.66222099577771,70.34813362059288,42.65952278345143,45.36665670229234,27.688610837141447,324,9765
V-S-MNSP1,Murraylink,reverse,V-DDMS,MURRAY,8.18859774602517,42.96059895229033,9.030265786265193,46.92952286501195,-34.77200120626516,-37.89925707874676,324,9765
V-S-MNSP1,Murraylink,reverse,V-DDMS,HILLSTN1,56.4672344126375,21.170690513876377,47.50449006122082,16.375665573700385,35.29654389876113,31.128824487520436,324,9765
V-S-MNSP1,Murraylink,reverse,V-DDMS,KIAMSF1,53.234090466842495,19.39591229284971,46.561053213334894,17.238792315888244,33.83817817399279,29.32226089744665,324,9765
V-S-MNSP1,Murraylink,reverse,V-DDMS,DARLSF1,65.91902398035828,33.50347839854377,42.75831220808289,27.768513538063928,32.415545581814506,14.989798670018963,324,9765
V-S-MNSP1,Murraylink,reverse,V-DDMS,WLWLSF2,0.0,20.120677439502497,0.0,18.301060250962173,-20.120677439502497,-18.301060250962173,324,9765
V-S-MNSP1,Murraylink,reverse,V-DDMS,WLWLSF1,0.0,20.102992932368718,0.0,18.160447520438257,-20.102992932368718,-18.160447520438257,324,9765
V-S-MNSP1,Murraylink,forward,V-DDSM,GSWF1B1,22.87454317310178,8.344349623114816,19.534236048550166,6.461142557150689,14.530193549986965,13.073093491399478,153,11347
V-S-MNSP1,Murraylink,forward,V-DDSM,SUNRSF1,8.41621010999613,3.956833157521838,15.137638966838628,5.6300422049008585,4.459376952474293,9.50759676193777,153,11347
V-S-MNSP1,Murraylink,forward,V-DDSM,STWF1,2.9734498236470945,10.018850296569362,2.145321645043681,9.04381152565633,-7.0454004729222675,-6.898489880612649,153,11347
