target_ic,target_name,direction,GENCONSETID,relation,relevant_to,tier,n_units,any_binding_treated,any_binding_control,any_binding_diff,ci_lo,ci_hi
N-Q-MNSP1,Directlink,forward,Q-RGLC_8875,relevant,Directlink|QNI,supported,359,0.0979572887650882,0.0671386567626122,0.030818632002476008,-0.022538386039505292,0.09791563295432885
N-Q-MNSP1,Directlink,reverse,Q-RGLC_8875,relevant,Directlink|QNI,unsupported,359,0.14113277623026926,0.17643144537294955,-0.03529866914268028,-0.1431474593592547,0.07577654815918267
N-Q-MNSP1,Directlink,forward,CA_BRIS_569B1432,not relevant (spillover),QNI,unsupported,7,0.0,0.047619047619047616,-0.047619047619047616,-0.047619047619047616,-0.047619047619047616
N-Q-MNSP1,Directlink,reverse,CA_BRIS_569B1432,not relevant (spillover),QNI,unsupported,7,0.0,0.03809523809523809,-0.03809523809523809,-0.03809523809523809,-0.03809523809523809
N-Q-MNSP1,Directlink,forward,CA_BRIS_59643BAE,not relevant (spillover),Murraylink,unsupported,13,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,CA_BRIS_59643BAE,not relevant (spillover),Murraylink,unsupported,13,0.0,0.3384615384615385,-0.3384615384615385,-0.3384615384615384,-0.3384615384615384
N-Q-MNSP1,Directlink,forward,CA_SYDS_562A9792,not relevant (spillover),Heywood|Murraylink|VNI,unsupported,8,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,CA_SYDS_562A9792,not relevant (spillover),Heywood|Murraylink|VNI,unsupported,8,0.375,0.03125,0.34375,0.34374999999999994,0.34374999999999994
N-Q-MNSP1,Directlink,forward,CA_SYDS_56FB4FDD,not relevant (spillover),VNI,unsupported,7,0.3095238095238096,0.11666666666666667,0.19285714285714287,0.19285714285714287,0.19285714285714287
N-Q-MNSP1,Directlink,reverse,CA_SYDS_56FB4FDD,not relevant (spillover),VNI,unsupported,7,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,CA_SYDS_57BBC96F,not relevant (spillover),VNI,unsupported,27,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,CA_SYDS_57BBC96F,not relevant (spillover),VNI,unsupported,27,0.8641975308641975,0.6666666666666666,0.19753086419753085,0.16825396825396827,0.3
N-Q-MNSP1,Directlink,forward,CA_SYDS_597A8B26,not relevant (spillover),Heywood|Murraylink,unsupported,9,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,CA_SYDS_597A8B26,not relevant (spillover),Heywood|Murraylink,unsupported,9,0.0,0.26141975308641974,-0.26141975308641974,-0.26141975308641974,-0.26141975308641974
N-Q-MNSP1,Directlink,forward,CA_SYDS_597B3DBD,not relevant (spillover),Heywood|Murraylink,unsupported,4,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,CA_SYDS_597B3DBD,not relevant (spillover),Heywood|Murraylink,unsupported,4,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,CA_SYDS_597B5710,not relevant (spillover),Heywood|Murraylink,unsupported,14,0.16666666666666666,0.12698412698412698,0.03968253968253967,0.03968253968253967,0.03968253968253967
N-Q-MNSP1,Directlink,reverse,CA_SYDS_597B5710,not relevant (spillover),Heywood|Murraylink,unsupported,14,0.0,0.021428571428571432,-0.021428571428571432,-0.021428571428571432,-0.021428571428571432
N-Q-MNSP1,Directlink,forward,F-I-HYSE,not relevant (spillover),Heywood,indicative,13,0.282051282051282,0.19230769230769232,0.08974358974358973,-0.16666666666666666,0.1481481481481481
N-Q-MNSP1,Directlink,reverse,F-I-HYSE,not relevant (spillover),Heywood,unsupported,13,0.12820512820512822,0.08012820512820513,0.04807692307692308,-0.03333333333333334,0.29166666666666663
N-Q-MNSP1,Directlink,forward,F-T-GO_CB_A752,not relevant (spillover),Basslink,indicative,789,0.04414871144909168,0.01516687790452049,0.02898183354457119,-0.006767679414349957,0.07876020291298845
N-Q-MNSP1,Directlink,reverse,F-T-GO_CB_A752,not relevant (spillover),Basslink,indicative,789,0.058301647655259824,0.10897408815659766,-0.05067244050133784,-0.09181799947621806,-0.007006245490620488
N-Q-MNSP1,Directlink,forward,I-6F_NS_050,not relevant (spillover),Heywood|Murraylink|VNI,unsupported,9,0.05555555555555555,0.022222222222222223,0.03333333333333333,-0.1,0.07142857142857142
N-Q-MNSP1,Directlink,reverse,I-6F_NS_050,not relevant (spillover),Heywood|Murraylink|VNI,unsupported,9,0.0,0.044444444444444446,-0.044444444444444446,-0.2,0.0
N-Q-MNSP1,Directlink,forward,I-6F_SN_050,not relevant (spillover),Heywood,unsupported,9,0.05555555555555555,0.022222222222222223,0.03333333333333333,-0.1,0.07142857142857142
N-Q-MNSP1,Directlink,reverse,I-6F_SN_050,not relevant (spillover),Heywood,unsupported,9,0.0,0.044444444444444446,-0.044444444444444446,-0.2,0.0
N-Q-MNSP1,Directlink,forward,I-BCDM_ONE,not relevant (spillover),QNI,unsupported,26,0.02564102564102564,0.06698717948717949,-0.041346153846153845,-0.05535714285714285,-0.024999999999999998
N-Q-MNSP1,Directlink,reverse,I-BCDM_ONE,not relevant (spillover),QNI,unsupported,26,0.0,0.32222222222222224,-0.32222222222222224,-0.4305555555555555,-0.22936507936507938
N-Q-MNSP1,Directlink,forward,I-BDBU_ONE,not relevant (spillover),Heywood|Murraylink|VNI,unsupported,3918,0.028671090692530207,0.04678534966819806,-0.018114258975667857,-0.03708823384039262,-0.0001785421445945268
N-Q-MNSP1,Directlink,reverse,I-BDBU_ONE,not relevant (spillover),Heywood|Murraylink|VNI,unsupported,3918,0.11072826271907435,0.11600589870115137,-0.005277635982077024,-0.032669868607813464,0.020520383309215292
N-Q-MNSP1,Directlink,forward,I-BURC,not relevant (spillover),Murraylink|VNI,supported,289,0.31833910034602075,0.13039215686274508,0.18794694348327565,0.012187592630988854,0.3449066087161492
N-Q-MNSP1,Directlink,reverse,I-BURC,not relevant (spillover),Murraylink|VNI,unsupported,289,0.08650519031141868,0.27121299500192236,-0.18470780469050366,-0.2545158054099428,-0.09285271649336423
N-Q-MNSP1,Directlink,forward,I-BURC_X1,not relevant (spillover),Murraylink,supported,1709,0.08338209479227618,0.07160002600611144,0.01178206878616475,-0.028445426331747507,0.051369012663141686
N-Q-MNSP1,Directlink,reverse,I-BURC_X1,not relevant (spillover),Murraylink,supported,1709,0.14082309342695534,0.1327953319029972,0.008027761523958125,-0.03430745561520017,0.04976086715987366
N-Q-MNSP1,Directlink,forward,I-HYSE,not relevant (spillover),Heywood|Murraylink|VNI,unsupported,771,0.03674881106787722,0.04655569966854014,-0.00980688860066292,-0.037690065314232024,0.02405772209551535
N-Q-MNSP1,Directlink,reverse,I-HYSE,not relevant (spillover),Heywood|Murraylink|VNI,unsupported,771,0.1448335495028102,0.19593601383484652,-0.05110246433203632,-0.12721140984024368,0.01868785020998957
