ic,name,direction,level,key,families,layer,GENCONSETID,tier,dimension,value,n_units,own_treated,own_control,own_diff,top_control_treated,top_control_control
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,rbin,2,9,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,season,Winter,41,0.11788617886178861,0.0,0.11788617886178861,0.0,0.12601626016260162
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,day_period,Evening peak,5,0.9,0.0,0.9,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,day_period,Morning peak,6,0.027777777777777776,0.0,0.027777777777777776,0.0,0.03333333333333333
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,day_period,Overnight,18,0.009259259259259259,0.0,0.009259259259259259,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,day_period,Solar period,12,0.0,0.0,0.0,0.0,0.4138888888888889
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,tbin,0,18,0.009259259259259259,0.0,0.009259259259259259,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,tbin,1,23,0.20289855072463767,0.0,0.20289855072463767,0.0,0.22463768115942032
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,vbin,1,31,0.15591397849462366,0.0,0.15591397849462366,0.0,0.019354838709677424
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,vbin,2,10,0.0,0.0,0.0,0.0,0.45666666666666667
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,rbin,0,9,0.0,0.0,0.0,0.0,0.32962962962962966
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,rbin,1,23,0.0,0.0,0.0,0.0,0.09565217391304348
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,CA_SYDS_57B55E34,unsupported,rbin,2,9,0.537037037037037,0.0,0.537037037037037,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,season,Winter,56,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,day_period,Evening peak,10,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,day_period,Morning peak,6,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,day_period,Overnight,18,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,day_period,Solar period,22,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,tbin,0,19,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,tbin,1,22,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,tbin,2,15,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,vbin,0,1,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,vbin,1,39,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,vbin,2,16,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,rbin,0,8,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,rbin,1,39,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,rbin,2,9,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,season,Winter,56,0.23809523809523808,0.0,0.23809523809523808,0.13392857142857142,0.12083333333333333
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,day_period,Evening peak,10,0.016666666666666666,0.0,0.016666666666666666,0.0,0.03333333333333333
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,day_period,Morning peak,6,0.47222222222222215,0.0,0.47222222222222215,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,day_period,Overnight,18,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,day_period,Solar period,22,0.4696969696969697,0.0,0.4696969696969697,0.3409090909090909,0.2924242424242424
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,CA_SYDS_59839EB2,indicative,tbin,0,19,0.043859649122807015,0.0,0.043859649122807015,0.0,0.0
