ic,name,direction,level,key,families,layer,GENCONSETID,tier,dimension,value,n_units,own_treated,own_control,own_diff,top_control_treated,top_control_control
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,rbin,1,23,0.07971014492753623,0.0,0.07971014492753623,0.39855072463768115,0.264975845410628
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,system,CA_BRIS_59712B29,unsupported,rbin,2,22,0.13636363636363635,0.0,0.13636363636363635,0.3181818181818182,0.6088383838383838
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,season,Winter,41,0.11788617886178861,0.0,0.11788617886178861,0.0,0.2052845528455285
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,day_period,Evening peak,5,0.9,0.0,0.9,0.0,0.16666666666666666
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,day_period,Morning peak,6,0.027777777777777776,0.0,0.027777777777777776,0.0,0.1361111111111111
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,day_period,Overnight,18,0.009259259259259259,0.0,0.009259259259259259,0.0,0.375925925925926
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,day_period,Solar period,12,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,tbin,0,18,0.009259259259259259,0.0,0.009259259259259259,0.0,0.4101851851851852
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,tbin,1,23,0.20289855072463767,0.0,0.20289855072463767,0.0,0.04492753623188405
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,vbin,1,31,0.15591397849462366,0.0,0.15591397849462366,0.0,0.271505376344086
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,vbin,2,10,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,rbin,0,9,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,rbin,1,23,0.0,0.0,0.0,0.0,0.3115942028985507
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,rbin,2,9,0.537037037037037,0.0,0.537037037037037,0.0,0.1388888888888889
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,season,Winter,41,0.11788617886178861,0.0,0.11788617886178861,0.0,0.2052845528455285
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,day_period,Evening peak,5,0.9,0.0,0.9,0.0,0.16666666666666666
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,day_period,Morning peak,6,0.027777777777777776,0.0,0.027777777777777776,0.0,0.1361111111111111
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,day_period,Overnight,18,0.009259259259259259,0.0,0.009259259259259259,0.0,0.375925925925926
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,day_period,Solar period,12,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,tbin,0,18,0.009259259259259259,0.0,0.009259259259259259,0.0,0.4101851851851852
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,tbin,1,23,0.20289855072463767,0.0,0.20289855072463767,0.0,0.04492753623188405
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,vbin,1,31,0.15591397849462366,0.0,0.15591397849462366,0.0,0.271505376344086
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,vbin,2,10,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,rbin,0,9,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,rbin,1,23,0.0,0.0,0.0,0.0,0.3115942028985507
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,system,CA_SYDS_57B55E34,unsupported,rbin,2,9,0.537037037037037,0.0,0.537037037037037,0.0,0.1388888888888889
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,season,Winter,56,0.23809523809523808,0.0,0.23809523809523808,0.4613095238095238,0.23640873015873015
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,day_period,Evening peak,10,0.016666666666666666,0.0,0.016666666666666666,0.2833333333333333,0.05138888888888889
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,day_period,Morning peak,6,0.47222222222222215,0.0,0.47222222222222215,0.611111111111111,0.18333333333333335
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,day_period,Overnight,18,0.0,0.0,0.0,0.5462962962962963,0.4185185185185185
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,day_period,Solar period,22,0.4696969696969697,0.0,0.4696969696969697,0.4318181818181818,0.1859848484848485
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,tbin,0,19,0.043859649122807015,0.0,0.043859649122807015,0.7017543859649124,0.42280701754385963
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,tbin,1,22,0.4545454545454545,0.0,0.4545454545454545,0.25757575757575757,0.028787878787878793
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,tbin,2,15,0.16666666666666666,0.0,0.16666666666666666,0.45555555555555555,0.30481481481481487
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,vbin,0,1,1.0,0.0,1.0,1.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,vbin,1,39,0.24786324786324784,0.0,0.24786324786324784,0.46581196581196577,0.22457264957264955
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,vbin,2,16,0.16666666666666666,0.0,0.16666666666666666,0.4166666666666667,0.28003472222222225
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,rbin,0,8,0.1875,0.0,0.1875,0.37499999999999994,0.5559027777777777
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,rbin,1,39,0.07692307692307691,0.0,0.07692307692307691,0.4871794871794871,0.2254273504273504
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,rbin,2,9,0.9814814814814814,0.0,0.9814814814814814,0.4259259259259259,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,season,Winter,56,0.23809523809523808,0.0,0.23809523809523808,0.4613095238095238,0.23640873015873015
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,day_period,Evening peak,10,0.016666666666666666,0.0,0.016666666666666666,0.2833333333333333,0.05138888888888889
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,day_period,Morning peak,6,0.47222222222222215,0.0,0.47222222222222215,0.611111111111111,0.18333333333333335
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,day_period,Overnight,18,0.0,0.0,0.0,0.5462962962962963,0.4185185185185185
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,day_period,Solar period,22,0.4696969696969697,0.0,0.4696969696969697,0.4318181818181818,0.1859848484848485
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,tbin,0,19,0.043859649122807015,0.0,0.043859649122807015,0.7017543859649124,0.42280701754385963
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,tbin,1,22,0.4545454545454545,0.0,0.4545454545454545,0.25757575757575757,0.028787878787878793
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,tbin,2,15,0.16666666666666666,0.0,0.16666666666666666,0.45555555555555555,0.30481481481481487
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,vbin,0,1,1.0,0.0,1.0,1.0,0.0
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,vbin,1,39,0.24786324786324784,0.0,0.24786324786324784,0.46581196581196577,0.22457264957264955
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,vbin,2,16,0.16666666666666666,0.0,0.16666666666666666,0.4166666666666667,0.28003472222222225
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,rbin,0,8,0.1875,0.0,0.1875,0.37499999999999994,0.5559027777777777
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,rbin,1,39,0.07692307692307691,0.0,0.07692307692307691,0.4871794871794871,0.2254273504273504
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,system,CA_SYDS_59839EB2,indicative,rbin,2,9,0.9814814814814814,0.0,0.9814814814814814,0.4259259259259259,0.0
