ic,name,direction,GENCONSETID,tier,lag_days,group,n_units,own_treated,own_control,own_diff,any_diff
N-Q-MNSP1,Directlink,forward,N-X_ARKK_CH_CB892A,unsupported,7,booked_in_advance,22,0.0,0.0,0.0,-0.025757575757575757
N-Q-MNSP1,Directlink,forward,N-X_ARKK_CH_CB892A,unsupported,14,booked_in_advance,22,0.0,0.0,0.0,-0.025757575757575757
N-Q-MNSP1,Directlink,reverse,N-X_ARKK_CH_CB892A,supported,1,booked_in_advance,22,0.0,0.0,0.0,-0.4008838383838383
N-Q-MNSP1,Directlink,reverse,N-X_ARKK_CH_CB892A,supported,7,booked_in_advance,22,0.0,0.0,0.0,-0.4008838383838383
N-Q-MNSP1,Directlink,reverse,N-X_ARKK_CH_CB892A,supported,14,booked_in_advance,22,0.0,0.0,0.0,-0.4008838383838383
N-Q-MNSP1,Directlink,forward,N-X_AVMA_SSWW,supported,1,booked_in_advance,32,0.0,0.0,0.0,-0.05208333333333333
N-Q-MNSP1,Directlink,forward,N-X_AVMA_SSWW,supported,7,booked_in_advance,32,0.0,0.0,0.0,-0.05208333333333333
N-Q-MNSP1,Directlink,forward,N-X_AVMA_SSWW,supported,14,booked_in_advance,32,0.0,0.0,0.0,-0.05208333333333333
N-Q-MNSP1,Directlink,reverse,N-X_AVMA_SSWW,supported,1,booked_in_advance,32,0.015625,0.0,0.015625,-0.15329861111111112
N-Q-MNSP1,Directlink,reverse,N-X_AVMA_SSWW,supported,7,booked_in_advance,32,0.015625,0.0,0.015625,-0.15329861111111112
N-Q-MNSP1,Directlink,reverse,N-X_AVMA_SSWW,supported,14,booked_in_advance,32,0.015625,0.0,0.015625,-0.15329861111111112
N-Q-MNSP1,Directlink,forward,N-X_KCTX_LDTM,unsupported,1,booked_in_advance,23,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,N-X_KCTX_LDTM,unsupported,7,booked_in_advance,23,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,N-X_KCTX_LDTM,unsupported,14,booked_in_advance,23,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,N-X_KCTX_LDTM,unsupported,1,booked_in_advance,23,0.572463768115942,0.1603864734299517,0.4120772946859904,0.21485507246376814
N-Q-MNSP1,Directlink,reverse,N-X_KCTX_LDTM,unsupported,7,booked_in_advance,23,0.572463768115942,0.1603864734299517,0.4120772946859904,0.21485507246376814
N-Q-MNSP1,Directlink,reverse,N-X_KCTX_LDTM,unsupported,14,booked_in_advance,23,0.572463768115942,0.1603864734299517,0.4120772946859904,0.21485507246376814
N-Q-MNSP1,Directlink,forward,Q-BKBM,supported,1,booked_in_advance,693,0.0,0.0,0.0,0.026887926887926888
N-Q-MNSP1,Directlink,forward,Q-BKBM,supported,7,booked_in_advance,433,0.0,0.0,0.0,0.06493456505003849
