ic,name,direction,level,key,families,layer,n_units,own_diff,own_ci_lo,own_ci_hi,placebo_clean
T-V-MNSP1,Basslink,forward,K2,N-TWUL_85,N-TWUL_85,binding,719,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,N-TWUL_85,N-TWUL_85,binding,719,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,Q-X_BRHA_TWO,Q-X_BRHA_TWO,binding,254,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,Q-X_BRHA_TWO,Q-X_BRHA_TWO,binding,254,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,Q-X_BRTX1+BRHA,Q-X_BRTX1+BRHA,binding,32,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,Q-X_BRTX1+BRHA,Q-X_BRTX1+BRHA,binding,32,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,S-TBSE,S-TBSE,binding,2261,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,S-TBSE,S-TBSE,binding,2261,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,V-CRML,V-CRML,binding,486,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,V-CRML,V-CRML,binding,486,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,V-DDMS,V-DDMS,binding,739,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,V-DDMS,V-DDMS,binding,739,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,V-HGMO,V-HGMO,binding,24,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,V-HGMO,V-HGMO,binding,24,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,V-HYMO,V-HYMO,binding,270,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,V-HYMO,V-HYMO,binding,270,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,V-HYTR,V-HYTR,binding,41,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,V-HYTR,V-HYTR,binding,41,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,V-KG_WE_RC,V-KG_WE_RC,binding,220,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,V-KG_WE_RC,V-KG_WE_RC,binding,220,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,V-MLSY_NOEMTT_R,V-MLSY_NOEMTT_R,binding,1089,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,V-MLSY_NOEMTT_R,V-MLSY_NOEMTT_R,binding,1089,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,V-MOTR,V-MOTR,binding,44,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,V-MOTR,V-MOTR,binding,44,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,V-RCTS_BUS2,V-RCTS_BUS2,binding,193,0.0,0.0,0.0,True
