week,ic,name,direction,outages,supported_rows,largest_reduction_mw,overlap_max,top_binding_eq,top_binding_p
2026-11-30,VIC1-NSW1,VNI,reverse,1,1,-21.43283624999998,4,N^^V_DTSS_1,0.0
2026-12-07,N-Q-MNSP1,Directlink,forward,4,5,-3.013485000000003,4,N::Q_ARDM_1,0.0303135888501742
2026-12-07,N-Q-MNSP1,Directlink,reverse,4,5,-4.366666666666667,4,N>>NIL_964_84_S,0.2722222222222222
2026-12-07,NSW1-QLD1,QNI,forward,5,3,-112.41499999999996,6,F_Q++8C_L6,0.3586844758655451
2026-12-07,NSW1-QLD1,QNI,reverse,5,4,-46.45105333333345,6,N>>NIL_964_84_S,0.3084837147887324
2026-12-07,V-S-MNSP1,Murraylink,forward,1,1,3.0,1,VS_600_TEST,0.1352272727272727
2026-12-07,V-S-MNSP1,Murraylink,reverse,1,1,-34.496943333333334,1,V^^V_BDBU_KGTS,0.1510233918128654
2026-12-07,VIC1-NSW1,VNI,forward,3,4,-411.25192166666665,3,V^^N_NIL_1,0.077678164845173
2026-12-07,VIC1-NSW1,VNI,reverse,3,5,-137.93621374999998,3,N^^V_NIL_1,0.1009762067395263
2026-12-14,N-Q-MNSP1,Directlink,forward,1,2,-0.5000000000000036,1,N>>NIL_33_34,0.0095415360501567
2026-12-14,N-Q-MNSP1,Directlink,reverse,1,2,0.1602525000000056,1,N>>NIL_964_84_S,0.2722222222222222
2026-12-14,NSW1-QLD1,QNI,forward,3,4,-112.41499999999996,3,F_Q++8C_L6,0.1133792562724014
2026-12-14,NSW1-QLD1,QNI,reverse,3,4,-290.9186533333334,3,N>>NIL_964_84_S,0.1337448559670782
2026-12-14,T-V-MNSP1,Basslink,forward,2,1,0.0,1,F_MAIN++BIP_ML_L1,0.0117522338331061
2026-12-14,T-V-MNSP1,Basslink,reverse,2,1,-28.07333416666665,1,V_T_NIL_FCSPS,0.1871674491392801
2026-12-14,V-S-MNSP1,Murraylink,forward,4,2,-101.02114333333331,3,S>>BGBW_TWPA_TPRS,0.0159785932721712
2026-12-14,V-S-MNSP1,Murraylink,reverse,4,2,-38.882649166666674,3,V^^V_BDBU_KGTS,0.2106285863328117
2026-12-14,V-SA,Heywood,forward,1,0,0.0,0,V::N_JNWG_V2,0.0395981087470449
2026-12-14,V-SA,Heywood,reverse,1,0,0.0,0,V^^V_NIL_KGTS,0.0530141843971631
2026-12-14,VIC1-NSW1,VNI,forward,4,3,-290.65218166666665,2,V>>N_NIL_65_051,0.0582485156912637
2026-12-14,VIC1-NSW1,VNI,reverse,4,4,-125.82361166666666,2,N^^V_DTSS_1,0.0683695652173911
2026-12-21,N-Q-MNSP1,Directlink,forward,2,3,-3.491657499999995,1,N>96L_96R_967_89,0.0012810085400569
2026-12-21,N-Q-MNSP1,Directlink,reverse,2,3,-44.11819,1,N>>NIL_964_88_S,0.1194145437148666
2026-12-21,NSW1-QLD1,QNI,forward,3,2,-568.0765250000001,2,F_Q++8E_L6,0.0160910158717176
2026-12-21,NSW1-QLD1,QNI,reverse,3,2,-36.60121,2,N>>NIL_964_84_S,0.837121212121212
2026-12-21,T-V-MNSP1,Basslink,forward,2,2,-11.322283333333289,0,F_MAIN++BIP_ML_L1,0.0295469679673446
2026-12-21,T-V-MNSP1,Basslink,reverse,2,2,-30.04568666666665,0,V_T_NIL_FCSPS,0.0018062397372742
2026-12-21,V-S-MNSP1,Murraylink,forward,1,1,-66.31624083333332,0,V^SML_BUDP_3,0.1499793473771169
2026-12-21,V-S-MNSP1,Murraylink,reverse,1,1,2.0034774999999883,0,V^^V_BDBU_KGTS,0.1784893689986282
2026-12-21,V-SA,Heywood,forward,2,1,-144.19810666666666,0,F_S++HYSE_L6,0.0066115702479338
2026-12-21,V-SA,Heywood,reverse,2,2,-143.2483525,0,F_S++TBTU_R6,0.0057851239669421
2026-12-21,VIC1-NSW1,VNI,forward,2,2,-58.27631416666662,0,N>>BDBU_970_051,0.115074074074074
2026-12-21,VIC1-NSW1,VNI,reverse,2,2,-144.30747666666667,0,N^^V_NIL_1,0.0981646651643235
2027-01-04,N-Q-MNSP1,Directlink,forward,1,1,-0.107440000000011,0,N::Q_ARDM_1,0.0303135888501742
2027-01-04,N-Q-MNSP1,Directlink,reverse,1,1,28.30000000000001,0,N>>NIL_966/1,0.0853787585494902
2027-01-04,NSW1-QLD1,QNI,forward,2,1,-21.49090666666666,2,F_Q++8C_L6,0.3227295909394667
2027-01-04,NSW1-QLD1,QNI,reverse,2,2,-9.98603291666666,2,F_Q++8C_R6,0.051313531004889
