ic,name,direction,level,key,families,layer,n_units,own_diff,own_ci_lo,own_ci_hi,placebo_clean
NSW1-QLD1,QNI,forward,K2,Q-BCCP_812,Q-BCCP_812,setter,80,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-BCCP_812,Q-BCCP_812,setter,80,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-BKBM,Q-BKBM,setter,1146,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-BKBM,Q-BKBM,setter,1146,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-BRTX1,Q-BRTX1,setter,89,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-BRTX1,Q-BRTX1,setter,89,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-CPWO_813/1,Q-CPWO_813/1,setter,1345,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-CPWO_813/1,Q-CPWO_813/1,setter,1345,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-LCCP_8859,Q-LCCP_8859,setter,328,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-LCCP_8859,Q-LCCP_8859,setter,328,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-RGLC_8875,Q-RGLC_8875,setter,530,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-RGLC_8875,Q-RGLC_8875,setter,530,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_BRHA_TWO,Q-X_BRHA_TWO,setter,240,0.0,0.0,0.0,True
NSW1-QLD1,QNI,reverse,K2,Q-X_BRHA_TWO,Q-X_BRHA_TWO,setter,240,0.0,0.0,0.0,True
NSW1-QLD1,QNI,forward,K2,Q-X_HACL_HATR,Q-X_HACL_HATR,setter,487,0.0006844626967830253,0.0,0.002569249945374729,True
NSW1-QLD1,QNI,reverse,K2,Q-X_HACL_HATR,Q-X_HACL_HATR,setter,487,0.0,0.0,0.0,True
