as_of,ic,direction,GENCONSETID,embargo_effect,embargo_ci_lo,embargo_ci_hi,rerun_effect,rerun_ci_lo,rerun_ci_hi,rerun_units,embargo_units,agree
2026-07-10 00:00:11,NSW1-QLD1,forward,N-ARTW_86,-62.61887333333334,-122.496805,-14.669160250000031,-64.21828,-122.496805,-19.522769708333353,719,719,True
2026-07-10 00:00:11,NSW1-QLD1,reverse,N-ARTW_86,-58.78555666666665,-111.99789166666662,-17.49078483333332,-63.54341333333335,-113.46616999999998,-23.828643333333346,719,719,True
2026-07-10 00:00:11,NSW1-QLD1,forward,N-AVMA_17,37.41543166666668,13.269661062499942,76.32600762499999,31.242621666666707,6.174947291666586,66.76467333333329,1309,1309,True
2026-07-10 00:00:11,NSW1-QLD1,reverse,N-AVMA_17,0.15520333333324743,-29.90158000000008,29.714416937499895,2.1237683333332598,-26.748163041666626,33.55222695833319,1309,1309,True
2026-07-10 00:00:11,NSW1-QLD1,reverse,N-DMSR_8J,-640.97424,-715.962145,-573.9531863958334,-640.97424,-715.962145,-573.9531863958334,1313,1313,True
2026-07-10 00:00:11,NSW1-QLD1,forward,N-DTMN_8_15M,3.2730916666666587,-41.66419297916667,42.04791837499994,3.369195000000005,-40.176669604166676,41.55737833333333,639,639,True
2026-07-10 00:00:11,NSW1-QLD1,reverse,N-DTMN_8_15M,-4.38714583333342,-54.28685204166684,43.8314083333334,-2.415246666666576,-53.64610283333335,53.3073133333333,639,639,True
2026-07-10 00:00:11,NSW1-QLD1,forward,N-DTSS_11,25.551960000000008,-49.095262000000076,102.33056833333336,20.42301916666665,-57.349504687499945,96.61540333333323,856,855,True
2026-07-10 00:00:11,NSW1-QLD1,reverse,N-DTSS_11,42.738680000000045,-11.99371166666674,99.72388666666654,33.857106666666596,-34.58271833333333,94.61729833333334,856,855,True
2026-07-10 00:00:11,NSW1-QLD1,forward,N-LDTM_82,7.233110000000011,-38.11523999999997,63.10613275000001,7.616666666666671,-39.51475999999997,63.10613275000001,875,875,True
2026-07-10 00:00:11,NSW1-QLD1,reverse,N-LDTM_82,18.882410833333324,-8.155543333333526,48.34262666666655,18.72867833333339,-8.215150208333267,47.62882104166649,875,875,True
2026-07-10 00:00:11,NSW1-QLD1,forward,N-LDTW_84,-57.33585166666667,-162.11756904166668,-4.338902312500044,-59.15521166666667,-162.11974166666664,-4.338902312500044,427,426,True
2026-07-10 00:00:11,NSW1-QLD1,reverse,N-LDTW_84,-36.601209999999995,-127.78377833333336,53.37990499999998,-36.646111666666684,-127.78377833333336,50.93918587499993,427,426,True
2026-07-10 00:00:11,NSW1-QLD1,forward,N-X_8E+DM+TW+LS_SVC,-202.45844708333334,-622.352355,54.44958333333335,-202.45844708333334,-622.352355,54.44958333333335,46,46,True
2026-07-10 00:00:11,NSW1-QLD1,reverse,N-X_8E+DM+TW+LS_SVC,-348.9529825,-397.16256999999996,-231.30239666666665,-348.9529825,-397.16256999999996,-231.30239666666665,46,46,True
2026-07-10 00:00:11,NSW1-QLD1,forward,N-X_AVMA_SSWW,-112.41499999999996,-381.88917583333335,42.16974666666681,-157.45595166666658,-397.49877083333337,21.79132070833326,183,183,True
2026-07-10 00:00:11,NSW1-QLD1,reverse,N-X_AVMA_SSWW,-46.45105333333345,-121.56971833333364,115.08344499999998,-22.523131666666586,-119.60209333333341,138.56378333333328,183,183,True
2026-07-10 00:00:11,NSW1-QLD1,reverse,Q-BKBM,32.81884750000003,-7.531765000000064,90.06107499999985,33.611578333333455,-7.001259375000014,90.12833354166645,935,936,True
