ic,name,direction,direction_label,season,season_block,flow_median,intervals,capacity_p10,capacity_median,capacity_p90,headroom_median,restricted_rate,forced_rate
NSW1-QLD1,QNI,reverse,QLD → NSW,Winter,Winter 2024,379.0724124999999,4416,836.4861,1058.9819825,1191.6518033333332,670.5350675,0.014719202898550724,0.0004528985507246377
NSW1-QLD1,QNI,reverse,QLD → NSW,Winter,Winter 2025,626.9555358333333,4416,903.6508991666667,1078.0,1194.5015533333333,428.9569749999999,0.017210144927536232,0.0004528985507246377
NSW1-QLD1,QNI,reverse,QLD → NSW,Winter,Winter 2026,577.0386608333333,4416,465.3962908333333,1050.6502716666666,1183.8452233333333,204.39902333333333,0.13541666666666666,0.0
T-V-MNSP1,Basslink,forward,TAS → VIC,Autumn,Autumn 2024,-365.6327541666667,4416,-227.40000333333333,-201.64896749999997,408.0604325,177.7662725,0.761322463768116,0.7497735507246377
T-V-MNSP1,Basslink,forward,TAS → VIC,Autumn,Autumn 2025,-422.12777500000004,4416,-260.24999916666667,-215.22912000000002,337.4666666666667,201.85730916666665,0.839447463768116,0.8310688405797102
T-V-MNSP1,Basslink,forward,TAS → VIC,Autumn,Autumn 2026,0.0,4416,-150.62197916666668,125.0,148.38313833333333,125.0,0.41281702898550726,0.3842844202898551
T-V-MNSP1,Basslink,forward,TAS → VIC,Spring,Spring 2023,-257.8917466666667,4367,-246.12334099999998,-194.54192833333332,411.99830966666667,126.68278500000002,0.7098694756125487,0.6336157545225556
T-V-MNSP1,Basslink,forward,TAS → VIC,Spring,Spring 2024,-155.97839083333332,4368,-229.58000216666665,-111.701245,452.99571849999995,150.77733249999997,0.638507326007326,0.5643315018315018
T-V-MNSP1,Basslink,forward,TAS → VIC,Spring,Spring 2025,0.0,4368,-37.33166383333332,125.0,322.02521816666666,125.0,0.6407967032967034,0.11607142857142858
T-V-MNSP1,Basslink,forward,TAS → VIC,Spring,Spring 2026,263.7527616666667,1,363.7,363.7,363.7,99.9472383333333,0.0,0.0
T-V-MNSP1,Basslink,forward,TAS → VIC,Summer,Summer 2023–24,-438.831575,4368,-239.21001083333334,-221.21225166666667,271.8510300000002,208.32360249999996,0.8685897435897436,0.8621794871794872
T-V-MNSP1,Basslink,forward,TAS → VIC,Summer,Summer 2024–25,-404.10201166666667,4320,-253.55167516666668,-198.7626575,350.0,192.55496083333335,0.8233796296296296,0.8150462962962963
T-V-MNSP1,Basslink,forward,TAS → VIC,Summer,Summer 2025–26,-60.0,4320,-169.823348,-51.086333333333336,125.0,83.42150833333332,0.6094907407407407,0.5715277777777777
T-V-MNSP1,Basslink,forward,TAS → VIC,Winter,Winter 2024,-406.73012916666664,4416,-262.1916708333333,-213.7875633333333,380.40749666666665,198.72783666666663,0.7937047101449275,0.7719655797101449
T-V-MNSP1,Basslink,forward,TAS → VIC,Winter,Winter 2025,-82.35768333333333,4416,-250.4005775,-70.354815,320.7279408333334,125.0,0.7726449275362319,0.5500452898550725
T-V-MNSP1,Basslink,forward,TAS → VIC,Winter,Winter 2026,75.0277925,4416,-168.18032749999998,267.11580583333335,459.0,125.0,0.4628623188405797,0.23007246376811594
T-V-MNSP1,Basslink,reverse,VIC → TAS,Autumn,Autumn 2024,365.6327541666667,4416,-201.45871583333334,393.17611,440.64381749999995,10.711988333333352,0.2463768115942029,0.21173007246376813
T-V-MNSP1,Basslink,reverse,VIC → TAS,Autumn,Autumn 2025,422.12777500000004,4416,-127.60164833333334,422.951725,476.129995,-0.0003624999999942702,0.1659873188405797,0.13971920289855072
T-V-MNSP1,Basslink,reverse,VIC → TAS,Autumn,Autumn 2026,-0.0,4416,0.9443074999999999,125.0,353.79411500000003,125.0,0.6234148550724637,0.07835144927536232
T-V-MNSP1,Basslink,reverse,VIC → TAS,Spring,Spring 2023,257.8917466666667,4367,-215.9040246666667,351.04179,461.570017,6.638261666666608,0.3684451568582551,0.28280283947790247
T-V-MNSP1,Basslink,reverse,VIC → TAS,Spring,Spring 2024,155.97839083333332,4368,-229.97287316666666,289.36314416666664,450.7929726666667,6.916477500000013,0.4320054945054945,0.35233516483516486
