name,direction,GENCONSETID,episodes,treated_hours,match_rate,effect_capacity,placebo_effect_capacity,placebo_ci_lo,placebo_ci_hi,placebo_clean,tier
Heywood,forward,I-6F_NS_050,1,4.5,1.0,-212.06956666666665,113.31868500000002,18.627243333333325,233.66511333333318,False,unsupported
Heywood,reverse,I-6F_NS_050,1,4.5,1.0,-276.4824433333333,0.0,-18.40515833333336,0.0,True,unsupported
Heywood,forward,I-6F_SN_050,1,4.5,1.0,-434.4893883333333,113.31868500000002,18.627243333333325,233.66511333333318,False,unsupported
Heywood,reverse,I-6F_SN_050,1,4.5,1.0,-288.76472,0.0,-18.40515833333336,0.0,True,unsupported
Heywood,forward,I-BDBU_ONE,27,3306.5,0.5778013004687736,-34.32265666666672,36.55890708333337,10.946478770833306,61.97959958333333,False,unsupported
Heywood,reverse,I-BDBU_ONE,27,3306.5,0.5778013004687736,1.8612583333333532,0.0,-24.03513047916662,34.83865270833333,True,unsupported
Heywood,forward,I-HYSE,15,423.0,0.8498817966903073,31.19170916666667,-69.68880916666666,-168.45608333333334,-2.469091250000017,False,unsupported
Heywood,reverse,I-HYSE,15,423.0,0.8498817966903073,44.272841666666665,-118.36743,-178.44449745833333,-19.149954125000058,False,unsupported
Heywood,forward,I-JNWO_63,2,39.0,0.9615384615384616,26.274770833333378,62.44805000000004,-26.43256750000006,177.55827333333337,True,unsupported
Heywood,reverse,I-JNWO_63,2,39.0,0.9615384615384616,129.73250000000002,0.0,-153.32051666666666,66.69792333333328,True,unsupported
Heywood,forward,I-JNWO_RADIAL,1,39.0,0.9615384615384616,26.274770833333378,62.44805000000004,-26.43256750000006,177.55827333333337,True,unsupported
Heywood,reverse,I-JNWO_RADIAL,1,39.0,0.9615384615384616,129.73250000000002,0.0,-153.32051666666666,66.69792333333328,True,unsupported
Heywood,forward,I-SV_HEY_250,1,22.0,0.6590909090909091,-325.17852000000005,22.720797500000018,-342.95476791666675,365.61787,True,unsupported
Heywood,reverse,I-SV_HEY_250,1,22.0,0.6590909090909091,-38.177599999999984,-89.05721166666666,-270.7619033333333,-26.435479999999984,False,unsupported
Heywood,forward,I-SV_HEY_550_TEST,0,,,,,,,,unsupported
Heywood,reverse,I-SV_HEY_550_TEST,0,,,,,,,,unsupported
Heywood,forward,I-SV_HEY_600_TEST,0,,,,,,,,unsupported
Heywood,reverse,I-SV_HEY_600_TEST,0,,,,,,,,unsupported
Heywood,forward,I-VS_250,0,,,,,,,,unsupported
Heywood,reverse,I-VS_250,0,,,,,,,,unsupported
Heywood,forward,I-VS_HEY_250,1,22.0,0.6590909090909091,-344.19577833333335,22.720797500000018,-342.95476791666675,365.61787,True,unsupported
Heywood,reverse,I-VS_HEY_250,1,22.0,0.6590909090909091,-49.484309999999994,-89.05721166666666,-270.7619033333333,-26.435479999999984,False,unsupported
Heywood,forward,I-VS_HEY_600_TEST,0,,,,,,,,unsupported
Heywood,reverse,I-VS_HEY_600_TEST,0,,,,,,,,unsupported
Heywood,forward,I-X_BDBU+HYSE,5,42.5,1.0,93.0043425,17.89005833333332,-50.219507499999985,94.59940833333334,True,supported
Heywood,reverse,I-X_BDBU+HYSE,5,42.5,1.0,52.864003333333315,-108.13796083333335,-221.1515758333333,36.170625166666476,True,supported
Heywood,forward,N-BABU,21,514.5,0.8027210884353742,16.863709166666723,0.0,-27.89114666666667,28.966625000000022,True,supported
Heywood,reverse,N-BABU,21,514.5,0.8027210884353742,127.23130749999999,-75.98013000000003,-137.50957112499998,-17.76177999999993,False,unsupported
Heywood,forward,N-JNWG_RADIAL,3,206.5,0.9297820823244553,37.98474833333336,-15.312500833333345,-70.94090329166671,12.089792166666532,True,indicative
Heywood,reverse,N-JNWG_RADIAL,3,206.5,0.9297820823244553,9.683451666666684,-37.085798333333315,-95.16356999999999,0.0,True,indicative
Heywood,forward,N-LTWG_63,2,18.0,0.3055555555555556,104.03596000000005,-52.89955166666669,-293.95349583333336,-1.6035049999999273,False,unsupported
Heywood,reverse,N-LTWG_63,2,18.0,0.3055555555555556,193.08187333333336,43.467379166666674,19.914311666666663,45.172336666666666,False,unsupported
Heywood,forward,N-LTWG_RADIAL,4,55.5,0.7567567567567568,110.85950416666674,-31.39123749999999,-124.38523999999995,23.391360000000077,True,indicative
Heywood,reverse,N-LTWG_RADIAL,4,55.5,0.7567567567567568,18.188904166666703,0.0,0.0,10.536943333333397,True,indicative
