ic,name,direction,GENCONSETID,effect_capacity,ci_lo_capacity,ci_hi_capacity,tier,episodes,treated_hours,relation,ci_excludes_zero
NSW1-QLD1,QNI,reverse,CA_BRIS_57A00625,,,,unsupported,0,,relevant,False
NSW1-QLD1,QNI,forward,CA_BRIS_582D74B3,,,,unsupported,0,,relevant,False
NSW1-QLD1,QNI,reverse,CA_BRIS_582D74B3,,,,unsupported,0,,relevant,False
NSW1-QLD1,QNI,forward,CA_BRIS_59712B29,119.44018249999988,102.02040166666677,140.52083333333337,unsupported,1,27.5,relevant,True
NSW1-QLD1,QNI,reverse,CA_BRIS_59712B29,-122.28190333333328,-161.1214183333334,-8.565399999999954,unsupported,1,27.5,relevant,True
NSW1-QLD1,QNI,forward,CA_SYDS_566A36E5,,,,unsupported,0,,relevant,False
NSW1-QLD1,QNI,reverse,CA_SYDS_566A36E5,,,,unsupported,0,,relevant,False
NSW1-QLD1,QNI,forward,CA_SYDS_59839EB2,7.830809583333348,-3.7602033333333793,60.74205000000006,indicative,3,28.0,relevant,False
NSW1-QLD1,QNI,reverse,CA_SYDS_59839EB2,3.494372500000054,-1.2989116666667542,8.500771666666651,indicative,3,28.0,relevant,False
NSW1-QLD1,QNI,forward,I-BCDM_ONE,-479.7489833333334,-583.650425,-397.77941333333337,unsupported,2,13.0,relevant,True
NSW1-QLD1,QNI,reverse,I-BCDM_ONE,-642.8244658333333,-890.0151366666668,-598.7120316666667,unsupported,2,13.0,relevant,True
NSW1-QLD1,QNI,forward,I-NQ_950_TEST,,,,unsupported,0,,relevant,False
NSW1-QLD1,QNI,reverse,I-NQ_950_TEST,,,,unsupported,0,,relevant,False
NSW1-QLD1,QNI,forward,N-ARDM_8C,-446.92650666666674,-495.6668460833333,-384.5129087083332,supported,21,1640.0,relevant,True
NSW1-QLD1,QNI,reverse,N-ARDM_8C,-534.0141550000001,-582.8669662500001,-472.64288,supported,21,1640.0,relevant,True
NSW1-QLD1,QNI,forward,N-ARKS_965,46.69433500000008,0.0,118.90341166666667,indicative,3,75.0,relevant,False
NSW1-QLD1,QNI,reverse,N-ARKS_965,-27.132970000000114,-120.77943500000003,7.953148333333502,indicative,3,75.0,relevant,False
NSW1-QLD1,QNI,forward,N-ARSR_8E,-505.57287500000007,-538.3179581249999,-456.6777480208333,supported,10,990.0,relevant,True
NSW1-QLD1,QNI,reverse,N-ARSR_8E,-655.8790283333335,-750.8865465416668,-583.2350116666665,supported,10,990.0,relevant,True
NSW1-QLD1,QNI,forward,N-ARTW_86,-62.61887333333334,-122.496805,-14.669160250000031,supported,12,384.0,relevant,True
NSW1-QLD1,QNI,reverse,N-ARTW_86,-58.78555666666665,-111.99789166666662,-17.49078483333332,supported,12,384.0,relevant,True
NSW1-QLD1,QNI,forward,N-AVMA_17,36.36061666666666,13.60353166666664,76.32124833333332,supported,10,722.0,relevant,True
NSW1-QLD1,QNI,reverse,N-AVMA_17,2.4886808333333192,-25.915166791666735,35.41150320833336,supported,10,722.0,relevant,False
NSW1-QLD1,QNI,forward,N-CHKS_ONE,-48.654988333333336,-96.02665329166676,4.4429366666666965,supported,10,202.5,relevant,False
NSW1-QLD1,QNI,reverse,N-CHKS_ONE,13.72745249999997,-30.9747280000001,64.92392333333339,supported,10,202.5,relevant,False
NSW1-QLD1,QNI,forward,N-DMSR_8J,-246.18731666666665,-305.6433157083334,-165.3702333333333,supported,9,728.0,relevant,True
NSW1-QLD1,QNI,reverse,N-DMSR_8J,-635.4128766666668,-700.4714799999999,-559.3940000833333,supported,9,728.0,relevant,True
NSW1-QLD1,QNI,forward,N-DTMN_8_15M,-0.7826316666666546,-49.55289520833331,34.873618249999865,supported,9,383.0,relevant,False
NSW1-QLD1,QNI,reverse,N-DTMN_8_15M,1.7818158333333827,-49.567655,55.931960000000004,supported,9,383.0,relevant,False
NSW1-QLD1,QNI,forward,N-DTSS_11,14.438940833333334,-39.29105916666663,73.11553179166658,supported,9,536.5,relevant,False
NSW1-QLD1,QNI,reverse,N-DTSS_11,57.919491249999965,7.129691666666645,105.56993666666676,supported,9,536.5,relevant,True
NSW1-QLD1,QNI,forward,N-LDTM_82,0.0,-33.2884416666667,29.162146666666672,supported,13,1450.5,relevant,False
NSW1-QLD1,QNI,reverse,N-LDTM_82,4.038773333333438,-9.71986279166666,22.707248333333382,supported,13,1450.5,relevant,False
NSW1-QLD1,QNI,forward,N-LDTW_84,-57.33585166666667,-162.11756904166668,-4.338902312500044,supported,7,226.5,relevant,True
NSW1-QLD1,QNI,reverse,N-LDTW_84,-36.601209999999995,-127.78377833333336,53.37990499999998,supported,7,226.5,relevant,False
NSW1-QLD1,QNI,forward,N-MA_CB172A,0.0,-25.371375833333303,22.7663583333333,unsupported,2,549.0,relevant,False
NSW1-QLD1,QNI,reverse,N-MA_CB172A,26.87621333333334,-8.443641666666622,98.96650800000012,unsupported,2,549.0,relevant,False
NSW1-QLD1,QNI,forward,N-MPWW_ONE,121.99680583333338,27.01940666666667,294.02400324999996,unsupported,8,986.0,relevant,True
NSW1-QLD1,QNI,reverse,N-MPWW_ONE,61.51266499999997,-0.3024687499998398,107.70439950000002,unsupported,8,986.0,relevant,False
NSW1-QLD1,QNI,forward,N-TWUL_85,-570.1900625000001,-651.089745,-471.6599655,supported,5,343.0,relevant,True
NSW1-QLD1,QNI,reverse,N-TWUL_85,-619.643605,-700.8528441666667,-507.47279562500006,supported,5,343.0,relevant,True
NSW1-QLD1,QNI,forward,N-X_10+76,11.524643333333302,1.148623333333262,1.148623333333262,unsupported,2,3.0,relevant,True
NSW1-QLD1,QNI,reverse,N-X_10+76,463.4727633333333,412.43232333333333,412.43232333333333,unsupported,2,3.0,relevant,True
NSW1-QLD1,QNI,forward,N-X_2+8,,,,unsupported,0,,relevant,False
NSW1-QLD1,QNI,reverse,N-X_2+8,,,,unsupported,0,,relevant,False
NSW1-QLD1,QNI,forward,N-X_3L+11_WG_CLOSE,-21.49090666666666,-57.652514999999994,57.12125333333336,unsupported,2,81.0,relevant,False
NSW1-QLD1,QNI,reverse,N-X_3L+11_WG_CLOSE,-9.986032916666659,-128.16920499999992,45.422709166666664,unsupported,2,81.0,relevant,False
NSW1-QLD1,QNI,forward,N-X_4+17_WG_CLOSE,-2.865759166666635,-136.92629666666664,91.41474539582123,unsupported,2,80.0,relevant,False
NSW1-QLD1,QNI,reverse,N-X_4+17_WG_CLOSE,7.492045833333236,-32.450649999999996,171.23931541666312,unsupported,2,80.0,relevant,False
NSW1-QLD1,QNI,forward,N-X_76_8,343.4658166666667,343.4658166666667,343.4658166666667,unsupported,2,4.5,relevant,True
NSW1-QLD1,QNI,reverse,N-X_76_8,528.408105,528.408105,528.408105,unsupported,2,4.5,relevant,True
NSW1-QLD1,QNI,forward,N-X_8E+DM+TW+LS_SVC,-202.45844708333334,-622.352355,54.44958333333335,supported,5,26.5,relevant,False
NSW1-QLD1,QNI,reverse,N-X_8E+DM+TW+LS_SVC,-348.9529825,-397.16256999999996,-231.30239666666665,supported,5,26.5,relevant,True
NSW1-QLD1,QNI,forward,N-X_8U+DM+TW+LS_SVC,-715.6651875,-743.5425766666667,-695.6402925,indicative,3,28.0,relevant,True
NSW1-QLD1,QNI,reverse,N-X_8U+DM+TW+LS_SVC,-482.2123675,-546.2029266666667,-318.2231666666666,indicative,3,28.0,relevant,True
NSW1-QLD1,QNI,forward,N-X_AVMA_KCTX,117.28912291666666,-29.762544166666657,247.63845833333323,unsupported,2,35.0,relevant,False
NSW1-QLD1,QNI,reverse,N-X_AVMA_KCTX,-23.507674583333255,-60.12338999999986,51.1976699999999,unsupported,2,35.0,relevant,False
NSW1-QLD1,QNI,forward,N-X_AVMA_SSWW,-112.41499999999996,-381.88917583333335,42.16974666666681,supported,10,102.5,relevant,False
NSW1-QLD1,QNI,reverse,N-X_AVMA_SSWW,-46.45105333333345,-121.56971833333364,115.08344499999998,supported,10,102.5,relevant,False
NSW1-QLD1,QNI,forward,N-X_BWWO_BWLD,-149.6292024999999,-153.3825816666668,-149.6292024999999,unsupported,2,33.5,relevant,True
NSW1-QLD1,QNI,reverse,N-X_BWWO_BWLD,-167.15890833333322,-212.20353333333344,-66.06019666666657,unsupported,2,33.5,relevant,True
NSW1-QLD1,QNI,forward,N-X_KCTX_LDTM,85.20278999999982,85.20278999999982,85.20278999999982,unsupported,2,11.5,relevant,True
NSW1-QLD1,QNI,reverse,N-X_KCTX_LDTM,96.74409166666658,96.74409166666658,96.74409166666658,unsupported,2,11.5,relevant,True
NSW1-QLD1,QNI,forward,N-X_LPSS_MPWW,47.62023583333334,12.675403333333406,90.00711166666667,unsupported,5,535.0,relevant,True
NSW1-QLD1,QNI,reverse,N-X_LPSS_MPWW,-12.837056666666626,-47.58861666666667,10.702219999999897,unsupported,5,535.0,relevant,False
NSW1-QLD1,QNI,forward,Q-BCCP_812,-123.86088333333339,-966.6942274999999,-19.78004500000003,unsupported,2,21.5,relevant,True
