SUBSTATIONID,substation_name,region,owner,osm_id,osm_name,lat,lon,method,confidence
H13_ALD,H13 Aldoga,QLD1,Powerlink,,,,,unmatched,
BLYBSS,Blyth BESS,SA1,AEMO,,,,,unmatched,
H98_WBWF,H098 Wambo Windfarm,QLD1,Powerlink,,,,,unmatched,
FLYCR_WF,Flyer Creek WF,NSW1,Essential E,,,,,unmatched,
ORANGE_N,Orange North 132kV,NSW1,Transgrid,way/1078509870,Orange North Zone Substation,-33.2804625,149.1053918,name_match,medium
H157_ULB,ULINDA PARK BESS,QLD1,Powerlink,,,,,unmatched,
HOLROYD,Holroyd 330kV,NSW1,Transgrid,relation/12101895,Holroyd Transmission Substation,-33.8347505,150.9189654,name_match,medium
RAVINE,Ravine,NSW1,Transgrid,,,,,unmatched,
ROOKWOOD,Rookwood Road 330kV,NSW1,Transgrid,,,,,unmatched,
COROWA,Corowa 132kV,NSW1,Transgrid,,,,,unmatched,
MULWALA,Mulwala 132kV,NSW1,Transgrid,,,,,unmatched,
Z36_GBB,Greenbank BESS,QLD1,AEMO,,,,,unmatched,
H126_MUR,H126 MURANU,QLD1,Powerlink,,,,,unmatched,
T285_MCR,T285 MUNNA CREEK,QLD1,Powerlink,,,,,unmatched,
CULC_SF,Culcairn SF 330kV Station,NSW1,Transgrid,,,,,unmatched,
PRTS,Plumpton 500 kV,VIC1,Transgrid,,,,,unmatched,
T158_YAL,Yalkula,QLD1,Powerlink,way/191779550,Yalkula,-16.6939879,145.3425371,name_match,medium
MARAGLE,Maragle 500kV,NSW1,Transgrid,,,,,unmatched,
T294_BDL,T294 Brendale BESS,QLD1,Powerlink,,,,,unmatched,
H182_SBK,H182 Swanbank BESS,QLD1,Powerlink,,,,,unmatched,
H154_SNB,Supernode BESS (H154),QLD1,Powerlink,,,,,unmatched,
GEL_SF,Glenellen Solar Farm,NSW1,Transgrid,,,,,unmatched,
NEW_BESS,New England BESS,NSW1,Transgrid,,,,,unmatched,
LDL_EAST,Liddell East 330kV,NSW1,Transgrid,,,,,unmatched,
T264_DAMASCUS,T264 DAMASCUS 132kV,QLD1,Powerlink,,,,,unmatched,
MOSS,Mossman 132kV,QLD1,Powerlink,way/192518671,Mossman,-16.5049778,145.3954658,name_match,medium
H110_BSD,Broadsound H110 275kV,QLD1,Powerlink,,,,,unmatched,
ORA_BESS,Orana BESS 330kV,NSW1,Transgrid,,,,,unmatched,
NEVERTIRE,Nevertire 132kV,NSW1,Essential E,,,,,unmatched,
LDL_BESS,Liddell BESS,NSW1,Transgrid,,,,,unmatched,
