ic,name,direction,constraint,DUID,contribution_rows,active_intervals,total_abs_impact,p95_abs_impact,total_tightening,p95_tightening,total_relief,contraction_rows,forced_rows,sensitivity_median,sensitivity_max_abs,mean_abs_impact,mean_tightening,tightening_rank,impact_rank,relief_rank,season_blocks
VIC1-NSW1,VNI,upper,N>>NIL_33_34,BLOWERNG,2092,2092,110.27027027027026,0.0,104.96881496881497,0.0,5.301455301455301,214,268,-1.0602910602910602,1.0602910602910602,0.052710454240090944,0.05017629778624042,91.0,92.0,93.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,BOCORWF1,2092,2092,17227.63615018942,27.130259875259878,7716.321761253177,18.705777546777547,9511.314388936245,214,268,-0.9625779625779627,0.9626068376068376,8.235007719975822,3.688490325646834,52.0,58.0,54.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,BODWF1,2092,2092,41303.291047944105,61.03532432432434,22291.322248533153,47.50540540540542,19011.96879941095,214,268,-2.432432432432433,2.432432432432433,19.74344696364441,10.655507766985256,30.0,32.0,35.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,BOMENSF1,2092,2092,11379.251290742666,25.404889064449062,2585.151610540541,7.153317567567556,8794.099680202125,214,268,-1.021829521829522,1.021829521829522,5.439412662878904,1.2357321274094364,80.0,70.0,56.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,BROKENH1,2092,2092,5286.691135510511,9.180540540540541,1402.0886258720261,5.21621621621622,3884.602509638485,214,268,-1.0031185031185033,1.0031185031185033,2.52709901315034,0.670214448313588,85.0,83.0,75.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,BW01,2092,2092,208754.98111554922,442.6364370062372,129981.55153658178,427.33791372141366,78773.42957896744,214,268,-5.602910602910604,5.6089743589743595,99.78727586785335,62.13267281863374,5.0,5.0,4.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,BW02,2092,2092,137225.4262366771,418.3907938669437,105087.32540657486,395.0551194386696,32138.100830102223,214,268,-5.602910602910604,5.6089743589743595,65.59532802900435,50.23294713507403,9.0,10.0,24.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,BW03,2092,2092,180231.9966825826,376.3731022869023,131951.2576733195,369.381420790021,48280.73900926311,214,268,-4.532224532224532,4.532224532224532,86.15296208536454,63.074214949005494,4.0,6.0,15.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,BW04,2092,2092,139154.6435118503,348.6426864864866,91606.81040124739,326.36027650727675,47547.83311060291,214,268,-4.532224532224532,4.532224532224532,66.5175160190489,43.789106310347705,10.0,9.0,17.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,CAPBES1,2092,2092,17924.262403846154,67.3076923076923,10053.895769230769,49.08406730769231,7870.366634615385,214,268,-0.9615384615384616,0.9615384615384616,8.568003061111929,4.805877518752758,45.0,55.0,63.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,CAPBES1G,9,9,0.0,,0.0,,0.0,0,0,-0.9615384615384616,0.9615384615384616,0.0,0.0,95.0,95.0,94.0,1
VIC1-NSW1,VNI,upper,N>>NIL_33_34,CAPBES1L,9,9,0.0,,0.0,,0.0,0,0,0.9615384615384616,0.9615384615384616,0.0,0.0,95.0,95.0,94.0,1
VIC1-NSW1,VNI,upper,N>>NIL_33_34,CG1,2092,2092,0.0,0.0,0.0,-0.0,0.0,214,268,2.525987525987526,2.525987525987526,0.0,0.0,95.0,95.0,94.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,CG2,2092,2092,5302.243985239085,0.0,4032.935253430354,-0.0,1269.3087318087319,214,268,2.525987525987526,2.525987525987526,2.534533453747173,1.9277893180833432,72.0,82.0,85.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,CG3,2092,2092,7099.287941787942,0.0,3316.6216216216217,-0.0,3782.6663201663205,214,268,2.525987525987526,2.525987525987526,3.3935410811605844,1.5853831843315591,76.0,78.0,77.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,CG4,2092,2092,2809.188263825364,0.0,509.27662141372144,-0.0,2299.911642411643,214,268,2.525987525987526,2.525987525987526,1.3428242178897534,0.24344006759738118,88.0,86.0,84.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,COLEASF1,2092,2092,21024.04850962578,46.570025488565484,4605.251242195945,9.001710187110197,16418.797267429833,214,268,-1.0103950103950103,1.0103950103950103,10.049736381274274,2.2013629264798973,67.0,46.0,38.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,COLWF01,2092,2092,32824.77025351236,48.91945426195427,16946.083519050593,35.46225598290599,15878.686734461771,214,268,-1.0343035343035345,1.0343035343035345,15.690616755981052,8.100422332242157,33.0,37.0,39.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,CROOKWF2,2092,2092,15747.502353095404,21.096372141372143,7617.1240832871335,16.534688149688154,8130.37826980827,214,268,-1.133056133056133,1.133056133056133,7.52748678446243,3.641072697555991,53.0,63.0,62.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,CROOKWF3,2092,2092,11958.771876368677,18.59798336798337,6608.693511319011,14.209656964656965,5350.078365049665,214,268,-1.133056133056133,1.133056133056133,5.716430151227857,3.1590313151620513,58.0,67.0,70.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,CRURWF1,2092,2092,45104.04988694849,64.24,21314.564021737122,45.11135135135133,23789.485865211365,214,268,-2.1621621621621623,2.1621621621621623,21.560253292040386,10.188606128937439,31.0,30.0,32.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,CRWASF1,2092,2092,5918.408677793947,13.839191282051281,1806.4201036890738,5.291823908523907,4111.988574104874,214,268,-1.0083160083160083,1.0085470085470085,2.829067245599401,0.8634895333121768,83.0,81.0,74.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,CUSF1,128,128,2397.8546417200855,107.71443022435898,1145.31302650641,39.16888371794872,1252.5416152136752,18,36,-1.0053418803418803,1.0053418803418803,18.733239388438168,8.947758019581329,86.0,87.0,86.0,1
VIC1-NSW1,VNI,upper,N>>NIL_33_34,DARLSF1,2092,2092,41716.49313347713,85.53480773388775,7882.303528448545,11.860249022869022,33834.18960502859,214,268,-1.0103950103950103,1.0103950103950103,19.94096230089729,3.7678315145547536,51.0,31.0,23.0,5
VIC1-NSW1,VNI,upper,N>>NIL_33_34,DPNTB1,2092,2092,8636.975348560292,25.233887733887737,4787.40288706341,25.233887733887737,3849.572461496882,214,268,-1.0093555093555096,1.0096153846153846,4.128573302371077,2.2884335024203684,66.0,71.0,76.0,5
