n_treated,n_matched,match_rate,treated_hours,treated_days,exact_share,effect_capacity,treated_capacity,control_capacity,effect_headroom,treated_headroom,control_headroom,effect_directional_flow,treated_directional_flow,control_directional_flow,effect_restricted,treated_restricted,control_restricted,effect_forced_direction,treated_forced_direction,control_forced_direction,effect_tight_capacity,treated_tight_capacity,control_tight_capacity,effect_tightening,treated_tightening,control_tightening,effect_relief,treated_relief,control_relief,effect_capacity_pct,ci_lo_capacity,ci_hi_capacity,ci_lo_headroom,ci_hi_headroom,ci_lo_directional_flow,ci_hi_directional_flow,smd_before_temperature_mean,smd_after_temperature_mean,smd_before_vre_difference,smd_after_vre_difference,smd_before_residual_difference,smd_after_residual_difference,smd_before_half_hour,smd_after_half_hour,smd_before_other_count,smd_after_other_count,max_abs_smd_after,share_exact,share_count,share_coarse,placebo_n,placebo_effect_capacity,placebo_ci_lo,placebo_ci_hi,placebo_clean,ic,name,direction,level,key,GENCONSETID,episodes,lead_share,tier,treated_at_limit,control_at_limit,effect_at_limit
1980,1895,0.9570707070707071,990.0,48.0,0.6796833773087071,-505.57287500000007,78.13639500000001,577.0699099999999,-479.07575166666663,358.14631666666673,882.44885,3.575088333333383,-281.75155,-339.687335,1.0,1.0,0.0,0.0,0.0,0.0,-494.28111,55.93315,542.89193,-15.290354922999999,35.346425244,121.8531112866335,-12.554311582463452,34.838709,98.40969361169101,-87.9736584499849,-538.3179581249999,-456.6777480208333,-540.8268733333334,-399.6859317708333,-59.379397520833336,65.227511375,-0.22566110338153653,-0.026475388467465055,-0.49884894499568094,-0.2047993682771875,0.23262074663011384,0.15717777814198314,-0.01549882619162671,0.0018995155107346929,-0.9949081622076342,0.0,0.2047993682771875,0.6796833773087071,0.042744063324538256,0.2775725593667546,1071.0,0.36798333333331357,-21.24136375000002,25.762128333333294,True,NSW1-QLD1,QNI,forward,K2,N-ARSR_8E,N-ARSR_8E,10,0.7313131313131314,supported,0.05910290237467018,0.02295514511873351,0.03614775725593668
1980,1895,0.9570707070707071,990.0,48.0,0.6796833773087071,-655.8790283333335,297.10755666666665,1073.7041291666667,-646.7511183333334,-7.833333333451264e-05,707.25261,-9.421472499999936,281.75155,347.48974,1.0,1.0,0.0,0.0,0.0,0.0,-683.87808,214.03025,1052.2247750000001,0.0,0.0,0.0,0.0,0.0,0.0,-69.16914263863664,-750.8865465416668,-583.2350116666665,-717.3045566666667,-566.7998408333333,-65.24270999999999,55.94838654166672,-0.22566110338153653,-0.02476342218449335,-0.49884894499568094,-0.20382904791604908,0.23262074663011384,0.15778514508287542,-0.01549882619162671,0.0016346170891696498,-0.9949081622076342,0.0,0.20382904791604908,0.6796833773087071,0.03271767810026385,0.287598944591029,1071.0,32.90728833333333,-1.4301251666666586,71.5177533333333,True,NSW1-QLD1,QNI,reverse,K2,N-ARSR_8E,N-ARSR_8E,10,0.7378787878787879,supported,0.6401055408970976,0.15435356200527706,0.48575197889182054
768,719,0.9361979166666666,384.0,23.0,0.13212795549374132,-62.61887333333334,-43.54779333333334,47.416666666666664,-36.529613333333316,124.06064833333329,236.70474000000004,22.730744999999985,-189.95483166666668,-193.77875833333334,0.0,1.0,1.0,0.0,1.0,0.0,-55.74415000000005,-81.76403,17.609105,-7.668716504568579,386.53477327766177,447.279486164467,4.425863843654781,392.1293136116911,386.3744027218274,-12.51430921597611,-122.496805,-14.669160250000031,-96.51003833333334,-16.506104999999998,-12.027061666666668,59.10666149999994,0.07093520361143127,-0.18526330142235045,-0.21286924597682258,-0.030176912012012443,0.1969752469491057,0.3437942310791388,-0.0077866824969322155,-0.0002993242442690694,0.4641529434812628,0.0,0.3437942310791388,0.13212795549374132,0.4575799721835883,0.4102920723226704,917.0,-3.0627733333333254,-25.42626512499999,23.995942999999972,True,NSW1-QLD1,QNI,forward,K2,N-ARTW_86,N-ARTW_86,12,0.022135416666666668,supported,0.03337969401947149,0.011126564673157162,0.022253129346314328
768,719,0.9361979166666666,384.0,23.0,0.13212795549374132,-58.78555666666665,232.46330166666667,306.68498833333337,-0.0030749999999670763,0.0,9.271510000000006,-23.828595000000007,189.95483166666668,193.77875833333334,0.0,1.0,1.0,0.0,0.0,0.0,-52.95248999999998,194.18766,264.55697,0.0,25.297350231784243,49.11823989218328,-0.09892853529695333,22.740746648793564,43.95879589812332,-6.7920704761801325,-111.99789166666662,-17.49078483333332,-6.964240000000018,-0.00038499999996588485,-61.59387666666663,12.027061666666668,0.07093520361143127,-0.18673989121789025,-0.21286924597682258,-0.029518131020516546,0.1969752469491057,0.3407852622733218,-0.0077866824969322155,-0.00024015549830906267,0.4641529434812628,0.0,0.3407852622733218,0.13212795549374132,0.4673157162726008,0.40055632823365783,917.0,27.5170016666666,-11.093776458333245,66.33308570833339,True,NSW1-QLD1,QNI,reverse,K2,N-ARTW_86,N-ARTW_86,12,0.020833333333333332,supported,0.7037552155771906,0.5403337969401947,0.16342141863699589
1444,1328,0.9196675900277008,722.0,36.0,0.7191265060240963,36.36061666666666,653.4109033333333,607.5829408333333,-23.794360000000083,751.9965450000001,770.483995,101.3063575,-103.91367999999999,-219.26934,0.0,0.0,0.0,0.0,0.0,0.0,35.83931249999998,633.872635,592.16071,63.54159250608883,392.8182318456853,277.96914498891607,72.72719417044098,421.72015387865014,350.1919949096447,6.515361551009121,13.60353166666664,76.32124833333332,-110.51892962500004,47.04957166666645,9.612226666666686,197.38039687499992,0.6688364593113669,0.05087719532973402,0.5777774528049493,0.19540749055410855,-0.4659539859539271,-0.018509622820310677,-0.009522731960385446,0.0048134313305987966,-0.02655210306507616,0.0,0.19540749055410855,0.7191265060240963,0.07680722891566265,0.20406626506024098,2430.0,-11.428814166666655,-26.881377958333328,0.5476540833333449,True,NSW1-QLD1,QNI,forward,K2,N-AVMA_17,N-AVMA_17,10,0.0,supported,0.04894578313253012,0.0365210843373494,0.012424698795180718
1444,1328,0.9196675900277008,722.0,36.0,0.7191265060240963,2.4886808333333192,959.7057374999999,946.1660583333334,74.91874375000003,802.5781099999999,692.5584204166666,-101.3063575,103.91367999999999,221.79160833333336,0.0,0.0,0.0,0.0,0.0,0.0,-0.5665549999999939,939.262135,923.1657,0.0,77.37827477207708,57.37861345841789,0.0,63.37713028008572,58.61401878572512,0.27533873690856353,-25.915166791666735,35.41150320833336,0.0,190.35371500000008,-197.28250833333334,-11.949056666666706,0.6688364593113669,0.05124934576128864,0.5777774528049493,0.19313155178665872,-0.4659539859539271,-0.021537322294871816,-0.009522731960385446,0.0047084076309741535,-0.02655210306507616,0.0,0.19313155178665872,0.7191265060240963,0.08734939759036145,0.19352409638554216,2430.0,3.508415416666651,-16.48181741666651,23.197623041666677,True,NSW1-QLD1,QNI,reverse,K2,N-AVMA_17,N-AVMA_17,10,0.04224376731301939,supported,0.1378012048192771,0.15022590361445784,-0.012424698795180739
405,398,0.9827160493827161,202.5,14.0,0.6030150753768844,-48.654988333333336,654.0370608333333,672.1943533333333,-54.87521333333325,1236.6170483333335,1354.1093616666667,29.734442500000043,-579.4343741666667,-651.08189,0.0,0.0,0.0,0.0,0.0,0.0,-53.074092500000006,635.81462,653.93769,0.0,117.06295264634394,119.87258534089955,0.0,113.82403323779192,115.38180212454978,-8.620096723455362,-96.02665329166676,4.4429366666666965,-204.58813499999997,111.75379250000015,-122.51474916666666,149.69212750000003,-0.6643875844881341,-0.02887029091103231,-0.10039508119357492,-0.08813868178795846,0.7753415599175814,0.057753647832857045,-0.0011385227365778427,0.004409194503925512,0.24553029867536513,0.0,0.08813868178795846,0.6030150753768844,0.13819095477386933,0.25879396984924624,561.0,-4.719603333333339,-48.81741508333336,26.93186833333334,True,NSW1-QLD1,QNI,forward,K2,N-CHKS_ONE,N-CHKS_ONE,10,0.0,supported,0.007537688442211055,0.0037688442211055275,0.0037688442211055275
405,398,0.9827160493827161,202.5,14.0,0.6030150753768844,13.72745249999997,1055.9110466666666,1062.1712874999998,27.39150416666655,442.94462749999997,347.97106833333345,-25.439894583333285,579.4343741666667,653.2652233333333,0.0,0.0,0.0,0.0,0.0,0.0,7.509659999999997,1009.6025400000001,1022.0888475,0.0,51.47386907506702,19.793851868632693,0.0,35.764888739946386,15.525810321715802,1.3487083393483177,-30.9747280000001,64.92392333333339,-96.58617591666659,141.38721999999984,-149.69212750000003,124.35089999999991,-0.6643875844881341,-0.029923199489569348,-0.10039508119357492,-0.043245890649794595,0.7753415599175814,0.040378086419540465,-0.0011385227365778427,0.006862596302895742,0.24553029867536513,0.0,0.043245890649794595,0.6030150753768844,0.13819095477386933,0.25879396984924624,561.0,-3.892500000000041,-45.61926866666657,36.89122333333307,True,NSW1-QLD1,QNI,reverse,K2,N-CHKS_ONE,N-CHKS_ONE,10,0.24444444444444444,supported,0.271356783919598,0.20854271356783918,0.06281407035175882
1456,1395,0.9581043956043956,728.0,37.0,0.2953405017921147,-246.18731666666665,88.08143833333334,332.256415,-336.9905000000001,393.44414166666667,716.6676133333334,157.26108499999998,-294.6007383333333,-431.67619833333333,1.0,1.0,0.0,0.0,0.0,0.0,-232.22464,72.08104,292.11471,-33.590834921827366,300.7455547928933,331.3147259748428,-53.86118937664975,323.4006501969543,361.70387751167516,-49.41565220488916,-305.6433157083334,-165.3702333333333,-425.3930566666668,-246.81776433333337,83.72161833333337,224.20951333333332,-0.42410537974374485,0.18413915535545297,-0.2746280899232342,-0.18648204977404376,0.34683794985247307,0.10271966569044418,0.0019371652663775275,-0.003642579688328569,0.189734110726154,0.0,0.18648204977404376,0.2953405017921147,0.23655913978494625,0.46810035842293907,786.0,54.50639833333332,-12.248648666666647,122.89292166666661,True,NSW1-QLD1,QNI,forward,K2,N-DMSR_8J,N-DMSR_8J,9,0.16346153846153846,supported,0.03655913978494624,0.02867383512544803,0.007885304659498209
1456,1395,0.9581043956043956,728.0,37.0,0.2953405017921147,-635.4128766666668,311.81488833333333,1030.2518841666667,-252.45720333333338,0.0002333333333695009,327.386255,-166.45262666666667,294.6007383333333,436.99037500000003,1.0,1.0,0.0,0.0,0.0,0.0,-645.70328,255.0031,989.27537,0.0,0.0,0.0,0.0,0.0,0.0,-66.54187286674342,-700.4714799999999,-559.3940000833333,-333.04884191666645,-150.24865666666668,-230.92287066666657,-95.45027302083336,-0.42410537974374485,0.18266167483746862,-0.2746280899232342,-0.18042324203404564,0.34683794985247307,0.0932918994336723,0.0019371652663775275,-0.004578764941881112,0.189734110726154,0.0,0.18266167483746862,0.2953405017921147,0.23440860215053763,0.47025089605734766,786.0,3.071834583333441,-50.4289792500001,35.78546716666659,True,NSW1-QLD1,QNI,reverse,K2,N-DMSR_8J,N-DMSR_8J,9,0.33104395604395603,supported,0.6458781362007169,0.2709677419354839,0.374910394265233
