name,direction,season,day_period,units_n,capacity_effect,at_limit_effect,flow_effect
Directlink,forward,Spring,Evening peak,670,-7.2641037499999985,0.014925373134328358,0.0
Directlink,forward,Spring,Morning peak,493,-2.5784716666666583,0.06693711967545639,1.333333333333334
Directlink,forward,Spring,Overnight,1189,-8.0,-0.0037846930193439865,-1.5
Directlink,forward,Spring,Solar period,1211,-0.16713000000001443,0.05202312138728324,2.244060833333334
Directlink,forward,Summer,Evening peak,218,1.7305883333333334,-0.03211009174311927,0.0
Directlink,forward,Summer,Morning peak,190,3.336687500000002,0.02368421052631579,-0.835100833333334
Directlink,forward,Summer,Overnight,360,5.988032499999997,-0.005555555555555556,-1.2355483333333332
Directlink,forward,Summer,Solar period,472,7.22706416666667,0.012711864406779662,4.110673333333331
Directlink,forward,Winter,Evening peak,1317,0.7336175000000154,-0.0015186028853454822,0.21495833333333536
Directlink,forward,Winter,Morning peak,838,3.3931920833333358,-0.0220763723150358,2.8670566666666666
Directlink,forward,Winter,Overnight,2083,0.983335833333328,-0.009841574651944312,-1.4000000000000004
Directlink,forward,Winter,Solar period,2338,-0.14727666666666295,-0.015183917878528658,-0.13979166666667453
Directlink,reverse,Autumn,Evening peak,338,0.650416666666672,-0.07544378698224852,-7.34634
Directlink,reverse,Autumn,Morning peak,269,9.916666666666671,-0.06319702602230483,2.666666666666668
Directlink,reverse,Autumn,Overnight,547,2.7333333333333343,-0.09049360146252285,-2.166666666666668
Directlink,reverse,Autumn,Solar period,727,15.616666666666667,0.06533700137551582,10.21685166666667
Directlink,reverse,Spring,Evening peak,700,2.558333333333337,0.03785714285714286,0.0
Directlink,reverse,Spring,Morning peak,501,-7.783333333333317,0.015968063872255488,-0.8166666666666664
Directlink,reverse,Spring,Overnight,1235,2.3666666666666742,0.02145748987854251,1.5
Directlink,reverse,Spring,Solar period,1212,-13.364597500000006,0.036303630363036306,-1.7267525000000017
Directlink,reverse,Summer,Evening peak,208,8.783333333333331,-0.08413461538461539,0.9460483333333323
Directlink,reverse,Summer,Morning peak,177,11.174999999999997,-0.06779661016949153,4.1499983333333335
Directlink,reverse,Summer,Overnight,358,9.729166666666664,-0.08379888268156424,1.0474208333333346
Directlink,reverse,Summer,Solar period,414,11.404936666666668,-0.10144927536231885,-1.9962466666666643
Directlink,reverse,Winter,Evening peak,736,-0.17502166666667307,-0.02309782608695652,0.8041599999999995
Directlink,reverse,Winter,Morning peak,462,-7.673181250000006,0.023809523809523808,-4.846307500000002
Directlink,reverse,Winter,Overnight,1076,-2.4249966666666793,-0.0060408921933085506,-1.3333333333333321
Directlink,reverse,Winter,Solar period,1387,-3.6497733333333144,0.08471521268925739,0.0
Heywood,forward,Autumn,Evening peak,757,-13.076353333333373,0.022457067371202115,49.7051625
Heywood,forward,Autumn,Morning peak,562,-17.282543333333308,0.07384341637010676,15.411392500000005
Heywood,forward,Autumn,Overnight,991,-41.61219333333338,0.10191725529767912,-8.680958333333365
Heywood,forward,Autumn,Solar period,1823,1.6885616666666579,0.029347229840921557,30.832388333333483
Heywood,forward,Spring,Evening peak,721,-48.27336166666663,0.023578363384188627,-15.073636666666744
Heywood,forward,Spring,Morning peak,535,-89.71631499999995,0.06355140186915888,-11.118928333333344
Heywood,forward,Spring,Overnight,1001,-123.49372666666665,0.07642357642357642,-64.78285333333332
Heywood,forward,Spring,Solar period,1535,-16.014015833333303,-0.021498371335504887,-15.438823333333403
Heywood,forward,Summer,Evening peak,259,16.69280166666664,0.032818532818532815,18.039038333333338
Heywood,forward,Summer,Morning peak,201,-8.498994999999923,-0.11442786069651742,-45.430624999999964
Heywood,forward,Summer,Overnight,427,34.37196166666669,-0.0117096018735363,-11.065706666666642
Heywood,forward,Summer,Solar period,572,-15.08292999999999,-0.07080419580419581,-105.12162000000001
Heywood,forward,Winter,Evening peak,1701,-3.4753233333333355,0.06261022927689594,6.798898333333341
Heywood,forward,Winter,Morning peak,937,-10.408230000000003,0.07524012806830309,65.8948
Heywood,forward,Winter,Overnight,2417,22.3923575,0.12308647083160944,48.01875916666666
Heywood,forward,Winter,Solar period,2533,7.983718333333314,0.06395578365574418,9.184536666666673
Heywood,reverse,Autumn,Evening peak,727,-4.2942416666666645,0.03576341127922971,-25.01717583333333
Heywood,reverse,Autumn,Morning peak,527,-25.80460999999997,0.004743833017077799,-13.289558333333332
Heywood,reverse,Autumn,Overnight,979,-1.411739999999952,0.008171603677221655,7.246164999999991
Heywood,reverse,Autumn,Solar period,1604,-12.776689583333365,0.05143391521197008,-49.688262499999965
Heywood,reverse,Spring,Evening peak,740,0.0,0.029054054054054056,31.025678333333346
Heywood,reverse,Spring,Morning peak,553,-7.337351666666564,0.04159132007233273,22.348925000000015
Heywood,reverse,Spring,Overnight,1116,-0.9108366666666825,-0.023745519713261647,64.69655583333332
Heywood,reverse,Spring,Solar period,1433,-19.109248333333312,0.06769016050244243,15.072885000000042
Heywood,reverse,Summer,Evening peak,152,26.030909999999963,0.11842105263157894,56.34324166666667
Heywood,reverse,Summer,Morning peak,140,27.415412083333315,-0.025,2.151924999999991
Heywood,reverse,Summer,Overnight,240,-10.78731916666663,0.0,1.5435608333333362
Heywood,reverse,Summer,Solar period,411,57.718551666666656,0.13746958637469586,99.52465999999993
Heywood,reverse,Winter,Evening peak,1869,-59.20330999999999,0.006153023006955591,3.1443333333333356
Heywood,reverse,Winter,Morning peak,1015,-56.122718333333324,0.012315270935960592,-53.69010333333333
Heywood,reverse,Winter,Overnight,2647,-85.64143000000001,-0.038723082735171895,-20.38094083333334
Heywood,reverse,Winter,Solar period,2909,-23.08475666666675,0.06858026813337917,-8.091811666666672
Murraylink,forward,Autumn,Evening peak,1166,0.903129166666659,0.03945111492281304,1.9888066666666653
Murraylink,forward,Autumn,Morning peak,782,-5.505690833333311,0.07033248081841433,-2.6527741666666675
Murraylink,forward,Autumn,Overnight,1795,6.333333333333343,-0.037604456824512536,6.0
Murraylink,forward,Autumn,Solar period,2000,-0.3333333333333286,-0.042,-2.9438474999999897
Murraylink,forward,Spring,Evening peak,817,-5e-06,0.04039167686658507,0.0
Murraylink,forward,Spring,Morning peak,637,2.7750500000000073,0.09183673469387756,0.512281666666695
Murraylink,forward,Spring,Overnight,1186,-1.2463691666666605,-0.022344013490725127,-2.6731266666666667
Murraylink,forward,Spring,Solar period,1575,3.6785383333333073,0.09365079365079365,4.628908333333328
