ic,name,direction,GENCONSETID,effect_capacity,effect_directional_flow,effect_headroom,ci_lo_directional_flow,ci_hi_directional_flow,flow_pass_through,headroom_absorbed,episodes,treated_hours,effect_at_limit,treated_at_limit,control_at_limit
V-S-MNSP1,Murraylink,forward,I-BURC,-0.11271833333330505,-2.2637683333333314,3.333333353339185e-06,-41.203424979166655,8.316219999999987,,,16,157.5,-0.15201465201465203,0.5311355311355311,0.6831501831501832
V-S-MNSP1,Murraylink,reverse,I-BURC,65.06269833333332,0.8616633333333539,33.333341666666655,-8.527805999999977,41.15720583333332,0.013243584348728145,0.5123264561806394,16,157.5,0.18864468864468864,0.2271062271062271,0.038461538461538464
V-S-MNSP1,Murraylink,forward,I-HYSE,-0.6621549999999843,-8.102679999999992,1.6666666624587378e-06,-33.13660666666666,12.006679999999994,,,15,423.0,0.052718286655683705,0.28500823723228996,0.23228995057660626
V-S-MNSP1,Murraylink,reverse,I-HYSE,23.24179833333335,5.542343333333332,3.081978333333339,-16.509583708333334,30.32367162499999,,,15,423.0,0.046128500823723245,0.1696869851729819,0.12355848434925865
V-S-MNSP1,Murraylink,forward,I-SVML_088,10.27697,10.944004999999999,1.6666666666666669e-06,0.0,30.105138333333333,,,9,31.0,0.17948717948717946,0.41025641025641024,0.23076923076923078
V-S-MNSP1,Murraylink,forward,I-SVML_132,82.61666083333333,26.805424999999993,14.057036249999985,-5.455220000000001,73.16666666666667,0.3244554394915077,0.17014771727893893,10,45.0,0.12068965517241381,0.39655172413793105,0.27586206896551724
V-S-MNSP1,Murraylink,reverse,I-SVML_132,-8.333333333609971e-06,-20.25,1.4166666655768267e-05,-73.16666666666667,9.445081666666667,,,10,45.0,0.05172413793103448,0.05172413793103448,0.0
V-S-MNSP1,Murraylink,forward,I-VSML_088,9.795199999999994,5.1943616666666665,1.6666666666666669e-06,-5.9377383333333285,15.760033333333332,,,9,31.0,0.11538461538461536,0.41025641025641024,0.2948717948717949
V-S-MNSP1,Murraylink,forward,I-VSML_132,82.61666083333333,20.25,14.057036666666654,-13.264473333333333,73.16666666666667,0.24510794548875953,0.17014772232231232,10,45.0,0.12068965517241381,0.39655172413793105,0.27586206896551724
V-S-MNSP1,Murraylink,reverse,I-VSML_132,-8.333333333609971e-06,-18.75,1.3333333299669903e-05,-73.16666666666667,13.264473333333333,,,10,45.0,0.05172413793103448,0.05172413793103448,0.0
V-S-MNSP1,Murraylink,forward,I-VSML_176,13.199149166666686,10.526126250000015,8.333333338939042e-07,-25.960199999999986,18.0,,,8,29.5,0.10576923076923073,0.5769230769230769,0.47115384615384615
V-S-MNSP1,Murraylink,reverse,I-VSML_176,46.03233916666666,-9.940605416666685,19.677845000000016,-18.0,25.960199999999986,-0.21594830062133716,0.4274787107549231,8,29.5,0.019230769230769232,0.019230769230769232,0.0
V-S-MNSP1,Murraylink,forward,I-X_BDBU+HYSE,-28.887078333333335,-43.286705000000005,24.545170000000013,-156.90110666666664,-19.525836666666667,1.498479856651016,-0.8496937529219384,5,42.5,-0.29850746268656714,0.1044776119402985,0.40298507462686567
V-S-MNSP1,Murraylink,reverse,I-X_BDBU+HYSE,42.64210999999999,36.65532833333333,2.1666666654596156e-05,12.978375,127.764505,0.8596040002085577,5.081049379262931e-07,5,42.5,-0.044776119402985065,0.19402985074626866,0.23880597014925373
V-S-MNSP1,Murraylink,forward,N-BABU,-73.85033000000001,-40.888481666666664,-1.6666666624587378e-06,-70.99781666666667,-17.400479875000002,0.553666878220675,2.2568168110538403e-08,21,514.5,-0.06327543424317617,0.3052109181141439,0.3684863523573201
V-S-MNSP1,Murraylink,reverse,N-BABU,50.854280833333334,42.263640833333326,1.1666666680731907e-05,19.420907958333334,72.62094208333333,0.8310734148782,2.294136597657829e-07,21,514.5,0.02915632754342433,0.13027295285359802,0.1011166253101737
V-S-MNSP1,Murraylink,forward,N-BADP,-14.821925833333339,-11.122969999999999,0.0,-27.651186666666675,0.0,,,14,91.0,0.053370786516853924,0.19101123595505617,0.13764044943820225
V-S-MNSP1,Murraylink,reverse,N-BADP,6.792256666666663,7.301641666666665,0.04867999999999739,0.0,22.969313333333332,,,14,91.0,-0.1797752808988764,0.06179775280898876,0.24157303370786518
V-S-MNSP1,Murraylink,forward,N-CLDE_99L_C,-3.3333333333333337e-06,0.0,-8.333333333333334e-06,-9.419910520833339,16.656478333333332,,,8,326.5,0.029940119760479056,0.3213572854291417,0.29141716566866266
V-S-MNSP1,Murraylink,reverse,N-CLDE_99L_C,-12.984585000000003,0.0,-1.6666666666666669e-06,-15.50522833333332,9.73295083333332,,,8,326.5,-0.17964071856287422,0.07784431137724551,0.25748502994011974
V-S-MNSP1,Murraylink,forward,N-CNLT_07,7.253271666666663,3.0,9.16666666483934e-06,-3.0,10.050045000000004,,,10,895.0,-0.046977421704297195,0.2578295702840495,0.3048069919883467
V-S-MNSP1,Murraylink,reverse,N-CNLT_07,-1.31688166666666,-4.166953333333311,2.49999999972772e-05,-11.121566541666688,2.3828116458333297,,,10,895.0,-0.052075746540422435,0.06482155863073562,0.11689730517115805
V-S-MNSP1,Murraylink,forward,N-CTMN_4_WG_CLOSE,-1.866074999999995,-8.113929999999982,2.916413333333338,-16.9767093125,-2.2419203750000127,,,12,1630.0,-0.09180166912125676,0.249386352479136,0.34118802160039274
V-S-MNSP1,Murraylink,reverse,N-CTMN_4_WG_CLOSE,14.25,8.450676666666673,1.083333332019265e-05,2.9170916250000003,17.511391124999996,,,12,1630.0,0.004909180166912129,0.059891998036327936,0.054982817869415807
V-S-MNSP1,Murraylink,forward,N-CTYS_3L_WG_CLOSE,3.0,-1.3424750000000074,0.0,-13.137633333333326,16.5,,,11,804.0,0.01381215469613259,0.2517758484609313,0.23796369376479873
V-S-MNSP1,Murraylink,reverse,N-CTYS_3L_WG_CLOSE,-12.833333333333329,-0.41618333333335045,0.0,-18.389091416666663,10.477912999999996,,,11,804.0,-0.07458563535911601,0.08602999210734018,0.1606156274664562
V-S-MNSP1,Murraylink,forward,N-DTKV_18_WG_CLOSE,0.0,0.0,0.0,0.0,16.65881333333333,,,5,59.5,0.07339449541284404,0.3211009174311927,0.24770642201834864
V-S-MNSP1,Murraylink,reverse,N-DTKV_18_WG_CLOSE,0.0,0.0,0.0,-21.683265833333337,0.0,,,5,59.5,0.03211009174311927,0.11009174311926606,0.0779816513761468
V-S-MNSP1,Murraylink,reverse,N-DTMN_8_15M,-3.6862366666666446,0.012126666666659958,0.0,-8.29898170833336,6.009892666666658,,,9,383.0,0.023172905525846707,0.06417112299465241,0.040998217468805706
V-S-MNSP1,Murraylink,forward,N-DTSS_11,10.499999999999986,8.591226666666667,0.0,1.0657262291666572,20.124101666666668,,,9,536.5,0.06046814044213267,0.38881664499349805,0.3283485045513654
V-S-MNSP1,Murraylink,reverse,N-DTSS_11,-12.0,-9.497983333333309,-1.3333333328091612e-05,-24.00751225,-1.5,,,9,536.5,-0.0377113133940182,0.0247074122236671,0.06241872561768531
V-S-MNSP1,Murraylink,forward,N-GFYC-99J-C,3.3333333333333286,8.428714999999997,0.0,-1.0186583333333203,38.3068118958333,,,7,354.0,0.0779436152570481,0.2902155887230514,0.21227197346600332
V-S-MNSP1,Murraylink,reverse,N-GFYC-99J-C,-9.0,-4.638206666666672,1.6666666908804473e-06,-38.266131666666666,2.3941648333333228,,,7,354.0,-0.07628524046434494,0.1011608623548922,0.17744610281923714
V-S-MNSP1,Murraylink,forward,N-KVCW_3W_WG_CLOSE,-10.17136166666667,-5.7224529166666676,-8.333333312293689e-07,-25.891476666666666,-0.009963333333331548,,,9,249.5,-0.12179487179487175,0.3055555555555556,0.42735042735042733
V-S-MNSP1,Murraylink,reverse,N-KVCW_3W_WG_CLOSE,-2.895256666666665,5.8490616666666675,-1.8333333315467826e-05,0.0,27.87388,,,9,249.5,-0.003205128205128206,0.014957264957264958,0.018162393162393164
V-S-MNSP1,Murraylink,forward,N-LTUT_64_15M,5.826681666666673,3.8697583333333334,1.6666666766695926e-06,-13.683524041666667,19.31577500000003,,,9,425.0,-0.042654028436018954,0.2480252764612954,0.29067930489731436
