name,direction,units_n,capacity_effect,at_limit_effect,flow_effect,regime,driver
Murraylink,reverse,4074,12.666666666666664,0.0,13.851690833333336,high,Residual-demand difference
QNI,forward,3170,-159.61997833333334,0.08974763406940063,131.80288166666668,low,Residual-demand difference
QNI,forward,9507,-112.26520333333335,0.005890396549910592,2.499559166666671,normal,Residual-demand difference
QNI,forward,4102,-91.99255166666666,-0.005241345685031692,-32.95382916666662,high,Residual-demand difference
QNI,reverse,3574,-125.25220708333347,0.009373251259093452,-114.76268083333332,low,Residual-demand difference
QNI,reverse,9984,-95.30586625000018,0.20783253205128205,-1.5028733333333548,normal,Residual-demand difference
QNI,reverse,4303,-90.78501000000006,0.3052521496630258,35.4942933333333,high,Residual-demand difference
VNI,forward,1848,-107.03682500000002,0.15611471861471862,12.234573333333365,low,Residual-demand difference
VNI,forward,6523,-12.036018333333232,-0.021462517246665643,-41.41370166666667,normal,Residual-demand difference
VNI,forward,3035,9.87829499999998,-0.0756177924217463,-62.97215,high,Residual-demand difference
VNI,reverse,2619,-51.0468616666667,-0.002672775868652157,-71.88622166666664,low,Residual-demand difference
VNI,reverse,7979,-47.30476166666665,0.01046497054768768,-2.020184999999998,normal,Residual-demand difference
VNI,reverse,3367,-27.96920666666665,0.0844965844965845,78.31197166666664,high,Residual-demand difference
