ic,name,direction,season,variable,regime,n,p10,p20,p80,p90,value_median,flow_median,capacity_median,tight_capacity_median,headroom_median,restricted_rate,forced_rate
NSW1-QLD1,QNI,forward,Summer,vre_difference,high,2602,-156.4306661666666,111.47312133333324,1268.6364126666667,1651.0673656666663,1651.0703016666662,284.02325333333334,671.5480883333333,641.2654299999999,269.6611541666667,0.10261337432744043,0.02498078401229823
NSW1-QLD1,QNI,forward,Summer,residual_difference,low,2602,-1723.5700383333337,-1018.780514333334,1042.5284410000004,1616.957599666667,-1723.906811666667,464.04797,662.2761666666668,638.224645,86.30650333333335,0.05918524212144504,0.007302075326671791
NSW1-QLD1,QNI,forward,Summer,residual_difference,normal,7804,-1723.5700383333337,-1018.780514333334,1042.5284410000004,1616.957599666667,62.47792583333285,44.727355833333334,599.4586791666667,584.79125,507.86499000000003,0.08636596617119426,0.01460789338800615
NSW1-QLD1,QNI,forward,Summer,residual_difference,high,2602,-1723.5700383333337,-1018.780514333334,1042.5284410000004,1616.957599666667,1617.004438333333,-526.8466266666667,559.5867375,536.9608949999999,1070.1544058333334,0.1787086856264412,0.04573405073020753
NSW1-QLD1,QNI,forward,Summer,source_vre_ramp_1h,low,2602,-474.4994906666664,-197.32618866666672,193.57735800000043,456.67515700000104,-474.5435299999998,-41.04319916666667,536.7296591666666,503.15641000000005,467.0576125,0.23520368946963874,0.05803228285933897
NSW1-QLD1,QNI,forward,Summer,source_vre_ramp_1h,normal,7804,-474.4994906666664,-197.32618866666672,193.57735800000043,456.67515700000104,-10.676091666666707,88.41482250000001,603.6528533333333,590.4122,484.72710500000005,0.06368528959507945,0.007944643772424398
NSW1-QLD1,QNI,forward,Summer,source_vre_ramp_1h,high,2602,-474.4994906666664,-197.32618866666672,193.57735800000043,456.67515700000104,456.8285983333335,-46.167032500000005,646.22407,614.754465,659.5412791666666,0.07071483474250577,0.01498847040737894
NSW1-QLD1,QNI,forward,Summer,sink_vre_ramp_1h,low,2602,-350.3142336666666,-157.68064366666633,153.87257999999977,355.8381095000008,-350.4094683333333,59.684400833333335,559.4455983333334,532.93732,386.3710983333333,0.2048424289008455,0.048039969254419675
NSW1-QLD1,QNI,forward,Summer,sink_vre_ramp_1h,normal,7804,-350.3142336666666,-157.68064366666633,153.87257999999977,355.8381095000008,-4.2259833333333745,74.471915,598.9986891666667,585.71938,482.6909875,0.07227063044592516,0.010123013839056894
NSW1-QLD1,QNI,forward,Summer,sink_vre_ramp_1h,high,2602,-350.3142336666666,-157.68064366666633,153.87257999999977,355.8381095000008,355.92676250000034,-118.80812916666667,657.9837275,627.675185,725.7849158333333,0.07532667179093006,0.018447348193697154
NSW1-QLD1,QNI,forward,Autumn,temperature_mean,low,2653,13.166666666666668,14.899999999999999,23.35,25.583333333333332,13.166666666666668,-314.14772833333336,443.2936583333333,429.18012,675.7973566666667,0.3045608744817188,0.14134941575574822
NSW1-QLD1,QNI,forward,Autumn,temperature_mean,normal,7949,13.166666666666668,14.899999999999999,23.35,25.583333333333332,19.25,-292.5124583333333,565.9427733333333,554.85699,706.337945,0.2533652031702101,0.09498050069191093
NSW1-QLD1,QNI,forward,Autumn,temperature_mean,high,2646,13.166666666666668,14.899999999999999,23.35,25.583333333333332,25.583333333333336,-368.0783375,678.8611641666666,640.074565,810.5280466666666,0.24792139077853365,0.04686318972033258
NSW1-QLD1,QNI,forward,Autumn,temperature_max,low,2651,18.2,19.75,27.5,29.465000000000057,18.2,-294.16966333333335,455.60818666666665,440.45749,646.902035,0.3051678611844587,0.14409656733308185
NSW1-QLD1,QNI,forward,Autumn,temperature_max,normal,7989,18.2,19.75,27.5,29.465000000000057,23.8,-302.49517,561.51496,549.39285,714.2923133333334,0.25697834522468394,0.09362873951683565
NSW1-QLD1,QNI,forward,Autumn,temperature_max,high,2608,18.2,19.75,27.5,29.465000000000057,29.5,-352.73768416666667,687.5581925,650.0,818.9490041666666,0.2361963190184049,0.04754601226993865
