source,target,direction,GENCONSETID,effect_capacity,ci_lo,ci_hi
Heywood,QNI,forward,S-SE_1CP,25.522895000000062,-47.32677566666665,74.18348958333343
Heywood,QNI,reverse,S-SE_1CP,39.71498999999994,5.513473333333309,98.01152920833322
Heywood,QNI,forward,S-SE_VC1,-0.6813883333333592,-15.528826541666668,16.519348833333297
Heywood,QNI,reverse,S-SE_VC1,-6.049860000000081,-32.31969808333324,18.57988750000004
Heywood,QNI,forward,S-TB275_E_BUS,21.223235000000003,-9.327943875000006,99.72582
Heywood,QNI,reverse,S-TB275_E_BUS,37.63912499999992,-114.22340666666673,255.71134666666666
Heywood,QNI,forward,S-TB275_W_BUS,16.109363333333363,-10.028488749999992,54.31282733333337
Heywood,QNI,forward,S-TB275_W_BUS_BC-2CP,123.44193124999998,16.557278291666616,199.3247550000001
Heywood,QNI,reverse,S-TB275_W_BUS_BC-2CP,-34.48781500000001,-64.0111741666667,18.241276666666636
VNI,QNI,reverse,S-TBSE,-51.81028666666657,-68.11950024999993,-33.97436833333336
Heywood,QNI,reverse,S-TBSE,-51.81028666666657,-68.11950024999993,-33.97436833333336
Murraylink,QNI,reverse,S-TBSE,-51.81028666666657,-68.11950024999993,-33.97436833333336
Basslink,QNI,reverse,S-TBSE,-51.81028666666657,-68.11950024999993,-33.97436833333336
Heywood,QNI,forward,S-TBTU,20.561733333333393,-9.063350916666664,77.23183524999992
Heywood,QNI,reverse,S-TBTU,55.127346666666654,28.753434083333286,96.26723341666658
Heywood,QNI,reverse,S-TB_CB6536,16.43251250000003,-23.872418333333165,68.14272499999993
Heywood,QNI,reverse,S-TB_CB6596,-20.422671666666645,-60.43848366666674,43.766504999999995
Heywood,QNI,reverse,S-WE_MWP4,27.389160833333563,8.571682250000055,44.09671666666668
Murraylink,QNI,reverse,S-WE_MWP4,27.389160833333563,8.571682250000055,44.09671666666668
Heywood,QNI,forward,S-X_BRMN_RBTU,-76.70550166666658,-109.60637,-48.773477625000005
Murraylink,QNI,forward,S-X_BRMN_RBTU,-76.70550166666658,-109.60637,-48.773477625000005
Heywood,QNI,reverse,S-X_BRMN_RBTU,53.92338833333332,18.264879375000156,105.69151500000004
Murraylink,QNI,reverse,S-X_BRMN_RBTU,53.92338833333332,18.264879375000156,105.69151500000004
Heywood,QNI,reverse,S-X_MGTI+PATI,-145.85736208333333,-376.59101666666663,4.183694999999943
VNI,QNI,forward,V-ARCW,-200.4521258333333,-374.5326441666666,-91.01304499999992
Heywood,QNI,forward,V-ARCW,-200.4521258333333,-374.5326441666666,-91.01304499999992
Murraylink,QNI,forward,V-ARCW,-200.4521258333333,-374.5326441666666,-91.01304499999992
VNI,QNI,reverse,V-ARCW,79.17706499999986,21.069504999999992,107.25200333333333
Heywood,QNI,reverse,V-ARCW,79.17706499999986,21.069504999999992,107.25200333333333
Murraylink,QNI,reverse,V-ARCW,79.17706499999986,21.069504999999992,107.25200333333333
VNI,QNI,forward,V-AR_WB_BA,0.0,-41.11740666666668,24.333364166666684
Heywood,QNI,forward,V-AR_WB_BA,0.0,-41.11740666666668,24.333364166666684
Murraylink,QNI,forward,V-AR_WB_BA,0.0,-41.11740666666668,24.333364166666684
VNI,QNI,reverse,V-AR_WB_BA,-30.95856583333328,-140.11590918749997,24.81107849999999
Heywood,QNI,reverse,V-AR_WB_BA,-30.95856583333328,-140.11590918749997,24.81107849999999
Murraylink,QNI,reverse,V-AR_WB_BA,-30.95856583333328,-140.11590918749997,24.81107849999999
VNI,QNI,forward,V-BAML1_15M,6.623158333333379,-34.02671666666669,59.43496750000003
Heywood,QNI,forward,V-BAML1_15M,6.623158333333379,-34.02671666666669,59.43496750000003
Murraylink,QNI,forward,V-BAML1_15M,6.623158333333379,-34.02671666666669,59.43496750000003
VNI,QNI,forward,V-CRML,-29.171816666666643,-98.59483666666667,21.24974166666675
Heywood,QNI,forward,V-CRML,-29.171816666666643,-98.59483666666667,21.24974166666675
Murraylink,QNI,forward,V-CRML,-29.171816666666643,-98.59483666666667,21.24974166666675
Basslink,QNI,forward,V-CRML,-29.171816666666643,-98.59483666666667,21.24974166666675
VNI,QNI,reverse,V-CRML,61.18707499999982,28.965963333333264,105.38242333333324
Heywood,QNI,reverse,V-CRML,61.18707499999982,28.965963333333264,105.38242333333324
Murraylink,QNI,reverse,V-CRML,61.18707499999982,28.965963333333264,105.38242333333324
Basslink,QNI,reverse,V-CRML,61.18707499999982,28.965963333333264,105.38242333333324
VNI,QNI,reverse,V-DDMS,-6.029309166666707,-75.08866499999999,40.89089197916658
Heywood,QNI,reverse,V-DDMS,-6.029309166666707,-75.08866499999999,40.89089197916658
Murraylink,QNI,reverse,V-DDMS,-6.029309166666707,-75.08866499999999,40.89089197916658
Basslink,QNI,reverse,V-DDMS,-6.029309166666707,-75.08866499999999,40.89089197916658
VNI,QNI,forward,V-DDSM,-28.096721666666667,-177.17852,44.196515833333365
Murraylink,QNI,forward,V-DDSM,-28.096721666666667,-177.17852,44.196515833333365
VNI,QNI,reverse,V-DDSM,1.9299983333332875,-42.34627916666659,57.5
Murraylink,QNI,reverse,V-DDSM,1.9299983333332875,-42.34627916666659,57.5
VNI,QNI,reverse,V-HYMO,-2.045174999999972,-78.13506833333338,90.21183297916669
Heywood,QNI,reverse,V-HYMO,-2.045174999999972,-78.13506833333338,90.21183297916669
Murraylink,QNI,reverse,V-HYMO,-2.045174999999972,-78.13506833333338,90.21183297916669
Basslink,QNI,reverse,V-HYMO,-2.045174999999972,-78.13506833333338,90.21183297916669
VNI,QNI,forward,V-KG_WE_RC,-60.80415999999997,-111.2815325,52.762011666666695
Heywood,QNI,forward,V-KG_WE_RC,-60.80415999999997,-111.2815325,52.762011666666695
Murraylink,QNI,forward,V-KG_WE_RC,-60.80415999999997,-111.2815325,52.762011666666695
Basslink,QNI,forward,V-KG_WE_RC,-60.80415999999997,-111.2815325,52.762011666666695
