ic,direction,asset,asset_description,voltage_kv,substation,region,area_label,families,episodes_listed,electrically_near,plants_within_50km,published_level,published_key,tier,effect_capacity,effect_capacity_pct,ci_lo_capacity,ci_hi_capacity,effect_at_limit,effect_directional_flow,effect_headroom,treated_capacity,control_capacity,treated_hours,episodes,match_rate,name
NSW1-QLD1,forward,TAMWORTH/LINE/85,Tamworth-URALLA 85 330kV LINE,330.0,Tamworth 330kV,NSW1,central Tamworth,N-TWUL_85,2,WRSF1 (+1.00); NEWENSF2 (+1.00); WRWF1 (+1.00); NESBESS1 (+1.00); NESBESS2 (+1.00); NEWENSF1 (+1.00),Keepit Power Station (50 km),K2,N-TWUL_85,supported,-570.1900625000001,-114.54856804254663,-651.089745,-471.6599655,0.021043771043771045,-72.17818583333334,-498.89849166666664,-6.794340000000002,528.321005,343.0,5.0,0.8658892128279884,QNI
NSW1-QLD1,reverse,TAMWORTH/LINE/85,Tamworth-URALLA 85 330kV LINE,330.0,Tamworth 330kV,NSW1,central Tamworth,N-TWUL_85,2,WRSF1 (+1.00); NEWENSF2 (+1.00); WRWF1 (+1.00); NESBESS1 (+1.00); NESBESS2 (+1.00); NEWENSF1 (+1.00),Keepit Power Station (50 km),K2,N-TWUL_85,supported,-619.643605,-71.64283668172071,-700.8528441666667,-507.47279562500006,0.2592592592592593,69.00081916666667,-502.06955000000005,284.17551583333335,931.7229600000001,343.0,5.0,0.8658892128279884,QNI
T-V-MNSP1,forward,275KV_8996/LINE/275KV_8996,Halys Diamondy 8996 275 kV LINE,275.0,,,,Q-X_BRHA_TWO,1,BRAEMAR1 (-1.00); BRAEMAR2 (-1.00); BRAEMAR3 (-1.00); BRAEMAR5 (-1.00); BRAEMAR6 (-1.00); BRAEMAR7 (-1.00),,K2,Q-X_BRHA_TWO,supported,20.15106416666667,6.49442011522757,0.0,72.00673549999995,0.08450704225352113,29.487682499999977,-5.185750833333302,104.16666666666667,-101.08520250000001,72.0,20.0,0.9861111111111112,Basslink
T-V-MNSP1,reverse,275KV_8996/LINE/275KV_8996,Halys Diamondy 8996 275 kV LINE,275.0,,,,Q-X_BRHA_TWO,1,BRAEMAR1 (-1.00); BRAEMAR2 (-1.00); BRAEMAR3 (-1.00); BRAEMAR5 (-1.00); BRAEMAR6 (-1.00); BRAEMAR7 (-1.00),,K2,Q-X_BRHA_TWO,supported,-28.073334166666655,-7.511020328426083,-106.40182341666669,-3.9669183333332967,-0.08098591549295775,-29.487682499999977,0.0,125.0,296.2248225,72.0,20.0,0.9861111111111112,Basslink
T-V-MNSP1,forward,APD/LINE/APD_HYTS2_500,Alc/prtlnd Heywood 2 500kV LINE,500.0,Alcoa/portland 500kV,VIC1,,V-HYMO,4,DARTM1 (-2.97); MCKAY1 (-2.97); WKIEWA1 (-2.97); MURRAY (-2.39); WUNUSF1 (-1.12); YATSF1 (-1.12),,K2,V-HYMO,supported,1.5,0.4764650435835546,-29.805586666666656,99.68385333333339,-0.007407407407407408,-3.3565766666666264,7.883835833333279,100.35470333333332,1.6666666666666665e-06,67.5,7.0,1.0,Basslink
T-V-MNSP1,reverse,APD/LINE/APD_HYTS2_500,Alc/prtlnd Heywood 2 500kV LINE,500.0,Alcoa/portland 500kV,VIC1,,V-HYMO,4,DARTM1 (-2.97); MCKAY1 (-2.97); WKIEWA1 (-2.97); MURRAY (-2.39); WUNUSF1 (-1.12); YATSF1 (-1.12),,K2,V-HYMO,supported,9.771526666666688,2.6143718803531653,-43.78039833333332,61.07556499999998,0.00740740740740739,4.04650833333333,9.610023333333345,145.93333333333334,75.538665,67.5,7.0,1.0,Basslink
T-V-MNSP1,forward,DDTS/LINE/DDTS_MSS1_330,Dederang Murray 1 330kV LINE,330.0,Dederang 330kV,VIC1,south of Wodonga (38 km),V-DDMS,8,,West Kiewa Power Station (38 km); Hume Power Station (39 km); Clover Flat Power Station Substation (42 km); Banimboola Power Station (43 km); Bogong Power Station (44 km); Dartmouth Power Station (49 km); McKay Creek Power Station (50 km),K1xK2,DDTS/LINE/DDTS_MSS1_330 × V-DDMS,supported,14.338668333333354,6.100325464167966,-20.83333333333333,81.05945166666669,0.0,32.269313333333315,-15.543250833333332,83.33333333333333,14.641325,140.0,5.0,1.0,Basslink
T-V-MNSP1,reverse,DDTS/LINE/DDTS_MSS1_330,Dederang Murray 1 330kV LINE,330.0,Dederang 330kV,VIC1,south of Wodonga (38 km),V-DDMS,8,,West Kiewa Power Station (38 km); Hume Power Station (39 km); Clover Flat Power Station Substation (42 km); Banimboola Power Station (43 km); Bogong Power Station (44 km); Dartmouth Power Station (49 km); McKay Creek Power Station (50 km),K1xK2,DDTS/LINE/DDTS_MSS1_330 × V-DDMS,supported,-51.71321916666665,-14.126927555549937,-113.57310000000001,0.0,0.0,-32.269313333333315,0.0008699999999066677,129.54570999999999,158.37548166666667,140.0,5.0,1.0,Basslink
T-V-MNSP1,forward,DDTS/LINE/DDTS_MSS2_330,Dederang Murray 2 330kV LINE,330.0,Dederang 330kV,VIC1,south of Wodonga (38 km),V-DDMS,5,,West Kiewa Power Station (38 km); Hume Power Station (39 km); Clover Flat Power Station Substation (42 km); Banimboola Power Station (43 km); Bogong Power Station (44 km); Dartmouth Power Station (49 km); McKay Creek Power Station (50 km),K2,V-DDMS,supported,3.9666766666666717,1.3531406044713319,-15.48647833333331,52.27686695833336,0.08082191780821918,16.166666666666668,-7.4058783333332485,-104.2074,-97.31620500000001,199.0,9.0,0.9170854271356784,Basslink
T-V-MNSP1,reverse,DDTS/LINE/DDTS_MSS2_330,Dederang Murray 2 330kV LINE,330.0,Dederang 330kV,VIC1,south of Wodonga (38 km),V-DDMS,5,,West Kiewa Power Station (38 km); Hume Power Station (39 km); Clover Flat Power Station Substation (42 km); Banimboola Power Station (43 km); Bogong Power Station (44 km); Dartmouth Power Station (49 km); McKay Creek Power Station (50 km),K2,V-DDMS,supported,-30.045686666666654,-8.557343895717553,-87.00411833333334,2.763075000000015,-0.0465753424657534,-16.166666666666668,0.0004900000000134241,274.2073716666667,259.3662116666667,199.0,9.0,0.9170854271356784,Basslink
