ic,direction,state,season,half_hours,capacity_p10,capacity_median,capacity_p90,flow_median,headroom_median,at_limit_share,restricted_share,name
NSW1-QLD1,forward,booked_only,Summer,431,272.44068666666664,621.002125,850.0,166.84536166666666,409.8782216666666,0.13225058004640372,0.13225058004640372,QNI
NSW1-QLD1,forward,booked_only,Winter,1957,278.36303033333337,597.4061333333333,837.2591893333334,-674.2432966666667,1268.0347666666667,0.009708737864077669,0.10219724067450178,QNI
NSW1-QLD1,forward,clear,Autumn,4472,448.1459863333334,625.0235916666667,850.0,-293.12075,912.2630808333333,0.03734347048300537,0.02101967799642218,QNI
NSW1-QLD1,forward,clear,Spring,1811,237.13358333333335,465.36689666666666,776.0166616666667,-182.411425,607.5449233333334,0.09221424627277747,0.10657095527332965,QNI
NSW1-QLD1,forward,clear,Summer,4712,349.9962416666667,635.3238191666667,847.7605916666666,-0.8157008333333335,611.9189841666666,0.14028013582342955,0.07597623089983022,QNI
NSW1-QLD1,forward,clear,Winter,1138,46.99720900000002,570.2439975,848.9277313333334,-732.316575,1176.1162866666668,0.012302284710017574,0.23198594024604569,QNI
NSW1-QLD1,forward,invoked_leading,Autumn,2154,-33.11083716666667,71.30772333333333,286.82096483333333,-371.93692583333336,478.89395583333334,0.04131847725162489,0.9015784586815228,QNI
NSW1-QLD1,forward,invoked_leading,Spring,1880,89.28119133333334,243.96550166666665,913.2997198333334,-187.71975083333334,436.77475000000004,0.10159574468085106,0.49627659574468086,QNI
NSW1-QLD1,forward,invoked_leading,Summer,742,122.45140016666667,648.5048291666667,846.5222786666666,-170.23447166666668,669.3264241666666,0.07277628032345014,0.16037735849056603,QNI
NSW1-QLD1,forward,invoked_leading,Winter,1527,-39.712809666666665,333.0892,705.5702490000001,-544.42448,716.3601299999999,0.0091683038637852,0.47806155861165683,QNI
NSW1-QLD1,forward,invoked_nonleading,Autumn,2158,-29.665743333333324,594.1997758333334,840.6477875,-289.1413,673.9113533333334,0.027340129749768304,0.35125115848007415,QNI
NSW1-QLD1,forward,invoked_nonleading,Spring,4594,-94.05369666666667,177.87185333333332,650.8874654999998,-194.47311583333334,336.63386916666667,0.07226817588158467,0.5822812363952982,QNI
NSW1-QLD1,forward,invoked_nonleading,Summer,2743,225.81849,592.0317216666666,850.0,-106.45510833333333,651.5427233333332,0.05942398833394094,0.15092963908129786,QNI
NSW1-QLD1,forward,invoked_nonleading,Winter,4205,85.3568106666667,554.5907916666666,799.47936,-597.5678883333334,1099.6689416666668,0.026397146254458978,0.19357907253269918,QNI
NSW1-QLD1,forward,partial,Autumn,7,523.2383183333334,658.1786483333334,859.3491710000001,-54.55816333333333,625.4153133333333,0.2857142857142857,0.0,QNI
NSW1-QLD1,forward,partial,Spring,4,125.47073016666667,429.807405,541.0115435,-439.4323475,874.72928,0.0,0.25,QNI
NSW1-QLD1,forward,partial,Summer,12,244.00014733333333,582.2465483333333,843.1254345,176.90327583333334,340.64645083333335,0.08333333333333333,0.25,QNI
NSW1-QLD1,forward,partial,Winter,5,47.88638400000001,163.042835,612.6902116666666,-1071.5138066666666,1388.0817783333332,0.0,0.6,QNI
NSW1-QLD1,reverse,booked_only,Autumn,41,530.2102566666666,922.3605583333333,1164.1137033333332,18.108393333333336,920.5425516666667,0.07317073170731707,0.0,QNI
NSW1-QLD1,reverse,booked_only,Spring,447,536.7397213333333,1001.555115,1124.1733256666666,130.89635333333334,830.14561,0.06263982102908278,0.053691275167785234,QNI
