n_treated,n_matched,match_rate,treated_hours,treated_days,exact_share,effect_capacity,treated_capacity,control_capacity,effect_headroom,treated_headroom,control_headroom,effect_directional_flow,treated_directional_flow,control_directional_flow,effect_at_limit,treated_at_limit,control_at_limit,effect_restricted,treated_restricted,control_restricted,effect_forced_direction,treated_forced_direction,control_forced_direction,effect_tight_capacity,treated_tight_capacity,control_tight_capacity,effect_tightening,treated_tightening,control_tightening,effect_relief,treated_relief,control_relief,effect_capacity_pct,ci_lo_capacity,ci_hi_capacity,ci_lo_headroom,ci_hi_headroom,ci_lo_directional_flow,ci_hi_directional_flow,ci_lo_at_limit,ci_hi_at_limit,smd_before_temperature_mean,smd_after_temperature_mean,smd_before_vre_difference,smd_after_vre_difference,smd_before_residual_difference,smd_after_residual_difference,smd_before_half_hour,smd_after_half_hour,smd_before_other_count,smd_after_other_count,max_abs_smd_after,share_exact,share_count,share_coarse,ic,name,direction,GENCONSETID,state,share_of_invoked
220,202,0.9181818181818182,110.0,6,0.29207920792079206,-40.21220041666668,63.8263525,136.67141583333333,14.334292500000004,594.6124775000001,554.5491999999999,-8.321500000000071,-543.1627625,-530.8033866666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-35.171699999999994,56.460319999999996,99.8561,0.0,86.833293876,65.56499874999999,-3.862645191999996,80.2888235548017,105.28698216781345,-7.1243066523800165,-87.53649666666666,-24.373893854166695,-25.936241666666547,61.674518333333324,-27.781248333333338,18.294786666666596,0.0,0.0,-1.0415139648082574,-0.19486934818594312,-1.2424294886389469,-0.3655978216475214,1.584343736895619,0.474443450887167,0.016401321590410387,0.00890696982117664,1.3830986672864027,0.0,0.474443450887167,0.29207920792079206,0.39603960396039606,0.3118811881188119,NSW1-QLD1,QNI,forward,N-ARKS_965,invoked_unbooked,0.5945945945945946
220,202,0.9181818181818182,110.0,6,0.29207920792079206,0.3126208333333551,543.1609841666666,529.8542558333334,-0.004435833333388928,-0.001411666666626843,3.3333333362861595e-05,33.17450958333336,543.1627625,491.7351808333333,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,490.0,458.99541,0.0,0.0,0.0,0.0,0.0,0.0,0.032383131755537885,-25.20772333333332,18.728063333333353,-10.847891666666555,-0.0029749999998784915,13.043374999999969,51.48307333333332,0.0,0.0,-1.0415139648082574,-0.25011173156493055,-1.2424294886389469,-0.46979927071292404,1.584343736895619,0.5723087121437841,0.016401321590410387,0.003914411083721965,1.3830986672864027,0.0,0.5723087121437841,0.29207920792079206,0.297029702970297,0.41089108910891087,NSW1-QLD1,QNI,reverse,N-ARKS_965,invoked_unbooked,0.5945945945945946
8,5,0.625,4.0,1,0.2,107.74778833333323,559.0747283333334,546.5672633333334,249.46287500000005,827.4359850000001,416.6219433333333,-263.1814216666666,-268.36125666666663,109.50905833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.83863999999994,546.30615,532.66196,-915.1340347725888,1067.6302597451777,2061.675244390831,-405.02178690964456,1106.9908894284263,1653.3641131817258,22.564719894386123,107.74778833333323,107.74778833333323,249.46287500000005,249.46287500000005,-263.1814216666666,-263.1814216666666,0.0,0.0,1.605753088155461,0.2797159076112999,1.0642936808246115,-1.1300586780806603,-1.3726929868219062,0.7864634360018974,0.7024103234345282,-0.02009749281582062,-0.8561070921514974,0.0,1.1300586780806603,0.2,0.4,0.4,NSW1-QLD1,QNI,forward,N-ARSR_8E,invoked_unbooked,0.004024144869215292
8,5,0.625,4.0,1,0.2,11.35299000000009,791.1508066666667,991.274205,-248.27276999999992,508.8694883333333,742.08004,263.1814216666666,268.36125666666663,-109.50905833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.16800000000012,753.61773,918.68167,27.222616632860024,70.52187018255583,208.074814945911,-48.702118154158256,194.2151095334686,733.8649035280816,1.3360484009898856,11.35299000000009,11.35299000000009,-248.27276999999992,-248.27276999999992,263.1814216666666,263.1814216666666,0.0,0.0,1.605753088155461,0.2607441173312997,1.0642936808246115,-1.1746922197751246,-1.3726929868219062,0.7176499426838727,0.7024103234345282,-0.025121866019775865,-0.8561070921514974,0.0,1.1746922197751246,0.2,0.4,0.4,NSW1-QLD1,QNI,reverse,N-ARSR_8E,invoked_unbooked,0.004024144869215292
332,282,0.8493975903614458,166.0,9,0.0,295.76797625,389.59472166666666,33.77563666666667,514.4301570833334,754.39282,134.61729666666668,-209.19181666666668,-413.63062,-106.9760625,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,298.3264375,376.94276,13.73023,24.030875084263954,356.46462163451787,291.49310926751593,-0.6482158182740818,360.0922331005076,314.4462989918781,61.94021836591173,231.2240733333333,351.89666750000004,266.98243135416675,704.6989016666666,-463.38852,-26.463080833333336,0.0,0.0,-0.20288890868547277,0.1725787567591458,-0.36452100549525923,-0.32580334708354913,0.3266499191379511,0.08989352544815657,0.0097487908412491,-0.008130006527121366,0.2448970069224069,0.0,0.32580334708354913,0.0,0.524822695035461,0.475177304964539,NSW1-QLD1,QNI,forward,N-ARTW_86,invoked_unbooked,0.3018181818181818
53,12,0.22641509433962265,26.5,3,0.3333333333333333,-150.15308833333333,89.5466825,89.54860833333333,-35.41793291666659,620.8084591666667,629.7744212499999,-71.46249833333334,-559.4390083333333,-524.2036404166668,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-108.12528,88.67706,64.87526,-427.65299705114813,413.8538851043842,748.3072708559499,-428.5910120500772,246.97716199361662,772.3449830522966,-25.981733336826906,-443.2838233333333,84.81437500000001,-489.55412500000006,28.723076666666657,-189.23846166666675,178.40304500000005,0.0,0.0,0.9231227616629635,0.02726898191131322,-1.2957093732781984,-0.6098514248849729,1.1391149224574855,0.8449559805978287,0.0365217206346609,0.007203957966720419,1.4819659328272663,0.0,0.8449559805978287,0.3333333333333333,0.0,0.6666666666666666,NSW1-QLD1,QNI,forward,N-ARTW_86,booked_only,
332,282,0.8493975903614458,166.0,9,0.0,785.6785225000001,903.2692549999999,131.9508325,513.4460875,552.5133624999999,15.124183333333335,200.55405000000002,413.63062,106.9760625,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,780.588625,874.19677,113.66221,2.943193029490616,114.24688739946382,85.43798927613942,7.138733914209117,106.61811394101876,81.70451474530832,92.46062347260171,707.0761249999999,862.6584233333333,215.41819412500013,709.067853,0.3781977500000073,463.38852,0.0,0.0,-0.20288890868547277,0.17000100618460232,-0.36452100549525923,-0.3260050685620161,0.3266499191379511,0.09876955215350867,0.0097487908412491,-0.007499909142887923,0.2448970069224069,0.0,0.3260050685620161,0.0,0.524822695035461,0.475177304964539,NSW1-QLD1,QNI,reverse,N-ARTW_86,invoked_unbooked,0.3018181818181818
53,12,0.22641509433962265,26.5,3,0.3333333333333333,-166.8583308333333,567.4343508333334,668.8042674999999,-0.0019483333332743769,-0.0010016666666956553,0.0,71.46249833333334,559.4390083333333,524.2036404166668,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.24724499999998,521.046705,500.18262500000003,-108.82629513184584,0.0,108.82629513184584,-2.6321645537525344,0.0,2.6321645537525344,-17.454082205970355,-300.37646000000007,-166.47234833333334,-466.57275500000014,1.7911983333332273,-178.40304500000005,173.1442383333333,0.0,0.0,0.9231227616629635,0.02726898191131322,-1.2957093732781984,-0.6098514248849729,1.1391149224574855,0.8449559805978287,0.0365217206346609,0.007203957966720419,1.4819659328272663,0.0,0.8449559805978287,0.3333333333333333,0.0,0.6666666666666666,NSW1-QLD1,QNI,reverse,N-ARTW_86,booked_only,
35,33,0.9428571428571428,17.5,3,0.45454545454545453,170.12837166666657,790.6737466666667,540.31999,548.161935,1438.5837216666666,737.1814850000001,-222.6304633333333,-663.8858799999999,-426.55441333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.87879999999996,787.51393,531.83613,0.0,0.0,73.03464337360406,0.0,0.0,175.1943146649746,35.6285647448295,47.90895083333339,605.4539233333334,-26.32776666666632,906.3778608333332,-280.9235975,165.30047249999996,0.0,0.0,1.2740962133544513,0.46867133096371255,0.30943740381319723,0.005049848615388759,-0.21677465778784888,0.06326673662088135,-0.10148378534126372,-0.01217022981584524,0.46939356516938463,0.0,0.46867133096371255,0.45454545454545453,0.42424242424242425,0.12121212121212122,NSW1-QLD1,QNI,forward,N-AVMA_17,invoked_unbooked,0.023664638269100743
245,221,0.9020408163265307,122.5,9,0.497737556561086,-23.70063333333337,653.5757133333333,667.7015,-177.0617983333334,500.4503066666666,625.6959750000001,54.78952333333332,-5.945001666666665,-46.46157083333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.61355000000003,641.08358,646.30406,-42.75201445685275,316.2262026395939,326.9885240203046,-6.396105154354061,390.415741715736,365.45605622944163,-3.9278175259650174,-343.7964100000001,67.62764945833334,-414.2849456250001,102.44389000000001,-316.08260537499996,257.42685166666666,0.0,0.0,1.1366173226003171,0.022242655023036496,0.8359547224349143,0.07379595438374437,-0.907341150191697,-0.0572481114609724,0.0068190238503260696,0.006051930080888723,-0.19018889700503586,0.0,0.07379595438374437,0.497737556561086,0.20361990950226244,0.2986425339366516,NSW1-QLD1,QNI,forward,N-AVMA_17,booked_only,
