fold,target,band,model,selected,MAPE ≥50 (%),MAPE coverage,MAE (MW; origin-balanced),DR-NMAE (%),>100 MW overstatement,>200 MW overstatement
2025-12,import_tight,1,seasonal_weekly,False,86.73262869929067,0.9410751206064782,355.3960100102529,95.18175068249197,0.4104066161268091,0.3001378359751895
2025-12,import_tight,1,T0_mae,False,88.45104410635601,0.9410751206064782,379.9285938964761,115.20696594844016,0.39042039972432807,0.3104755341144039
2025-12,import_tight,1,T6_mae,True,58.992566942664524,0.9410751206064782,275.50210365143,79.34668203891823,0.2470709855272226,0.18297725706409373
2025-12,export,2,persistence,False,154.7246781553252,0.9373342974210653,500.744642571064,137.45975947049345,0.4147987466859484,0.33526150879730054
2025-12,export,2,seasonal_daily,False,93.80059365076308,0.9373342974210653,303.8243644988222,85.67465037370422,0.3771993251385876,0.2754880694143167
2025-12,export,2,seasonal_weekly,False,103.48629266422411,0.9373342974210653,313.8080473239105,91.66645514084686,0.413352615087973,0.3051337671728127
2025-12,export,2,T0_mae,False,147.6997176066972,0.9373342974210653,470.79285759220795,128.5724594210096,0.43504458905760424,0.3583996143649072
2025-12,export,2,T6_mae,True,85.87031186146032,0.9373342974210653,257.12770101385684,71.15957524388406,0.4687876596770306,0.35116895637503015
2025-12,export_tight,2,persistence,False,154.02296000874355,0.9607134249216679,533.5106906289753,135.76879345611889,0.4164859002169197,0.34345625451916123
2025-12,export_tight,2,seasonal_daily,False,100.33251414559096,0.9607134249216679,329.12247148292107,87.63410901341638,0.38346589539648107,0.2832007712701856
2025-12,export_tight,2,seasonal_weekly,False,106.5294456676692,0.9607134249216679,340.8514436207303,94.67716293588356,0.40588093516510004,0.3048927452398168
2025-12,export_tight,2,T0_mae,False,144.93759920860288,0.9607134249216679,501.0688068009981,128.318145470431,0.43817787418655096,0.36346107495782115
2025-12,export_tight,2,T6_mae,True,78.78563000840442,0.9607134249216679,264.64263428525163,71.67915007344313,0.4709568570739937,0.34538442998312846
2025-12,import,2,persistence,False,80.94891076285565,0.9754157628344179,334.6346514572046,88.12975310894349,0.40684502289708363,0.3121234032296939
2025-12,import,2,seasonal_daily,False,69.77921409522779,0.9754157628344179,282.9488852459757,65.72668916502364,0.38009158833453843,0.2670523017594601
2025-12,import,2,seasonal_weekly,False,77.42455785568055,0.9754157628344179,304.721413682764,69.58218193437767,0.38611713665943603,0.26970354302241506
2025-12,import,2,T0_mae,False,76.26526273912923,0.9754157628344179,315.0879326035489,82.79343751331794,0.38852735598939503,0.29019040732706675
2025-12,import,2,T6_mae,True,54.95509858303333,0.9754157628344179,242.2389131564884,56.45532092182205,0.19546878765967704,0.13497228247770546
2025-12,import_tight,2,persistence,False,93.32700195514948,0.9387804290190407,386.70346232862204,114.50552455189053,0.4135936370209689,0.3333333333333333
2025-12,import_tight,2,seasonal_daily,False,78.5992580301004,0.9387804290190407,340.04899167373384,92.2781725678566,0.3967221017112557,0.2928416485900217
