half_hour,intervals,flow_mean_mw,flow_median_mw,flow_p05_mw,flow_p95_mw,export_limit_median_mw,export_limit_p05_mw,import_limit_median_mw,import_limit_p05_mw,northward_flow_share,southward_flow_share,flow_reversals,forced_export_intervals,forced_import_intervals,time_of_day
29,4380,36.306363392694074,-3.235815,-669.5021595,826.313354,320.4039,-432.83264099999997,635.05896,-0.0,0.46872146118721464,0.5034246575342466,330,1272,140,14:30
30,4380,23.902608216894972,-20.0,-664.4157045,811.5172450000002,322.814425,-447.09898799999996,618.19984,-0.0,0.44726027397260276,0.5264840182648401,327,1269,166,15:00
31,4380,26.54301264611872,-20.0,-658.4927695,806.2676455,387.683005,-468.18238499999995,602.404505,-0.0,0.45388127853881277,0.5184931506849315,332,1201,208,15:30
32,4380,35.43707065296803,0.0,-679.0545495,841.4951775000002,443.667165,-492.93462049999994,578.315235,-24.534886999999966,0.48424657534246573,0.49817351598173515,388,1112,250,16:00
33,4380,98.42739045433791,45.20225,-663.760599,905.8771975000003,572.809555,-493.522991,554.0405499999999,-161.5908059999998,0.5337899543378996,0.4404109589041096,367,946,296,16:30
34,4380,169.67446734246573,118.870305,-593.695422,987.2229145000007,706.54447,-451.1496575,534.1232150000001,-144.18488899999994,0.5878995433789954,0.38493150684931504,307,807,306,17:00
35,4380,242.28913741552512,212.84743,-539.739931,1048.0975335,775.02445,-419.4161735,548.274375,-209.311153,0.6445205479452055,0.32511415525114157,299,678,323,17:30
36,4380,295.34543762328764,292.751055,-479.94206799999995,1083.71153,848.438805,-274.1179725,534.967005,-128.44218099999992,0.6844748858447488,0.2878995433789954,243,500,295,18:00
37,4380,355.51933043607306,367.465885,-410.6710595,1098.880305,935.84878,-49.36495799999999,508.706465,-89.16907799999998,0.7210045662100457,0.2495433789954338,194,327,300,18:30
38,4380,372.4429849680365,394.91274,-410.816194,1130.862079,986.203935,0.0,480.51458,-65.54366499999993,0.7294520547945206,0.24817351598173515,190,212,310,19:00
39,4380,390.4591861461187,425.94764499999997,-394.78214449999996,1138.8116960000002,1009.284825,166.94805850000003,454.26445,-89.3852975,0.7497716894977169,0.23333333333333334,168,116,331,19:30
40,4380,407.2495403356164,461.56052,-398.861385,1146.1530555,1025.300435,384.3270595000001,429.349335,-113.639163,0.7575342465753425,0.23310502283105022,149,80,357,20:00
41,4380,435.34333537671233,494.680615,-383.71606,1158.6174720000001,1034.838785,474.5110925,393.41426,-144.26954449999997,0.7792237442922374,0.2146118721461187,151,51,388,20:30
42,4380,461.5585215114155,522.762405,-368.1315105,1159.5183335000002,1035.2172500000001,545.059077,357.952215,-110.44706149999998,0.8,0.19703196347031962,157,24,413,21:00
43,4380,476.2327597009133,544.178135,-351.45193499999993,1165.4289195000003,1015.386615,551.526986,354.44923500000004,-67.205433,0.8038812785388127,0.195662100456621,139,12,394,21:30
44,4380,520.9600257214612,585.330725,-298.5010325,1174.1041085,1004.56647,556.406075,346.390015,-60.514352499999994,0.8319634703196347,0.1678082191780822,136,15,356,22:00
45,4380,533.1818991506849,597.982315,-293.9986265,1166.35186,988.20452,523.4756404999999,348.91206,-36.07139599999999,0.8406392694063927,0.158675799086758,122,13,320,22:30
46,4380,485.96305519634706,537.0718999999999,-325.6663525,1157.2221715,969.97071,515.2584275,343.64145,-18.467923499999998,0.8015981735159817,0.19840182648401827,142,10,270,23:00
47,4380,453.9746595479452,497.00226499999997,-324.27423500000003,1143.7001045000002,925.98162,497.4272735,333.548385,-15.332061,0.7769406392694064,0.2230593607305936,131,6,262,23:30
