DUID,contribution_rows,total_abs_impact_mw_observations,mean_abs_bound_impact_mw,p95_abs_bound_impact_mw,total_tightening_mw_observations,total_relief_mw_observations,contraction_contribution_rows,reversal_contribution_rows,forced_contribution_rows,contraction_onsets,forced_onsets,active_months,active_constraint_versions,limit_move_spearman,flow_move_spearman,top_contributor_intervals,equation_versions,factor_min,factor_max,sensitivity_min,sensitivity_mean,sensitivity_max,sensitivity_abs_max,overall_rank,contraction_rank,reversal_rank,forced_rank
SHGEN,2008,70013.3910066573,24.09350304111195,598.46689112,52257.220253532585,17756.170753124723,680,136,453,235,94,17.0,8.0,-0.015147465879052364,0.00852312945398453,21.0,2811,-1.0,0.998,-7.968127490039841,1.0209782521630553,12.949245541838133,12.949245541838133,151,132,201,217
GUNNING1,93951,69739.7974563191,7.307929858312134,151.83132179098257,31956.230725327376,37783.56673099172,3825,3768,7497,1197,558,24.0,10.0,-0.004544885912671359,-0.04019694329736122,0.0,3681,-0.965,0.968,-10.257668711656441,1.34654991544817,9.552401746724891,10.257668711656441,152,159,41,41
MOLNGSF1,119629,69683.76570023371,2.3940596113481343,63.443542857142866,33685.2700292988,35998.495670934906,6165,4759,9724,1948,739,24.0,21.0,-0.05190134813778173,0.031544885091334976,0.0,3871,-0.829,0.878,-0.7266187050359713,1.012926399176085,5.4,5.4,153,155,21,21
BHB1,91210,68084.27915199954,10.219424350051263,336.96000000000004,41660.02094297049,26424.258209029045,3716,3628,7198,1163,538,22.0,9.0,0.06934476636860629,0.003921943897189792,10.0,3603,-0.988,0.988,-10.687116564417177,1.3413831325129622,9.770742358078603,10.687116564417177,154,143,73,72
ULPBESS1,7183,65274.69179502669,17.71892852962006,180.6551724137931,32659.86050494723,32614.831290079455,1256,138,2181,435,240,15.0,13.0,0.02849998602072299,0.023129153636749927,126.0,941,-0.212,1.0,-1.7507246376811596,-0.9593555482297708,-0.3820015927794001,1.7507246376811596,155,158,200,188
YARANSF1,8814,62635.144881130764,11.06566973997954,75.2816216216216,33807.45113348546,28827.693747645306,1244,203,2086,438,200,22.0,18.0,0.012111457895228647,0.13235589573814963,51.0,953,-1.0,1.0,-1.868131868131868,-0.6125189414826796,2.949852507374631,2.949852507374631,156,154,187,191
LIMOSF21,91210,61362.25187157786,8.61610034142784,116.33142857142857,25835.014372947484,35527.23749863037,3716,3628,7198,1163,538,22.0,9.0,-0.09202081832635185,0.0022689910847346114,0.0,3821,-0.987,0.988,-10.67484662576687,0.9667150368173795,9.759825327510917,10.67484662576687,157,172,73,72
CRWASF1,91464,61257.39074809296,6.833723770181962,119.4565584457143,24822.548433363583,36434.84231472938,3730,3636,7253,1168,543,23.0,9.0,-0.12142328043421913,-0.0025727954728928513,0.0,3624,-0.987,0.988,-10.662576687116564,1.355826412367849,9.759825327510917,10.662576687116564,158,174,71,70
MPP_2,11785,60941.44839865071,10.503658709965412,74.70918709538788,32796.636697586386,28144.811701064333,2125,312,3098,755,402,24.0,22.0,0.03852859157892871,-0.01648269734564822,141.0,2150,-0.474,1.4,-1.4,-0.939335872720132,-0.7920604914933836,1.4,159,157,106,96
TARBESS1,7385,58734.701183894365,16.22648773167986,331.03448275862075,30049.79906524319,28684.902118651175,1295,154,2155,467,244,18.0,12.0,0.047992120381489645,-0.005002723562678579,93.0,1078,-0.181,1.0,-1.1428571428571428,-0.9594830295250657,0.3577075098814229,1.1428571428571428,160,162,197,190
JUNEESF1,91547,58497.72213632103,6.6618974943131875,113.1564,26211.233297761453,32286.488838559577,3753,3647,7280,1175,549,24.0,9.0,-0.07771704481650128,0.005669984079993596,0.0,3627,-0.983,0.985,-10.60122699386503,1.3566251547725416,9.72707423580786,10.60122699386503,161,171,50,52
PUMP2,5250,57732.695177577436,8.099724029594807,255.76519916142558,25572.983899371073,32159.71127820636,526,82,1387,188,91,12.0,5.0,0.15412842669513332,0.05289237319494587,208.0,68,-1.0,0.0711,0.17487684729064037,0.7286404850218046,2.8265706806282727,2.8265706806282727,162,173,212,205
KEPSF1,9935,57018.783551562745,17.706412752151852,119.17284234752589,26329.9695821794,30688.813969383336,2109,254,3018,756,406,24.0,21.0,-0.03859555184883428,0.0496245140678169,0.0,1550,0.179,1.0,-12.42627345844504,-4.171209249639919,10.264672036823935,12.42627345844504,163,170,141,130
WDBESSL1,1325,54733.66698592109,36.56026349232429,199.39999999999998,28517.786200483537,26215.880785437555,353,43,368,128,86,3.0,11.0,0.05710459989522873,0.06695404155901137,72.0,188,-0.948,0.0869,0.6730552423900789,0.9389806003223078,1.1757990867579908,1.1757990867579908,164,164,218,221
BRAEMAR5,10944,52570.94959492091,3.922196898081607,103.92294435121464,30033.99181467712,22536.95778024378,2170,286,3052,778,407,24.0,22.0,0.09083799302102413,0.0362504096993638,102.0,1669,-0.232,1.0653,-1.575098814229249,-0.9333653081304781,0.2223188405797102,1.575098814229249,165,163,124,113
WOODLWN1,91025,51658.54143173302,4.573859865553687,117.15844648656041,26954.04010724506,24704.501324487963,3701,3625,7157,1153,537,20.0,9.0,0.014299278513942327,-0.0056224211744518434,1.0,3480,-0.994,0.994,-9.656441717791411,1.2476577933478268,10.617283950617283,10.617283950617283,166,168,83,82
CG3,120082,51264.7227970726,1.1309400127878384,62.913907284768214,27525.454147296714,23739.268649775888,5879,4712,9494,1833,672,24.0,21.0,-0.004676034261378143,0.0076645663090701725,356.0,2848,-1.0,0.465,-3.5087719298245617,-0.3290195541206703,2.521531100478469,3.5087719298245617,167,167,25,30
W/HOE#1,6025,49259.28511052477,7.924611069215035,217.25,23296.644349517115,25962.64076100765,893,129,1618,329,166,19.0,7.0,0.07824222873981536,0.030905821980147297,120.0,1216,-0.0869,1.0,-2.8265706806282727,-0.927467689861234,-0.17487684729064037,2.8265706806282727,168,176,206,203
TALWB1,2008,48583.87532056924,7.148854231434827,419.42857142857133,33065.513954146474,15518.361366422763,680,136,453,235,94,17.0,8.0,0.0562973953114435,0.09277590650800183,23.0,2615,-1.0,1.0,-7.968127490039841,0.6955089562519279,13.717421124828531,13.717421124828531,169,156,201,217
MSTUART3,9935,48459.60316336146,71.94621581313739,974.0506329113923,37930.78961593103,10528.813547430427,2109,254,3018,756,406,24.0,21.0,0.055805484287677724,-0.0008299415944392259,11.0,1550,0.179,1.0,-12.42627345844504,-4.173905575907908,10.253164556962025,12.42627345844504,170,146,141,130
BARRON-1,9935,47718.80826245102,10.992132805398166,214.92921492921494,28108.12524233943,19610.683020111588,2109,254,3018,756,406,24.0,21.0,0.07763243473038219,0.0006767900858762969,1.0,1550,0.179,1.0,-12.42627345844504,-4.172117295376009,10.253164556962025,12.42627345844504,171,166,141,130
PUMP1,5250,46244.623819282635,15.021197111628956,692.5098167539268,23652.107280834625,22592.516538448013,526,82,1387,188,91,12.0,5.0,0.11936712187585201,0.03330000496500422,161.0,68,-1.0,0.0711,0.17487684729064037,0.7286404850218046,2.8265706806282727,2.8265706806282727,172,175,212,205
MSTUART2,9935,44423.249559313466,44.75327003262232,871.5189873417721,31726.81103718028,12696.438522133187,2109,254,3018,756,406,24.0,21.0,0.058910128842002814,0.012472142305332487,38.0,1550,0.179,1.0,-12.42627345844504,-4.173905575907908,10.253164556962025,12.42627345844504,173,160,141,130
GUTHEGA,91210,43600.56349431994,3.7895934965612,135.8057142857143,30195.561303906747,13405.002190413197,3716,3628,7198,1163,538,22.0,9.0,0.0669375442573504,0.018340014919128032,9.0,3635,-0.99,0.99,-10.71165644171779,1.3834896915503327,9.781659388646288,10.71165644171779,174,161,73,72
CG4,120082,39768.45717220764,1.2234751259808176,62.913907284768214,20876.907318151185,18891.549854056462,5879,4712,9494,1833,672,24.0,21.0,-0.003912872718584299,0.015466177434447068,225.0,2848,-1.0,0.465,-3.5087719298245617,-0.3290195541206703,2.521531100478469,3.5087719298245617,175,179,25,30
CG2,120082,39536.23560632364,0.8414650740328276,62.913907284768214,21161.82542840256,18374.410177921076,5879,4712,9494,1833,672,24.0,21.0,-0.0024245656404158497,0.020238928068459953,278.0,2848,-1.0,0.465,-3.5087719298245617,-0.3290195541206703,2.521531100478469,3.5087719298245617,176,177,25,30
MSTUART1,9935,38910.81938516635,75.19891992238408,871.5189873417721,37156.98530058143,1753.8340845849239,2109,254,3018,756,406,24.0,21.0,0.07631653622862401,0.03530927203273897,18.0,1550,0.179,1.0,-12.42627345844504,-4.173905575907908,10.253164556962025,12.42627345844504,177,152,141,130
BARRON-2,9935,38412.769244837706,4.02414399287155,261.4864864864865,18396.167210533604,20016.6020343041,2109,254,3018,756,406,24.0,21.0,0.07908129919492342,-0.002949815412119653,3.0,1550,0.179,1.0,-12.42627345844504,-4.172117295376009,10.253164556962025,12.42627345844504,178,181,141,130
BRAEMAR7,10944,37363.807653268595,2.8785273967098046,90.94999999999995,17893.87361216004,19469.93404110855,2170,286,3052,778,407,24.0,22.0,0.11706397890151235,0.07689813512893288,74.0,1669,-0.232,1.0653,-1.575098814229249,-0.9333653081304781,0.2223188405797102,1.575098814229249,179,183,124,113
OAKEY2SF,8814,36873.40566865471,7.3627008591792675,65.83488186886116,19965.49605219949,16907.909616455217,1244,203,2086,438,200,22.0,18.0,0.014902395294894526,0.09831823574656376,1.0,953,-1.0,1.0,-1.868131868131868,-0.6125309122132352,2.949852507374631,2.949852507374631,180,180,187,191
KINGASF1,10823,35430.4982559588,4.033189338377805,39.47011764705883,18114.251377696448,17316.246878262355,2159,280,3052,775,407,24.0,22.0,-0.0262683402938883,0.0820111002916449,1.0,1584,-0.189,1.0,-1.1428571428571428,-0.9668761242200288,0.3577075098814229,1.1428571428571428,181,182,132,113
