DUID,net_mw,tightening_mw,relief_mw,events
BDL02,0.0,0.0,-0.0,4
BDL01,0.0,0.0,-0.0,4
DARTM1,0.0,0.0,-0.0,15
EILDON2,0.0,0.0,-0.0,3
BULBESL1,0.0,0.0,-0.0,1
BUNGAMB1,0.0,0.0,-0.0,1
MINTARO,0.0,0.0,-0.0,17
MLB01,0.0,0.0,-0.0,2
LNGS2,0.0,0.0,-0.0,5
LADBROK2,0.0,0.0,-0.0,20
JLB03,0.0,0.0,-0.0,4
JLA04,0.0,0.0,-0.0,4
HUMEV,0.0,0.0,-0.0,9
LNGS1,0.0,0.0,-0.0,5
LGAPBS1,0.0,0.0,-0.0,3
JLB02,0.0,0.0,-0.0,4
JLB01,-2.148936170212766,0.0,2.148936170212766,4
MRNBESS1,0.0,0.0,-0.0,5
RESS1G,0.0,0.0,-0.0,2
POR01,0.0,0.0,-0.0,17
POR03,0.0,0.0,-0.0,17
NPS,0.0,0.0,-0.0,5
TRGBESS1,0.0,0.0,-0.0,7
SNUG1,0.0,0.0,-0.0,21
VPGS2,0.0,0.0,-0.0,4
VPGS1,0.0,0.0,-0.0,4
VPGS4,0.0,0.0,-0.0,4
VPGS3,0.0,0.0,-0.0,4
VPGS6,0.0,0.0,-0.0,4
VPGS5,0.0,0.0,-0.0,4
YWPS1,0.0,0.0,-0.0,8
YWPS2,-7.531380753138075,0.0,7.531380753138075,14
YWPS3,0.0,0.0,-0.0,14
YWPS4,-14.26255230125523,0.0,14.26255230125523,14
