scope,DUID,contraction_contribution_rows,contraction_onsets,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_abs_impact_mw_observations,contraction_mean_positive_tightening_mw,contraction_positive_share,contraction_rank
overall,ORABESS1,153,47,5386.660846573743,18.11714285714286,5404.777989430886,35.20693363773688,0.11764705882352941,142
overall,BODWF1,867,301,5303.507538859406,5198.309787794086,10501.817326653492,6.117079052894355,0.45098039215686275,143
overall,BALDHWF1,2932,1112,5026.733494791761,3715.4784213317994,8742.21191612356,1.7144384361499865,0.45736698499317874,144
overall,GOESF1,770,270,4990.10949197818,4956.245369485154,9946.354861463333,6.48066167789374,0.18961038961038962,145
overall,MANSLR1,2478,737,4238.859307323735,2535.4471515569394,6774.306458880675,1.71059697632112,0.304681194511703,146
overall,NYNGAN1,867,301,4203.281070704526,3904.595989479274,8107.8770601838005,4.848075052715717,0.3806228373702422,147
overall,ER01,398,165,3550.367538248942,9080.970702128956,12631.338240377898,8.920521452886788,0.2914572864321608,148
overall,TARALGA1,3860,1091,3544.46656489415,6984.914092207688,10529.380657101838,0.9182555867601425,0.47694300518134713,149
overall,WOODLWN1,4562,1290,3526.3551232082327,2061.077728434615,5587.432851642849,0.7729844636580957,0.4059622972380535,150
overall,TALWA1,299,86,3433.123665283156,736.1991928981367,4169.322858181293,11.482018947435304,0.1505016722408027,151
overall,MOLNGSF1,2474,736,3256.4371091256626,2036.1289029285817,5292.566012054244,1.316263989137293,0.3379143088116411,152
overall,VP5,398,165,3208.53525282026,6072.549803839738,9281.085056659998,8.06164636387,0.14824120603015076,153
overall,VP6,398,165,3042.5811953565117,8732.59544602656,11775.176641383072,7.644676370242491,0.15577889447236182,154
overall,BERYLSF1,867,301,2997.7265804885055,2354.9140423717163,5352.640622860222,3.4575854446234207,0.3102652825836217,155
overall,WKIEWA1,3619,1358,2941.6339230795943,1239.4475744468537,4181.0814975264475,0.812830594937716,0.08317214700193423,156
overall,ER02,398,165,2863.2101845731213,7435.135773448106,10298.345958021226,7.193995438625933,0.19095477386934673,157
overall,ERB01,91,28,2836.5489856424574,5302.987991009353,8139.536976651811,31.17086797409294,0.12087912087912088,158
overall,NPS,1807,616,2394.579836553608,3391.8046761499486,5786.3845127035565,1.3251686975946917,0.026009961261759824,159
overall,GULLRSF1,5769,1607,2343.1851533938116,1552.10516741208,3895.290320805892,0.40616833998852686,0.3763217195354481,160
