DUID,contribution_rows,total_abs_impact_mw_observations,mean_abs_bound_impact_mw,p95_abs_bound_impact_mw,total_tightening_mw_observations,total_relief_mw_observations,contraction_contribution_rows,reversal_contribution_rows,forced_contribution_rows,contraction_onsets,forced_onsets,contraction_abs_impact_mw_observations,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_positive_rows,active_months,active_constraint_versions,limit_move_spearman,flow_move_spearman,top_contributor_intervals,equation_versions,factor_min,factor_max,sensitivity_min,sensitivity_mean,sensitivity_max,sensitivity_abs_max,overall_rank,contraction_positive_share,contraction_mean_positive_tightening_mw,contraction_rank,reversal_rank,forced_rank
HILLSTN1,155420,1817309.6397202394,13.012886766790665,469.32142857142856,960611.9300118212,856697.7097084182,9910,8227,27134,3787,3470,302875.7447381598,220669.48303042157,82206.26170773822,4722,24.0,80.0,0.20232066638892052,0.13324152434288328,2878.0,14787,-1.0,1.0,-13.404825737265416,-0.7378886192172849,5.874895046179681,13.404825737265416,17,0.47648839556004036,22.26735449348351,18,25,18
WLWLSF1,187273,1657728.7046639968,11.012246382352918,194.56397254920225,853487.3815252433,804241.3231387535,9391,10131,23738,3034,2719,229368.49126922383,150530.88100355046,78837.61026567339,3871,24.0,52.0,0.11865064106771007,0.12468751856723456,2312.0,10378,-1.0,1.0,-2.527415143603133,-0.8795128315641018,7.39630562552477,7.39630562552477,18,0.412203173250985,16.029270685076185,27,22,30
WLWLSF2,187273,1624772.0255526525,10.728623399440732,195.83705285106385,836765.9898680054,788006.035684647,9391,10131,23738,3034,2719,224179.45905046904,146697.25452185064,77482.20452861841,3882,24.0,52.0,0.11611776528244,0.12557423851818597,2714.0,10378,-1.0,1.0,-2.527415143603133,-0.8795128315641018,7.39630562552477,7.39630562552477,19,0.41337450750718774,15.621047228394275,29,22,30
MOORAWF1,87875,1624070.9919905462,92.65791194560035,1684.1081735849057,934594.123346727,689476.8686438192,4224,3618,4817,1568,515,388296.47677755356,268842.54814059,119453.92863696357,2174,24.0,65.0,0.05655385458201506,0.09141607875728877,3322.0,4084,-0.9801,1.0,-6.872881355932204,0.2875688264954369,13.297872340425531,13.297872340425531,20,0.5146780303030303,63.646436586313925,13,78,92
FINLYSF1,342361,1554076.4260193831,4.8800981932385215,105.70226335638297,784670.3341865211,769406.0918328619,14452,17262,31022,5007,3781,203674.02263174433,139272.83214162997,64401.190490114364,5652,24.0,78.0,0.12448850220053831,0.0965528551279284,2859.0,14443,-1.0,1.0,-6.705141657922351,-0.7891278366939867,6.478589420654911,6.705141657922351,21,0.3910877387212843,9.636924449323967,33,10,12
BROKENH1,360480,1487150.4934666457,4.2851143995282275,56.078731469682715,799121.4745404168,688029.0189262289,18628,18193,37484,6708,4892,257700.87315061412,170048.1991610133,87652.67398960082,7521,24.0,101.0,0.16470149053195987,0.10461445157924444,3122.0,18276,-1.0,1.0,-11.337868480725623,-0.8945102987600286,12.391573729863694,12.391573729863694,22,0.40374704745544343,9.128634268896999,26,1,1
RESS1,237045,1479180.2129858402,8.976423006958774,331.2850517142857,776294.7407819049,702885.4722039351,14112,14053,31724,5287,4230,169240.50406538782,97471.06195379303,71769.44211159476,2551,23.0,64.0,0.036308292433786506,-0.014709709885863372,6381.0,12888,-1.0,1.0,-13.404825737265416,-0.7898224294820355,5.874895046179681,13.404825737265416,23,0.18076814058956917,6.906963006929779,42,15,9
BULGANA1,151952,1385036.3133797182,10.341621699741403,200.3858952830188,714047.3922599308,670988.9211197874,8904,6030,10315,3614,1825,232989.69218081114,135032.18262570948,97957.50955510164,3752,24.0,69.0,0.08654316256360921,0.06057388522924916,3608.0,4862,-0.969,0.9159,-10.34013605442177,0.1332901299772587,11.67483870967742,11.67483870967742,24,0.42138364779874216,15.165339468296214,34,37,44
SNOWYP,258288,1336709.2668615896,5.5091189824436215,189.0758655804481,712692.7512890653,624016.5155725243,9261,12348,14043,2829,1787,76775.83840625,63140.80620107025,13635.032205179756,407,24.0,46.0,0.08960290290486791,0.04339252747287049,11838.0,11290,-1.0,1.0,-6.410256410256411,0.8400851852118686,2.0876826722338206,6.410256410256411,25,0.043947737825288845,6.817925299759232,56,19,37
KARSF1,154253,1297016.4097467253,28.219319427802656,499.01557711038964,782320.2756446375,514696.1341020878,10074,7609,18890,4206,2752,374399.8941809393,259010.2742568751,115389.6199240642,3617,24.0,79.0,-0.05749383762462837,-0.0527971605600939,476.0,6823,-1.0,1.0,-10.34013605442177,0.10717826834323388,9.433962264150944,10.34013605442177,26,0.3590430811991265,25.710767744379105,15,26,34
KESSB1,110296,1237812.6277364066,35.36108321536392,757.781222264151,729320.7302827152,508491.89745369146,5913,4348,5018,2364,908,274103.6011510099,201028.96285155768,73074.63829945218,994,20.0,76.0,0.10569239043618538,0.06064635488862272,4837.0,4652,-1.0,0.975,-10.34013605442177,0.037460352233695995,11.363636363636365,11.363636363636365,27,0.16810417723659732,33.99779517191911,21,61,85
MERCER01,87900,1236381.287075181,76.31170041785911,1398.1192452830187,680177.457367705,556203.8297074761,4227,3618,4842,1570,515,366588.36209880863,224059.08667697347,142529.2754218352,2014,24.0,65.0,0.00881275928478401,0.07108711236033487,1001.0,4088,-0.9801,1.0,-6.872881355932204,0.28962041542197997,13.297872340425531,13.297872340425531,28,0.4764608469363615,53.00664458882741,17,78,86
