scope,DUID,contraction_contribution_rows,contraction_onsets,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_abs_impact_mw_observations,contraction_mean_positive_tightening_mw,contraction_positive_share,contraction_rank
lower,RESS1L,25,8,712.0457142857143,128.73142857142858,840.7771428571428,28.481828571428572,0.2,165
lower,WANDB1,135,47,666.3236474144587,407.7382348781787,1074.0618822926374,4.935730721588583,0.18518518518518517,166
lower,MARYRSF1,135,47,583.463106089735,263.39255486486485,846.8556609545999,4.321948933998037,0.5111111111111111,167
lower,DULAWF1,135,47,570.9163321921183,499.7809839352114,1070.6973161273297,4.229009868089765,0.4444444444444444,168
lower,BLOWERNG,678,235,567.5235723746453,221.7343849261307,789.257957300776,0.8370554164817776,0.016224188790560472,169
lower,TARONG#4,134,47,550.24023908867,3109.536685076927,3659.776924165597,4.106270440960224,0.20149253731343283,170
lower,BRAEMAR1,135,47,523.8262714285714,1467.7287942857142,1991.5550657142858,3.880194603174603,0.1111111111111111,171
lower,OAKEY1SF,135,47,509.36709980542264,187.50471000000002,696.8718098054226,3.7730896281883157,0.6296296296296297,172
lower,TARONG#3,134,47,472.486665,2939.3738037422845,3411.8604687422844,3.5260198880597016,0.15671641791044777,173
lower,RESS1G,25,8,450.56000000000006,0.0,450.56000000000006,18.0224,0.08,174
lower,MCINTYR1,135,47,408.18792106348593,754.8224125282918,1163.0103335917777,3.023614230099896,0.2962962962962963,175
lower,GREENB1,40,17,367.7086939155904,629.1462022236719,996.8548961392623,9.19271734788976,0.05,176
lower,MPP_1,135,47,356.63587147783255,1613.2081473569099,1969.8440188347424,2.641747196132093,0.2074074074074074,177
lower,HUMENSW,678,235,295.9060473034964,641.1879456530296,937.093992956526,0.43643959779276753,0.11356932153392331,178
lower,KINGASF1,134,47,270.0381991557449,144.1154853497537,414.15368450549863,2.0152104414607828,0.4925373134328358,179
lower,BRAEMAR5,135,47,254.64499,1027.0951614285714,1281.7401514285714,1.8862591851851853,0.014814814814814815,180
lower,OAKEY2,135,47,225.8234238423645,819.3947240886699,1045.2181479310343,1.6727661025360332,0.05185185185185185,181
lower,MPP_2,135,47,187.80673483660132,1468.5961618170682,1656.4028966536694,1.3911609987896394,0.16296296296296298,182
lower,SWAN_E,135,47,147.6847290640394,995.5672755075823,1143.2520045716217,1.0939609560299215,0.037037037037037035,183
lower,WDBESSG1,95,30,129.68422,386.08993,515.77415,1.365097052631579,0.031578947368421054,184
lower,BRAEMAR6,135,47,110.32111,1579.1816047258687,1689.5027147258686,0.8171934074074074,0.022222222222222223,185
lower,ULPBESS1,24,10,103.91133004926107,41.38556433497536,145.29689438423642,4.329638752052545,0.125,186
lower,OAKEY1,135,47,93.07105,814.2580300000001,907.32908,0.6894151851851852,0.022222222222222223,187
lower,CPSA,135,47,79.63,976.3762690297499,1056.0062690297498,0.5898518518518518,0.05925925925925926,188
lower,MUCRKSF1,5,2,75.74040000000001,0.0,75.74040000000001,15.148080000000002,1.0,189
lower,DDPS1,135,47,66.84248342364532,4582.568316288243,4649.410799711889,0.49512950684181717,0.02962962962962963,190
lower,BRAEMAR2,135,47,34.0,1655.3319385714285,1689.3319385714285,0.2518518518518518,0.037037037037037035,191
lower,TARONG#2,134,47,28.315368412887743,87.2129406161896,115.52830902907733,0.21130871949916227,0.03731343283582089,192
lower,HEZ1,3469,1340,23.98764533854011,86.98285741205672,110.97050275059684,0.006914858846509111,0.0017296050735082155,193
lower,W/HOE#1,134,47,20.985221674876843,1481.0477008374385,1502.0329225123153,0.156606131902066,0.014925373134328358,194
lower,W/HOE#2,134,47,20.797789426361334,1950.8116575337506,1971.6094469601119,0.15520738377881593,0.029850746268656716,195
lower,ROMA_8,135,47,17.0,71.71511000000001,88.71511000000001,0.1259259259259259,0.022222222222222223,196
lower,TARONG#1,134,47,15.034477108374372,298.2758613891626,313.31033849753703,0.11219759036100277,0.022388059701492536,197
lower,BRAEMAR7,135,47,10.0,1748.52475,1758.52475,0.07407407407407407,0.007407407407407408,198
lower,CLRKCWF2,5,2,9.282623705408506,61.77640966628305,71.05903337169156,1.8565247410817012,0.2,199
lower,ROMA_7,135,47,9.0,61.43416,70.43415999999999,0.06666666666666667,0.014814814814814815,200
lower,QPSFB1,5,3,0.9046027941176471,0.0,0.9046027941176471,0.18092055882352942,0.6,201
lower,WAMBOWF1,14,4,0.16300000000000026,20.458486486486485,20.621486486486486,0.011642857142857161,0.07142857142857142,202
lower,ALDGASF1,5,2,0.0,6712.126904487916,6712.126904487916,0.0,0.0,203
lower,BARRON-1,108,36,0.0,0.0,0.0,0.0,0.0,203
lower,BARRON-2,108,36,0.0,0.0,0.0,0.0,0.0,203
lower,BRAEMAR3,135,47,0.0,381.42857142857144,381.42857142857144,0.0,0.0,203
lower,CALL_B_1,108,36,0.0,0.0,0.0,0.0,0.0,203
lower,CAPBES1G,25,8,0.0,0.0,0.0,0.0,0.0,203
lower,CAPBES1L,25,8,0.0,0.0,0.0,0.0,0.0,203
lower,CHBESSG1,95,30,0.0,0.0,0.0,0.0,0.0,203
lower,CHBESSL1,95,30,0.0,0.0,0.0,0.0,0.0,203
lower,GUSF1,9,2,0.0,0.0,0.0,0.0,0.0,203
lower,HUNTER1,275,86,0.0,0.0,0.0,0.0,0.0,203
lower,HUNTER2,275,86,0.0,0.0,0.0,0.0,0.0,203
lower,KPP_1,135,47,0.0,361.4890716025829,361.4890716025829,0.0,0.0,203
lower,MULWASF1,2,2,0.0,0.0,0.0,0.0,0.0,203
lower,PUMP1,26,11,0.0,0.0,0.0,0.0,0.0,203
