scope,DUID,contraction_contribution_rows,contraction_onsets,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_abs_impact_mw_observations,contraction_mean_positive_tightening_mw,contraction_positive_share,contraction_rank
lower,LYA4,408,143,10090.141388275293,1614.8782801102598,11705.019668385554,24.730738696753168,0.33578431372549017,57
lower,LOYYB2,408,143,9756.209177000314,4798.650017625048,14554.859194625362,23.912277394608612,0.3897058823529412,58
lower,LKBONNY1,2855,1131,9497.802996671504,3090.5522752062006,12588.355271877703,3.3267260934050804,0.5134851138353765,59
lower,MORTLK11,1699,579,9201.279282496005,2215.398905929299,11416.678188425305,5.415702932605065,0.04414361389052384,60
lower,LOYYB1,408,143,9127.946343750158,4878.586940401626,14006.533284151785,22.372417509191564,0.41421568627450983,61
lower,WUNUSF1,3205,1321,8938.55011089701,9303.864845948405,18242.414956845412,2.7889391921675535,0.25023400936037443,62
lower,GLENSF1,3571,1457,8677.73971104796,12734.102365219112,21411.842076267072,2.4300587261405657,0.330999719966396,63
lower,OAKLAND1,1273,438,8582.031089300293,8015.758214663948,16597.78930396424,6.74157980306386,0.40298507462686567,64
lower,MTGELWF1,1253,432,8047.8426325856435,6502.730542276209,14550.573174861853,6.422859243883195,0.44533120510774143,65
lower,LYA2,408,143,7538.953070707126,1397.838371352389,8936.791442059513,18.477826153693936,0.27205882352941174,66
lower,MREHA3,633,211,7286.7225048608625,6192.713670763984,13479.436175624844,11.511409960285723,0.2132701421800948,67
lower,WINTSF1,3571,1457,6551.572954556635,9534.39171446312,16085.964669019755,1.8346605865462433,0.3007560907308877,68
lower,RANGEB1,293,103,5919.2637231404715,1275.29091343004,7194.554636570512,20.20226526669103,0.22184300341296928,69
lower,DUNDWF2,1699,579,5691.20638568398,2367.3519384379138,8058.558324121894,3.349738896812231,0.42024720423778694,70
lower,HBESS1,410,145,5623.144227368784,1806.9401377866432,7430.084365155427,13.714985920411669,0.1926829268292683,71
lower,RIVNB2,2531,1099,5177.402231205961,5794.219336772755,10971.621567978716,2.0455955081809405,0.14737258000790202,72
lower,MORTLK12,1699,579,4829.001522835337,1919.6316952725324,6748.633218107869,2.84226104934393,0.034137728075338436,73
lower,LVES1,268,99,4502.400273085732,1312.375956427792,5814.7762295135235,16.800001018976612,0.24253731343283583,74
lower,LKBONNY3,2855,1131,4461.96791790167,1564.1468904652347,6026.114808366905,1.5628609169532997,0.5089316987740805,75
lower,MREHA2,662,228,4388.899592202698,2970.741267603622,7359.64085980632,6.629757692149091,0.2537764350453172,76
lower,MREHA1,662,228,4386.247690374026,2976.4355656222765,7362.683255996301,6.625751798148076,0.24924471299093656,77
lower,RESS1,2416,1062,4302.589925180505,4285.927793497366,8588.517718677871,1.780873313402527,0.15811258278145696,78
lower,BALB1,1274,439,4185.061577788019,3686.856781072688,7871.9183588607075,3.2849776905714436,0.08634222919937205,79
lower,HPR1,2164,841,3989.382628983262,1465.900029941594,5455.282658924856,1.8435224718037255,0.3946395563770795,80
lower,CNUNDAWF,2734,1083,3774.674731342926,1669.7036150461151,5444.378346389041,1.3806418183404996,0.5018288222384785,81
lower,TB2SF1,1427,568,3551.5275672068383,801.8323835358152,4353.359950742653,2.4888069847279874,0.5192711983181499,82
lower,TBSF1,1427,568,3538.0340795303127,858.1187253054447,4396.152804835757,2.479351141927339,0.5045550105115627,83
lower,MOKOSF1,3175,1305,3060.976414191183,3193.6300136287614,6254.606427819944,0.9640870595877741,0.17984251968503936,84
lower,LBB1,2734,1083,2990.168145818144,2993.4182009913875,5983.586346809531,1.0936972003724008,0.09948792977322604,85
lower,GSWF1A,2167,844,2796.791386264492,1768.9522897740003,4565.743676038492,1.2906282354704623,0.5196123673281033,86
lower,GSWF1B1,2167,844,2541.7712194944393,2052.090072118522,4593.861291612961,1.1729447251935576,0.46469773880941395,87
lower,DPNTB1,2531,1099,1998.228279247677,2291.646872838463,4289.87515208614,0.7895014931835942,0.13868036349269064,88
lower,MCKAY1,497,173,1940.2248022054932,0.0999,1940.3247022054932,3.903872841459745,0.052313883299798795,89
lower,TRGBESS1,527,173,1778.062281460066,568.3862342414882,2346.4485157015542,3.3739322228843758,0.04743833017077799,90
lower,TB2B1,1404,562,1656.4110384326198,1049.352776076428,2705.7638145090477,1.1797799419035753,0.12037037037037036,91
lower,BALDHWF1,410,145,1599.5911313384704,1519.851815719538,3119.442947058009,3.9014417837523667,0.4609756097560976,92
lower,LADBROK1,2733,1082,1536.1492525699998,4336.790494066882,5872.939746636883,0.562074369765825,0.04207830223197951,93
lower,VBBL1,100,31,1452.5098554533508,583.5900131406045,2036.0998685939553,14.525098554533509,0.29,94
lower,VBBG1,100,31,1452.2249480157689,392.8054469382392,1845.030394954008,14.522249480157688,0.24,95
lower,AGLHAL,2164,841,1229.4415611153183,356.48056014023734,1585.9221212555556,0.5681338082787978,0.09658040665434381,96
lower,LADBROK2,2733,1082,1224.24572257,2700.7509255663426,3924.996648136343,0.4479494045261617,0.03951701427003293,97
lower,NBHWF1,2164,841,1121.8648616199998,868.7980497116916,1990.6629113316917,0.5184218399353049,0.3646025878003697,98
lower,HALLWF1,2164,841,1009.8721630905671,714.6852766724126,1724.5574397629798,0.4666692066037741,0.38493530499075784,99
lower,WGWF1,2164,841,979.0197683173633,1049.4477513199029,2028.4675196372664,0.4524120925680976,0.4602587800369686,100
lower,BLYTHB1,13,7,953.1419180347599,0.0,953.1419180347599,73.31860907959691,0.38461538461538464,101
lower,PAREPW1,1076,413,916.0490035055658,783.7423421347702,1699.791345640336,0.8513466575330537,0.4275092936802974,102
lower,HDWF3,2164,841,889.7352377,776.0282838661602,1665.7635215661603,0.4111530673290203,0.4542513863216266,103
lower,HALLWF2,2167,844,886.3633006390997,655.5183944751889,1541.8816951142885,0.4090278267831563,0.3977849561605907,104
lower,GOESF1,962,393,881.6824672550816,2499.630497755078,3381.31296501016,0.9165098412214986,0.0997920997920998,105
lower,YWPS1,357,126,845.7514893260266,38.184859690531916,883.9363490165586,2.369051790829206,0.07282913165266107,106
lower,HDWF2,2164,841,826.64555825,728.470993309832,1555.116551559832,0.38199887164972274,0.43253234750462105,107
lower,HDWF1,2164,841,825.9678855426637,697.8764984411272,1523.8443839837907,0.3816857142064065,0.44593345656192235,108
lower,DARTM1,497,173,727.9419266460854,1282.6011820187293,2010.5431086648146,1.4646718845997695,0.028169014084507043,109
lower,YWPS2,296,104,633.0017446439487,41.876910687246585,674.8786553311952,2.1385194075809077,0.10810810810810811,110
lower,YWPS4,296,104,615.67730928724,42.72360362680685,658.4009129140469,2.079990909754189,0.15202702702702703,111
lower,BNGSF1,1076,413,488.2857923190364,1912.186923657202,2400.4727159762388,0.45379720475746876,0.13197026022304834,112
lower,BNGSF2,1076,413,480.91875613692616,1788.5566490359586,2269.4754051728846,0.44695051685587933,0.1496282527881041,113
lower,WKIEWA2,431,153,461.57160470182686,259.37026503172353,720.9418697335504,1.0709317974520345,0.10208816705336426,114
lower,BLUFF1,2164,841,432.4061434858465,391.37155309,823.7776965758464,0.1998179960655483,0.3567467652495379,115
lower,LGAPWF2,1076,413,423.3743232809924,280.17000896368273,703.5443322446752,0.3934705606700673,0.46096654275092935,116
lower,YWPS3,296,104,399.0160515754522,73.73609735608748,472.75214893153964,1.3480272012684196,0.05067567567567568,117
lower,WATERLWF,1076,413,397.36806408355983,370.8456473381772,768.213711421737,0.36930117479884744,0.47862453531598514,118
lower,LGAPWF1,1076,413,355.38617121275087,203.331129504608,558.7173007173589,0.3302845457367573,0.44981412639405205,119
lower,SNOWTWN1,1076,413,338.68531956464295,223.4967432893242,562.1820628539672,0.31476330814557896,0.38661710037174724,120
lower,PIBESS1,410,145,290.8634884927023,144.76431899212838,435.62780748483067,0.7094231426651275,0.22195121951219512,121
lower,WPWF,1076,413,279.7566063870429,239.39901214611396,519.1556185331568,0.2599968460846124,0.42193308550185876,122
lower,CHYTWF1,277,99,275.80104538232183,231.65183744506248,507.4528828273843,0.9956716439795011,0.5054151624548736,123
lower,LANCSF1,527,173,267.80700323653986,212.14836799076213,479.95537122730195,0.5081726816632635,0.11954459203036052,124
lower,NPS,824,279,255.09595868331647,1790.9826223622981,2046.0785810456146,0.3095824741302384,0.00849514563106796,125
lower,RESS1L,317,113,253.74229223616416,337.4341128139535,591.1764050501176,0.8004488714074579,0.10094637223974763,126
lower,CATHROCK,1076,413,253.6415228372436,159.60604183260136,413.24756466984496,0.23572632233944574,0.47769516728624534,127
lower,PAREPS1,1076,413,248.44328610799246,817.6630114287047,1066.1062975366972,0.23089524731226066,0.13568773234200743,128
lower,MTMILLAR,1076,413,209.516703200712,165.89668321078958,375.41338641150156,0.19471812565121932,0.4758364312267658,129
lower,WKIEWA1,497,173,170.05220820241976,433.95215422308326,604.004362425503,0.342157360568249,0.056338028169014086,130
lower,BULBESL1,143,51,150.61215799728512,115.46075879610633,266.0729167933914,1.053231874106889,0.04195804195804196,131
lower,PPCCGT,13,7,149.18454616338047,0.0,149.18454616338047,11.475734320260036,0.7692307692307693,132
lower,CLEMGPWF,1076,413,138.84136850461167,129.43003384903426,268.2714023536459,0.12903472909350527,0.3076208178438662,133
lower,RESS1G,317,113,135.81461968645908,10.346794093817804,146.16141378027686,0.428437286077158,0.056782334384858045,134
lower,EILDON1,278,98,123.0231594325981,283.2629864715848,406.2861459041829,0.4425293504769716,0.03597122302158273,135
lower,EILDON2,278,98,116.79261349036896,313.12546093437334,429.9180744247423,0.4201173147135574,0.039568345323741004,136
lower,DALNTH1,1076,413,89.48678403798715,35.24783427566343,124.73461831365059,0.08316615616913303,0.18773234200743494,137
lower,MBPS2PV1,1086,419,70.91650952687036,14.5386565466943,85.45516607356465,0.06530065333965963,0.5303867403314917,138
lower,SNAPPER1,13,7,59.01079028956493,0.0,59.01079028956493,4.539291560735764,0.46153846153846156,139
lower,JLB03,408,143,51.23325526932085,51.37442074841796,102.6076760177388,0.12557170409147267,0.014705882352941176,140
lower,MANNSF2,23,13,50.951877123721566,8.059024352331607,59.01090147605317,2.2152990053791983,0.43478260869565216,141
lower,MANNUMB1,18,10,38.2730455075846,49.46062567421791,87.7336711818025,2.126280305976922,0.05555555555555555,142
lower,JLA02,408,143,35.45744680851064,45.27423513877124,80.73168194728188,0.0869055068836045,0.012254901960784314,143
lower,MWPS2PV1,2164,841,33.081127801454265,96.0059149507254,129.08704275217966,0.015287027634683117,0.16312384473197783,144
lower,MWPS4PV1,2164,841,31.74676763354216,81.12364728,112.87041491354216,0.014670410181858669,0.16543438077634012,145
lower,AVLSF1,186,62,31.540061408144638,128.547008966651,160.08707037479562,0.16957022262443353,0.11290322580645161,146
lower,LBBG1,23,6,29.4,22.2,51.599999999999994,1.2782608695652173,0.13043478260869565,147
lower,MWPS1PV1,2164,841,27.967568220784518,92.74601362000001,120.71358184078451,0.012924014889456801,0.15157116451016636,148
lower,MWPS3PV1,2164,841,25.254880146113,52.17490191621762,77.42978206233062,0.011670462174728743,0.17513863216266173,149
lower,AGLSOM,280,100,24.776902887139105,17.357174974642113,42.13407786178122,0.08848893888263966,0.007142857142857143,150
lower,JLB01,408,143,15.042553191489363,17.13776595744681,32.18031914893617,0.036869002920317064,0.004901960784313725,151
lower,LNGS1,832,281,14.973404255319148,455.73656331694497,470.7099675722641,0.017996880114566283,0.001201923076923077,152
lower,LNGS2,832,281,14.810748164893607,0.0,14.810748164893607,0.017801380005881738,0.002403846153846154,153
lower,ADPPV1,13,7,14.45531831729821,2.3378279792746115,16.79314629657282,1.111947562869093,0.6153846153846154,154
lower,MINTARO,1076,413,13.886,3.9725683600000004,17.85856836,0.012905204460966543,0.0037174721189591076,155
lower,JLA01,408,143,11.281914893617023,0.8058510638297873,12.08776595744681,0.0276517521902378,0.007352941176470588,156
lower,JLA03,408,143,11.281914893617023,35.059239374159155,46.341154267776176,0.0276517521902378,0.007352941176470588,156
lower,MAPS2PV1,23,13,10.125363723018939,4.193224265095132,14.318587988114071,0.4402332053486495,0.5652173913043478,158
lower,MAPS3PV1,23,13,8.844490613932724,0.5755815209218808,9.420072134854603,0.384543070170988,0.5217391304347826,159
lower,ADPBA1,13,7,7.988279088485337,10.258829385582246,18.24710847406758,0.6144830068065643,0.15384615384615385,160
lower,HVWWBA1,13,7,4.636461704422869,4.957852106725499,9.594313811148368,0.3566509003402207,0.15384615384615385,161
lower,STARHLWF,13,7,4.553513096373895,0.6305297451358491,5.1840428415097435,0.35027023818260733,0.6153846153846154,162
