CONSTRAINTID,version_key,direction,EFFECTIVEDATE,VERSIONNO,ic_factor,LIMITTYPE,DESCRIPTION,applicable_intervals,binding_intervals,near_binding_intervals,near_setting_intervals,leading_intervals,mean_abs_marginal_value,min_ic_slack_mw,median_ic_slack_mw,constraint_sets,invoked_sets
I_6F_NS_150,I_6F_NS_150|2026-02-27 00:00:00|1,upper,2026-02-27,1,0.999,Discretionary,Discretionary limit of 150 MW on Buronga to Bundey (6F) 330 kV Line (NSW to SA),27923,776,1071,5471,4437,1.1929936326629036,-2.0020019969474328e-05,546.1352152152152,"I-6F_NS_150, N-NIL",
VS_HEY_600_TEST,VS_HEY_600_TEST|2026-07-04 00:00:00|1,upper,2026-07-04,1,1.0,Other,"Out = Nil, Vic to SA on Heywood limit of 600 MW, limit for testing of Heywood interconnection upgrade",16703,2107,2416,5510,4111,4.890176157855068,-1.0000000088439265e-05,569.7137325,I-VS_HEY_600_TEST,I-VS_HEY_600_TEST
V:S_BDBU_700,V:S_BDBU_700|2024-09-25 00:00:00|1,upper,2024-09-25,1,1.0,Oscillatory Stability,"Out = Bundey to Buronga 330kV (Note: with both Black Range series capacitors I/S), VIC to SA to on Heywood upper transfer limit of 700 MW based on oscillatory stability.",42531,0,0,9106,4071,0.0,100.0,740.0023799999999,I-BDBU_ONE,I-BDBU_ONE
VS_600_TEST,VS_600_TEST|2026-03-13 00:00:00|1,upper,2026-03-13,1,1.0,Other,"Out = Nil, Vic to SA on Heywood limit of 600 MW, limit for testing of Heywood interconnection upgrade",13615,2192,2562,4987,4010,9.52752901495375,-1.0000000088439265e-05,388.50363,S-NIL,
I_6F_SN_150,I_6F_SN_150|2026-01-29 00:00:00|1,lower,2026-01-29,1,-1.0,Discretionary,Discretionary limit of 150 MW on Bundey to Buronga (6F) 330 kV Line (SA to NSW),8373,228,410,4146,3920,963.7308471500896,-1.0000000031595846e-05,522.57766,"I-6F_SN_150, N-NIL",
V^^V_BDBU_SWVIC,V^^V_BDBU_SWVIC|2024-09-25 00:00:00|1,lower,2024-09-25,1,-1.0,Voltage Stability,"Out = Bundey to Buronga (6F) 330kV line, manage flow towards Moorabool across Haunted Gully to Cressy and Mortlake to Cressy 500kV lines to avoid voltage instability for the loss of Haunted Gully to Cressy 500kV line and both APD potlines ",37204,867,1586,4810,3337,4.13103809612742,-1.0000000202126103e-05,972.110365,I-BDBU_ONE,I-BDBU_ONE
V^^V_NIL_KGTS,V^^V_NIL_KGTS|2024-10-31 00:00:00|1,lower,2024-10-31,1,-0.215,Voltage Stability,"Out= Nil, avoid voltage collapse for loss of Horsham - Murra Warra - Kiamal 220kV line. Murraylink VFRB disabled. Swamp if Murraylink VFRB enabled.",14346,159,333,3589,3166,1.7118372503043087,-4.6511628053934166e-05,47061.43013953489,V-NIL,
V^^V_NIL_KGTS,V^^V_NIL_KGTS|2025-03-31 00:00:00|1,lower,2025-03-31,1,-0.237,Voltage Stability,"Out= Nil, avoid voltage collapse for loss of Horsham - Murra Warra - Kiamal 220kV line. Murraylink VFRB disabled. Swamp if Murraylink VFRB enabled.",58446,1189,1192,3492,3124,4.155207952267265,-8.438818592064005e-05,4331.44700421941,V-NIL,
VS_HEY_600_TEST,VS_HEY_600_TEST|2026-04-29 00:00:00|1,upper,2026-04-29,1,1.0,Other,"Out = Nil, Vic to SA on Heywood limit of 600 MW, limit for testing of Heywood interconnection upgrade",19130,1036,1304,3822,3013,2.4268033402795157,-1.0000000088439265e-05,622.60828,I-VS_HEY_600_TEST,I-VS_HEY_600_TEST
V:S_700,V:S_700|2024-10-31 00:00:00|1,upper,2024-10-31,1,1.0,Oscillatory Stability,"Out = NIL (Note: with both Black Range series capacitors I/S), VIC to SA to on Heywood upper transfer limit of 700 MW based on oscillatory stability.",114276,59,246,6273,2835,0.4502160359591484,-1.0000000088439265e-05,938.91469,S-NIL,
V::S_BDBU_MAXG_1,V::S_BDBU_MAXG_1|2024-12-05 00:00:00|1,upper,2024-12-05,1,1.0,Transient Stability,Out = Bundey to Buronga 330kV(Both Black Range series capacitors I/S); Vic to SA Transient Stability limit for loss of the largest generation block in SA (Both  South East Capacitor Available).,17187,365,508,3791,2824,2.950132911124077,-1.0000000088439265e-05,550.64656,I-BDBU_ONE,I-BDBU_ONE
I_6F_NS_150,I_6F_NS_150|2026-07-04 00:00:00|1,upper,2026-07-04,1,0.999,Discretionary,Discretionary limit of 150 MW on Buronga to Bundey (6F) 330 kV Line (NSW to SA),16703,452,640,3206,2727,2.182638795737062,-1.0010010098537802e-05,602.5797372372373,"I-6F_NS_150, N-NIL",
