DUID,net_mw,tightening_mw,relief_mw,events
GUTHEGA,453.5832220449601,546.9429750857142,93.35975304075416,14
CLRKCWF2,-103.09290958328823,545.2105056797318,648.30341526302,16
COLUMSF1,66.8686382041072,542.7565337723706,475.8878955682634,27
FLYCRKWF,246.15542061848387,537.5420707205726,291.38665010208877,21
STUBSF2,94.43405161642083,526.1724962311413,431.7384446147205,17
BW03,84.21404228635313,519.9979215038136,435.7838792174605,21
TARBESS1,346.8705882352941,515.8588235294118,168.98823529411766,14
KAREEYA1,256.2788350009537,513.8744035660948,257.5955685651411,27
STUBSF1,29.46765026096732,513.7062998537834,484.23864959281616,17
COLEASF1,-843.0586899005267,482.3193970920189,1325.3780869925454,14
BOCORWF1,347.4889262277957,456.1049487889777,108.61602256118205,14
JEMALNG1,49.7626755326567,450.5549334064336,400.7922578737768,19
BLUEGSF1,46.142488473334886,437.777186208852,391.6346977355171,27
BROKENH1,231.71444638198417,431.5371120510515,199.8226656690673,14
DULAWF1,91.82927631031642,428.5739029742979,336.7446266639814,27
BW01,192.15390452336135,415.5575400563256,223.4036355329643,21
KAREEYA3,102.03598146068016,411.26718770659124,309.23120624591104,27
TARONG#2,150.13687867087074,397.65072585200954,247.51384718113883,27
TARONG#4,71.54247431040596,382.25442622229855,310.7119519118926,27
GSTONE3,-1133.9182072984597,376.34337473171365,1510.2615820301735,27
WRWF1,-57.43139078600653,357.34219106520925,414.7735818512158,33
URANQ14,225.9768740964467,350.75966599898476,124.78279190253808,14
MPP_1,225.48661516046496,343.1241408664964,117.6375257060315,27
WANDB1,-0.49529212834562486,341.89123285325024,342.3865249815959,27
BW02,113.76386236776145,341.34048576020865,227.57662339244717,21
MUCRKSF1,122.33565108349485,337.09839478968644,214.76274370619154,7
WOLARSF1,-465.2443446592143,335.253155988868,800.4975006480823,17
SAPHWF1,31.133645072784848,329.7873347226296,298.65368964984475,36
KPP_1,133.04447191731074,325.23228636124924,192.18781444393844,28
URANQ11,206.54334360000001,323.20000000000005,116.6566564,14
BARRON-1,-42.93423198356494,321.7950988897377,364.7293308733026,27
