season,direction,DUID,contribution_rows,total_abs_impact,mean_abs_impact,p95_abs_impact,total_tightening,total_relief,contraction_rows,reversal_rows,forced_rows,contraction_onsets,forced_onsets,contraction_abs_impact,contraction_tightening,contraction_relief,contraction_positive_rows
Spring,lower,BRYB1WF1,1847,204874.93733120788,92.25393473415875,624.8863223300971,114883.71957010063,89991.21776110725,479,48,1275,189,145,68425.15000044518,45266.36241918284,23158.78758126235,261
Spring,lower,BRYB2WF2,1847,257404.42600107557,115.74374253315796,792.4577753009713,150451.0198004873,106953.40620058826,479,48,1275,189,145,64468.61865282378,43461.07432586379,21007.54432695999,240
Spring,lower,BULBES1,3256,62685.84983528912,16.867049558494763,163.88349514563106,32038.951197042537,30646.898638246585,1102,136,1778,474,330,19924.792833534375,11203.393733766594,8721.399099767781,216
Spring,lower,BULBESG1,390,828.0754716981132,2.1232704402515723,0.0,493.66037735849056,334.4150943396226,141,2,303,51,27,262.75471698113205,119.43396226415094,143.32075471698113,4
Spring,lower,BULBESL1,390,4975.107238742138,12.756685227543944,159.24528301886792,2302.746543899371,2672.3606948427673,141,2,303,51,27,999.6924411320754,764.377358490566,235.31508264150943,6
Spring,lower,BULGANA1,13826,322119.7814876152,21.756702420054353,178.00455853504042,170295.59187735527,151824.1896102599,1314,372,1979,552,370,73562.16957795146,47539.338474918455,26022.831103032997,607
Spring,lower,CAPBES1,23897,44007.547494671,1.8597952204872066,10.585090643999978,21976.311178202,22031.236316469,403,1192,279,146,44,1326.906133968,780.992923165,545.913210803,121
Spring,lower,CNUNDAWF,10,0.0,0.0,0.0,0.0,0.0,2,0,0,2,0,0.0,0.0,0.0,0
Spring,lower,COHUNSF1,3728,17858.34707711311,4.8303963010220246,95.2473396226415,9099.477345558382,8758.869731554729,1188,172,1778,493,330,5863.318504596021,3649.411229249478,2213.907275346543,161
Spring,lower,COLEASF1,48348,185128.04116323526,3.7683446904288687,25.28609292,93552.2016220065,91575.83954122878,1908,2197,1065,624,277,19269.193948667977,11880.420755016412,7388.773193651567,712
Spring,lower,CROOKWF2,46285,28162.737327464325,0.6063211707253748,2.4077062599999994,13858.149841456943,14304.587486007382,1125,2072,514,310,87,1248.5669368,953.840567,294.7263698,581
Spring,lower,CROWLWF1,13826,189674.0533333981,13.062725774277704,82.04069320388327,92123.14503924694,97550.90829415116,1314,372,1979,552,370,41328.15032397773,20414.279426300593,20913.87089767714,563
Spring,lower,CRWARP1,51,0.0,0.0,0.0,0.0,0.0,17,0,0,6,0,0.0,0.0,0.0,0
Spring,lower,CRWASF1,697,7365.300017464627,12.977485291584523,58.87737972696244,4846.198541035266,2519.1014764293604,141,41,4,25,1,2035.887159306616,1453.8669454127808,582.0202138938351,90
Spring,lower,CUSF1,28,1285.781849072165,45.92078032400589,382.9062546185562,1219.4273330584192,66.35451601374571,1,0,0,1,0,153.81599553264604,153.81599553264604,0.0,1
Spring,lower,DARLSF1,47962,342249.80446712446,6.9971398099699895,48.13093374469786,173999.23020422203,168250.57426290243,1909,2169,1064,623,276,36716.531954402766,21873.17114336518,14843.360811037588,743
Spring,lower,DARTM1,1859,10582.430056590261,4.801806977008142,101.00371747211895,5822.6449249671705,4759.78513162309,479,50,1278,189,146,2577.812933823995,1374.1444818210643,1203.668452002931,11
Spring,lower,DPNTB1,24630,39122.6064089066,2.3005562864331774,35.415887500000004,19828.52154363157,19294.084865275032,593,1234,370,181,54,1682.5209592295541,912.920825598124,769.6001336314301,98
Spring,lower,DUNDWF1,2283,141746.34399237356,62.81397827363626,1091.710242718445,81444.1340650001,60302.209927373486,860,108,1105,376,259,56639.36575830668,32251.236073530272,24388.12968477641,336
Spring,lower,DUNDWF2,2283,36324.80314810348,18.419376043248793,172.98810679611648,18677.31857610158,17647.484572001893,860,108,1105,376,259,14010.10749147793,9026.051184429749,4984.05630704818,408
Spring,lower,DUNDWF3,2283,81441.47061762071,41.371437911534784,374.3953786407767,41559.19911906943,39882.27149855128,860,108,1105,376,259,30678.081200756453,19897.388560847703,10780.69263990875,410
Spring,lower,EILDON1,49,0.0,0.0,0.0,0.0,0.0,8,0,0,3,0,0.0,0.0,0.0,0
Spring,lower,EILDON2,49,0.0,0.0,0.0,0.0,0.0,8,0,0,3,0,0.0,0.0,0.0,0
Spring,lower,ELAINWF1,1844,178359.75789063433,83.8630062511236,735.5339805825242,125987.88236909735,52371.87552153697,479,48,1275,189,145,65954.22267897977,57500.8038923514,8453.41878662837,271
Spring,lower,FINLYSF1,46469,141414.0671246146,3.015356705419947,21.188041791999993,71089.74860769113,70324.31851692346,1255,2081,517,331,87,7499.565412380879,4328.9480955834115,3170.6173167974684,428
Spring,lower,GANNB1,3707,33978.88766101913,9.529392184320878,110.35877811320755,15901.761677594131,18077.125983425,1188,171,1778,493,330,13119.832933329295,6443.757151364387,6676.075781964908,141
Spring,lower,GANNSF1,3728,87701.9423894862,22.107399799679087,139.34347722818598,47538.69640071875,40163.24598876745,1188,172,1778,493,330,31135.632976619923,17098.402814417874,14037.23016220205,377
Spring,lower,GESF1,28,66.1153913402062,2.3612639764359358,12.062452783505156,60.27536378006874,5.840027560137457,1,0,0,1,0,0.0,0.0,0.0,0
Spring,lower,GIRGSF,3205,34837.41287716864,10.848838798199495,84.29607490566039,16371.473087876719,18465.939789291922,1078,131,1735,469,325,12072.787341959152,6241.780697756545,5831.006644202608,263
Spring,lower,GLENSF1,3217,46682.54821170785,14.141754433599047,117.77229457776151,24809.719422274295,21872.828789433555,1078,133,1738,469,326,15082.034320962754,8345.85730043819,6736.177020524563,341
Spring,lower,GLRWNSF1,3262,48908.27885963472,14.569624442063562,106.18833946913358,25408.260748804478,23500.018110830242,1104,136,1778,476,330,17021.43433306458,9285.628508373211,7735.805824691368,268
Spring,lower,GOESF1,73,0.0,0.0,0.0,0.0,0.0,25,0,5,9,4,0.0,0.0,0.0,0
Spring,lower,GPWFEST1,880,45177.8290275931,59.77109938219076,1473.5365237068963,24462.265792220285,20715.563235372818,235,22,605,89,75,17439.177689275246,16033.01370668499,1406.1639825902569,63
Spring,lower,GPWFEST2,880,54851.6611407485,71.07854921684202,1557.8642613793102,29208.763193878673,25642.897946869834,235,22,605,89,75,21032.013898824047,18355.07243980842,2676.9414590156252,84
Spring,lower,GPWFEST3,880,26439.806480052695,40.30129863096084,788.4751034482757,15533.813129329083,10905.993350723613,235,22,605,89,75,12062.683801740386,10781.00607376837,1281.6777279720154,51
Spring,lower,GULLRSF1,46285,4094.4775047955513,0.08883412510767148,0.5587889999999992,2059.3344775784954,2035.143027217056,1125,2072,514,310,87,151.5278079766355,105.6171112966355,45.91069668,390
Spring,lower,GULLRWF1,46285,41163.87269795722,0.8971751693592876,3.1257416479999987,20535.184876226653,20628.68782173056,1125,2072,514,310,87,1643.190293427,1224.272318628,418.9179747989999,532
Spring,lower,GULLRWF2,16973,12592.212318777,0.6689812226464328,2.8857913619999995,6083.029596050999,6509.182722726,272,667,201,100,40,324.577898431,240.14740974300003,84.430488688,130
Spring,lower,GUNNING1,46806,16012.179561060626,0.3441978730370958,1.379656,8017.910738465016,7994.26882259561,1224,2108,514,330,87,627.6160394636369,321.5721243844867,306.04391507915017,516
Spring,lower,GUTHEGA,604,1584.2935862724257,2.787929090480622,42.66929128639506,553.3041480601868,1030.989438212239,129,39,0,22,0,622.3933304628689,355.1102796125445,267.2830508503244,26
Spring,lower,HBESS1,267,2538.49109118501,22.09330235724483,128.63014525650559,1371.5582121355494,1166.932879049461,100,2,120,36,20,1163.2393300766817,534.8083841802229,628.4309458964588,26
Spring,lower,HBESSG1,1,0.0,,,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0
Spring,lower,HBESSL1,1,0.0,,,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0
Spring,lower,HD1WF1,2239,129650.49518468374,78.68464305787607,747.368932038835,73665.66000380582,55984.83518087792,834,106,1065,369,255,34196.266188909045,23874.620752397306,10321.645436511739,269
Spring,lower,HILLSTN1,733,9313.598985659773,11.164409141441391,58.758389261744966,3557.184642699565,5756.414342960208,190,42,91,35,10,3251.115557380288,1091.0646755212135,2160.0508818590743,65
Spring,lower,HUMENSW,697,821.9613554308341,1.3339827283476682,15.95979254520514,176.58337290208456,645.3779825287496,141,41,4,25,1,318.8357872108018,120.69949102288993,198.13629618791188,7
Spring,lower,HUMEV,4022,0.0,0.0,0.0,0.0,0.0,1174,210,1459,479,306,0.0,0.0,0.0,0
Spring,lower,JLA01,267,0.0,0.0,0.0,0.0,0.0,100,2,120,36,20,0.0,0.0,0.0,0
Spring,lower,JLA02,267,113.625,0.22279411764705884,17.990624999999785,0.0,113.625,100,2,120,36,20,0.0,0.0,0.0,0
