DUID,contribution_rows,total_abs_impact_mw_observations,mean_abs_bound_impact_mw,p95_abs_bound_impact_mw,total_tightening_mw_observations,total_relief_mw_observations,contraction_contribution_rows,reversal_contribution_rows,forced_contribution_rows,contraction_onsets,forced_onsets,contraction_abs_impact_mw_observations,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_positive_rows,active_months,active_constraint_versions,limit_move_spearman,flow_move_spearman,top_contributor_intervals,equation_versions,factor_min,factor_max,sensitivity_min,sensitivity_mean,sensitivity_max,sensitivity_abs_max,overall_rank,contraction_positive_share,contraction_mean_positive_tightening_mw,contraction_rank,reversal_rank,forced_rank
YATSF1,141959,1497848.5493691664,11.813203586803006,232.92534325581383,869802.3809698253,628046.168399341,11911,7189,24758,4835,3213,265249.71686793334,208457.17032931704,56792.54653861632,5217,24.0,49.0,0.14624229946498798,0.0008739948405383191,1831.0,5362,-1.0,1.0,-1.076923076923077,1.4658406658477048,10.64066852367688,10.64066852367688,11,0.4379984887918731,17.5012316622716,9,10,2
ARWF1,92376,1259141.2124035752,25.773289346200002,647.6469206349194,649096.27687853,610044.9355250451,9443,5232,17452,3820,2472,239587.83862504718,111852.5211718198,127735.31745322738,4169,24.0,47.0,0.004109447907204009,-0.007016639327176609,2336.0,4501,-1.0,1.0,-1.8518518518518516,1.1230727644167082,11.933174224343675,11.933174224343675,12,0.44149105157259344,11.845019715325616,16,31,31
MURRAY,55457,1221595.2850111346,24.41937426522367,457.95188284518684,751789.6483395759,469805.6366715586,5720,2918,10686,2230,1365,255027.1014966517,187228.17441161617,67798.92708503554,1026,24.0,43.0,0.008804291365897013,0.008050777055198985,5937.0,4008,-0.999,1.0,-12.158774373259053,1.5450792954909616,13.458950201884251,13.458950201884251,13,0.17937062937062936,32.73219832370912,10,65,62
MACARTH1,73667,1220377.0496630059,22.477668744807755,242.77100680272108,632907.1928452502,587469.8568177556,6570,3950,12567,2538,1558,169663.06172220845,106045.51590184506,63617.5458203634,3131,24.0,52.0,0.12160240824613644,0.044066172250660215,7363.0,4162,-1.0,1.0,-1.1806375442739079,0.9431276757402168,2.0964360587002098,2.0964360587002098,14,0.4765601217656012,16.14087000028083,17,38,55
MOORAWF1,34541,1012253.2941282586,67.90910483044563,2231.899048152295,538934.4346732803,473318.85945497826,5097,1511,9683,1968,1180,222901.3117980269,128324.34674761626,94576.96505041065,2530,24.0,43.0,0.0454472248122772,0.03579190853599627,2370.0,4034,-0.9801,1.0,-1.5111111111111108,0.9608308970206254,12.406947890818858,12.406947890818858,15,0.4963704139690014,25.176446291468757,14,101,70
RYANCWF1,64552,969095.3748090165,17.864917848750743,181.8013856812933,511111.417202976,457983.9576060405,6214,3349,12177,2393,1495,127139.45915807094,75089.04385641191,52050.415301659035,2886,24.0,52.0,0.0894786111054845,0.027941640570117228,5247.0,4101,-1.0,1.0,-1.1806375442739079,0.9497711256841703,2.0964360587002098,2.0964360587002098,16,0.46443514644351463,12.083849992985503,25,61,56
LKBONNY2,173965,930741.9237655539,6.015172273497482,48.14379604000003,492986.0568163211,437755.86694923276,5403,8536,23629,2364,2570,53082.878794134784,41451.89100288489,11630.987791249892,2812,24.0,60.0,0.16566997942195455,0.1277277180579887,52634.0,7343,-1.0,1.23,-1.7806267806267806,-0.8496408084277597,0.193,1.7806267806267806,17,0.5204516009624283,7.672013881711067,41,1,12
MERCER01,34566,843371.0118295905,57.19149558169168,1289.646898096304,392127.78539563477,451243.22643395583,5107,1518,9692,1972,1184,197568.9883751107,82671.44139573172,114897.54697937898,2317,24.0,43.0,0.01834776267011406,0.01528388380530474,895.0,4038,-0.9801,1.0,-1.5111111111111108,0.9613761007681327,12.406947890818858,12.406947890818858,18,0.4536910123360094,16.187867905958825,22,100,69
GSWF1A,85812,837951.2880025831,37.160962264480254,535.5886320754717,487139.7009764939,350811.5870260893,3917,3469,16983,1755,1595,173267.9665277856,129148.3948012584,44119.57172652721,2165,24.0,19.0,0.05369854600720911,-0.10458846735097567,8535.0,1605,-0.976,1.0,-4.761904761904762,-2.63682243814515,0.201,4.761904761904762,19,0.5527189175389329,32.97125218311422,13,45,32
GSWF1B1,85812,810062.2769714092,34.07098271828903,714.4759409594095,474218.8023226597,335843.4746487495,3917,3469,16983,1755,1595,157496.07466357245,124109.99592795732,33386.07873561511,1905,24.0,19.0,0.03979385421639157,-0.09882948188170904,7683.0,1605,-0.976,1.0,-4.761904761904762,-2.63682243814515,0.201,4.761904761904762,20,0.4863415879499617,31.68496194229189,15,45,32
BROKENH1,130364,800038.6243692278,6.777341541495502,129.05447300465116,454165.82164555637,345872.80272367137,10319,6873,22411,4152,2931,110004.03977770482,76863.73499708915,33140.30478061566,3969,24.0,39.0,0.10852491180812693,-0.008741948451874874,1479.0,3712,-0.997,1.0,-9.385749385749385,0.3664405663280173,13.426183844011142,13.426183844011142,21,0.38463029363310397,7.448758115814435,24,20,19
STOCKYD1,44502,782637.53455042,20.02831825419299,191.28544217687073,446178.4654894459,336459.06906097423,2703,2783,5580,985,655,80650.3765156273,56109.61464044834,24540.76187517898,1491,24.0,18.0,0.17635712643735418,0.09276209497271941,5806.0,1234,-1.0,1.0,0.07834525025536263,1.0606358598367849,1.467741935483871,1.467741935483871,22,0.5516093229744728,20.758274006825133,35,72,113
VBB1,33144,760051.2016223678,42.901777930031535,866.0508083140877,410523.43442842923,349527.7671939386,4754,1428,8862,1842,1076,148432.75614494426,94285.34797902158,54147.40816592268,1374,24.0,42.0,0.03350715259225178,0.04021820093805503,3325.0,3859,-1.0,1.0,-1.076923076923077,0.9596749922420078,7.194244604316546,7.194244604316546,23,0.289019772822886,19.832845599289353,19,104,88
GANNSF1,139088,754577.3528795396,6.847219529207389,91.58097637130801,363097.9300324567,391479.4228470829,11596,7059,24278,4694,3147,144849.11542869464,61516.15471160607,83332.96071708857,3891,24.0,48.0,0.027256556922378453,0.023533867167417368,633.0,5258,-1.0,1.0,-4.1069767441860465,1.2451556564749635,13.927576601671309,13.927576601671309,24,0.33554674025526043,5.304946077234052,32,14,9
